gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.920207657687633	0.000534336135731154	0.00134420038023509	0.00134420038023509	0.00045328993133236
A1CF	5.66283912094344	9.57837848375067e-08	4.19274420132276e-07	4.19274420132276e-07	1.4138730795325e-07
A2M	-4.42899274664187	1.10777959391014e-15	1.07415729139961e-14	1.07415729139961e-14	3.62226266275514e-15
A2ML1	-0.00720585831879413	0.984641899234092	0.992758353890991	0.992758353890991	0.33477699655625
A3GALT2	0.00579078537516567	0.993045922250469	0.998468579215373	0.998468579215373	0.336702593128934
A4GALT	-0.527307358117095	0.0865573351756189	0.134562669772792	0.134562669772792	0.0453770912715706
A4GNT	-1.44154379405266	0.0170757780030536	0.0319324694249524	0.0319324694249524	0.0107682359607559
AAAS	-0.556145213010223	0.00672158714121215	0.013744979484848	0.013744979484848	0.00463506847525349
AACS	0.809090638378081	9.44207479030941e-06	3.15485051140016e-05	3.15485051140016e-05	1.06387558931231e-05
AADACL3	0.947710870740425	0.119362961033451	0.177613081746334	0.177613081746334	0.0598945088934163
AADACL4	0.30143114247926	0.294248549259645	0.383609604683834	0.383609604683834	0.129360453934076
AADAT	0.780756413251135	0.000337839034078878	0.000882152427503311	0.000882152427503311	0.000297478574747699
AAGAB	1.04874642751656	5.94986426767653e-09	2.98696791907631e-08	2.98696791907631e-08	1.00726238650019e-08
AAK1	-0.343436594883765	0.0670706737235233	0.10761977294243	0.10761977294243	0.0362914340781145
AAMDC	-0.303041811661284	0.0342615820909891	0.0592442019313438	0.0592442019313438	0.0199782715584432
AAMP	0.390809977311656	0.000263851997356864	0.000702238359145001	0.000702238359145001	0.000236808129410077
AANAT	-0.510185612456901	0.346032153934042	0.439573783677042	0.439573783677042	0.148232639380465
AARD	-2.38089312121238	9.49538932277083e-05	0.000273000414310154	0.000273000414310154	9.20609314473728e-05
AARS2	0.309265865972142	0.0273525290465158	0.0485071155128973	0.0485071155128973	0.0163575218273086
AARSD1	0.0888999262465045	0.655056290168195	0.735504813641084	0.735504813641084	0.248026210505667
AASDH	0.100684657719671	0.43009310200932	0.525952601500222	0.525952601500222	0.17736121944588
AASDHPPT	-0.00426817788153717	0.972847216231197	0.984867616360805	0.984867616360805	0.332116089800224
AASS	0.979478387943405	0.00108222649336328	0.00258334848567823	0.00258334848567823	0.000871154237789932
AATF	0.887482539393998	2.61026007692779e-22	4.14254805906502e-21	4.14254805906502e-21	1.39694598576603e-21
AATK	-0.648121165958495	5.28254823451578e-07	2.10613168726073e-06	2.10613168726073e-06	7.10227657968935e-07
ABAT	-2.03355961116826	1.22390408231131e-09	6.62184312969947e-09	6.62184312969947e-09	2.23301143318392e-09
ABCA1	-0.109237862651114	0.695004098463699	0.76995860659199	0.76995860659199	0.259644684708244
ABCA10	-2.23565992073719	0.000155168141060331	0.000430160150156565	0.000430160150156565	0.000145058183135081
ABCA12	0.248898325083415	0.628006964780733	0.711148741231667	0.711148741231667	0.239812879701476
ABCA13	0.554587093063149	0.195174997744522	0.270928717686219	0.270928717686219	0.0913623159476208
ABCA2	-0.830059920823143	3.30619745495547e-08	1.53055758904183e-07	1.53055758904183e-07	5.16133126160592e-08
ABCA3	-0.568026977271743	0.214854574634945	0.293756132298404	0.293756132298404	0.0990601542715789
ABCA4	-1.77776230072473	0.00110055615432854	0.00262185915229855	0.00262185915229855	0.000884140766944786
ABCA5	-1.3413735436628	2.97480347109319e-07	1.22689148937861e-06	1.22689148937861e-06	4.13731142432366e-07
ABCA6	1.19399417970874	0.0121084504901877	0.0234182410429156	0.0234182410429156	0.00789707623234811
ABCA7	1.25861420000587	0.000282717503160367	0.000747486671475703	0.000747486671475703	0.000252066720830578
ABCA8	-4.2705736051776	4.32055005037302e-07	1.74575505102849e-06	1.74575505102849e-06	5.88701802826024e-07
ABCA9	-0.973095796457061	0.0282370305166018	0.0498588276517106	0.0498588276517106	0.0168133448664872
ABCB1	-1.82741568064555	0.00546149291067043	0.011417727335163	0.011417727335163	0.00385027479223186
ABCB10	0.148472865138173	0.362328659494649	0.456550107813566	0.456550107813566	0.153957378723847
ABCB11	-0.220663093317556	0.560180338017774	0.650561417986868	0.650561417986868	0.219381682093539
ABCB4	1.37353841515394	0.000847171579052506	0.00205452005660602	0.00205452005660602	0.000692823234596185
ABCB5	-0.0548459053517999	1	1	1	0.337219017341062
ABCB6	-0.85481778703157	3.43806670105664e-08	1.58645794095645e-07	1.58645794095645e-07	5.34983787902259e-08
ABCB7	0.32317712343075	0.000425783500211717	0.00109129337915378	0.00109129337915378	0.000368004880949045
ABCB8	-0.536437333420965	0.0128107513114976	0.0246484612874252	0.0246484612874252	0.00831192989431474
ABCB9	-0.161676117274566	0.339770907686771	0.432968970325069	0.432968970325069	0.146005370712191
ABCC1	0.737793207889072	0.00362530475700269	0.00786516136562955	0.00786516136562955	0.00265228198694648
ABCC10	0.408709739480113	0.151165091069699	0.21814857740414	0.21814857740414	0.0735638489065747
ABCC11	-0.63333010761573	0.0064732785308748	0.0132863983654201	0.0132863983654201	0.00448042620078886
ABCC12	3.97754311207432	2.33582096631646e-09	1.22808100175631e-08	1.22808100175631e-08	4.14132268627491e-09
ABCC2	-0.876863970252338	0.0988817268227445	0.150994354388503	0.150994354388503	0.0509181678109392
ABCC3	-3.93126564728147	2.10990847475066e-19	2.71654682117521e-18	2.71654682117521e-18	9.16071249597691e-19
ABCC4	1.25435468322153	3.54196935061251e-05	0.000108989547457122	0.000108989547457122	3.67533480939378e-05
ABCC5	0.853989913380706	0.000544299390579291	0.00136685478285376	0.00136685478285376	0.000460929426721875
ABCC6	0.304608355558413	0.154024007628763	0.221695142190043	0.221695142190043	0.0747598179986133
ABCC8	-3.46033489940656	2.54409905349559e-05	7.97312448610148e-05	7.97312448610148e-05	2.6886892043411e-05
ABCC9	-4.34385546350692	0.00074690119366814	0.00182843974844507	0.00182843974844507	0.000616584655237983
ABCD1	-0.571372628328585	0.0286474242823944	0.0504897584820628	0.0504897584820628	0.0170261067411088
ABCD2	-0.886403572970537	0.119290770056266	0.177536515421823	0.177536515421823	0.0598686892727035
ABCD3	0.166205406851926	0.289430400630866	0.378278597191493	0.378278597191493	0.127562736826071
ABCD4	0.596966753059195	4.31981978433795e-06	1.51925639735065e-05	1.51925639735065e-05	5.12322149403707e-06
ABCE1	-0.313184407621552	0.00700981269555343	0.0142645315031084	0.0142645315031084	0.00481027129630883
ABCF1	0.178620814302101	0.170435208660496	0.241680400223777	0.241680400223777	0.0814992270740567
ABCF2	0.492205806910497	0.0140419740228368	0.0267647777345344	0.0267647777345344	0.00902559204699161
ABCF3	-0.213060645423952	0.0597492952599125	0.0972307000333538	0.0972307000333538	0.0327880411206311
ABCG1	-1.23716711120804	0.00013994351914984	0.000391120094976637	0.000391120094976637	0.000131893134090364
ABCG2	2.73323327325753	8.78746580516566e-06	2.95225749357773e-05	2.95225749357773e-05	9.95557370922068e-06
ABCG4	-0.664023966789829	0.0091686443964169	0.0182244766853445	0.0182244766853445	0.00614564011938697
ABCG5	0.256517943096498	0.47266801798022	0.5689159443237	0.5689159443237	0.1918492756945
ABCG8	0.184000925109236	0.680782108895308	0.758126606797377	0.758126606797377	0.255654709364325
ABHD1	-0.47913500095146	0.14608471169872	0.211565849385054	0.211565849385054	0.0713440278325548
ABHD10	-0.357018695633264	0.0759100270805996	0.120003997759249	0.120003997759249	0.040467630201373
ABHD11	1.88598409881815	1.02362684206326e-06	3.93105764599492e-06	3.93105764599492e-06	1.32562739649347e-06
ABHD12B	0.361906622614755	0.416056574401784	0.51152733917692	0.51152733917692	0.172496746660329
