gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.0904177414984448	0.495290844800881	0.632707124590536	0.675677157088808	0.350163197978802
A1CF	0.361686488174243	0.0161162341012595	0.0408952907667587	0.0443349001102289	0.0229761362239275
A2M	2.04221963277226	0.00535301559864962	0.0157775907578751	0.0171046078195156	0.00886429874299803
A2ML1	0.0303463180068922	0.702499388370278		0.838101643974185	0.434338128507606
A3GALT2	0.0184264127102975	0.862702092734519		0.923733338793852	0.478715932007122
A4GALT	-1.20440275316603	9.28082356447551e-05	0.000418944218649916	0.000454180658392566	0.000235374764611075
A4GNT	-0.0241755827069944	0.808246327320671		0.886751856779674	0.459550634094915
AAAS	-0.28421910761822	0.00591764700423228	0.0172555122198173	0.0187068338743363	0.00969463700936517
AACS	0.453925447487758	2.0612084854488e-07	1.4595771710361e-06	1.5823388675758e-06	8.20031922558649e-07
AADACL4	-0.0228391481360257	0.784931427372592		0.880351086929361	0.456233496588049
AADAT	-0.576576189074437	3.87960483080591e-09	3.51981624741979e-08	3.81585993912436e-08	1.97753276887436e-08
AAGAB	-0.159874683200629	0.0436722040679105	0.0950065374905127	0.102997319996667	0.053377371981422
AAK1	-0.258238722319514	1.04394153319927e-05	5.62324809059436e-05	6.09620662225936e-05	3.15930053871766e-05
AAMDC	-0.515793708138615	0.0430292293121645	0.0938293045036594	0.10172107263664	0.0527159690431838
AAMP	0.236564267518509	0.000655322160773395	0.00245338106050842	0.00265972932850208	0.00137837918250637
AANAT	0.111329030725166	0.509001384110992	0.644469890582991	0.688096855472044	0.356599587396707
AARD	-0.100405163187063	0.490212026781503	0.627578665408102	0.670408045182576	0.347432531333886
AARS2	0.234190033067875	0.0209027349263045	0.0510467154246326	0.0553401378709831	0.0286794950076199
AARSD1	-0.129664092889463	0.15795776505323	0.268477211226628	0.290656108547753	0.150629737017701
AASDH	-0.165624431759861	0.230443346031433	0.359820615393075	0.38876672995782	0.201474624384703
AASDHPPT	-0.346334456880246	4.91227668488781e-07	3.29789140096999e-06	3.57526950157386e-06	1.85284908505887e-06
AASS	0.376797301069563	0.00620262723752512	0.0179681271638357	0.0194793852309289	0.0100950043309317
AATK	0.0726162301104411	0.291316760316231	0.429187868226462	0.462466803747947	0.23966897986775
ABAT	0.295448361680273	6.30522914558103e-05	0.000294543704985111	0.00031931710213505	0.000165483021706233
ABCA1	0.0972607059731711	0.376745184689468	0.519486930216688	0.557651258278549	0.28899740935012
ABCA10	-1.19713444851748	0.00662981825702273	0.0190421606396427	0.0206437532051421	0.0106984268518754
ABCA12	0.308691125803568	0.221168039819747	0.348400514057328	0.376617172431176	0.195178232871503
ABCA13	0.00396230767716468	0.976061532003789		0.993628138808189	0.514938240898782
ABCA2	-0.866071897105722	1.38524264833162e-38	9.2410101196168e-37	1.00182503385902e-36	5.19186203042215e-37
ABCA3	0.163413284927732	0.0806768472502363	0.157434647122466	0.170676115102651	0.0884512576101299
ABCA5	0.28272326579463	0.00870466094826345	0.0240611726130938	0.0260849027928562	0.0135182503731026
ABCA6	-0.0655088068139748	0.594464519198788	0.718684341556089	0.761833861882665	0.394813082855652
ABCA7	0.428578178498452	8.31256404611952e-15	1.32202946852147e-13	1.43322234249329e-13	7.42753715434781e-14
ABCA8	0.100618510462567	0.349557825264111	0.491327201627304	0.528070200491143	0.273667310225469
ABCA9	-1.45259111994171	0.00116704506982917	0.00411522254591998	0.00446134449918191	0.00231204894338813
ABCB1	-0.167881613384672	0.504300123621	0.640126044488147	0.683491073510555	0.354212685125544
ABCB10	0.623282214907181	0.000146833185204803	0.000633712426661128	0.000687012529018844	0.000356037645625371
ABCB4	2.90202651403879	3.47561232177231e-14	5.23400944431963e-13	5.6742300039721e-13	2.94061520862839e-13
ABCB5	-0.0228391481360257	0.784931427372592		0.880351086929361	0.456233496588049
ABCB6	-0.375219774582998	0.000110077966878005	0.000488377810918577	0.000529454151252229	0.000274384529417006
ABCB7	-0.152338651753263	0.256948882764422	0.390938841960358	0.421644147148229	0.218513030114266
ABCB8	0.38095219299888	4.23445477111702e-06	2.43196597937586e-05	2.63651307389028e-05	1.36634758150481e-05
ABCB9	0.0871596960013551	0.197314492074961	0.319215138446301	0.345267957831629	0.178931803458975
ABCC1	-0.434698110392695	0.0928697660451475	0.176054900450509	0.190862475337481	0.0989126449475907
ABCC10	-0.234531566606222	0.00268030078620724	0.00860532981076944	0.00932910441331669	0.00483471877267529
ABCC11	-0.00023609455956112	0.998701481134794	0.99937934815518	1	0.518240396770996
ABCC12	0.00927406772817221	0.940927625777242		0.972004022931597	0.503731750507075
ABCC2	-0.954406349694238	0.00474998685761928	0.0141845364071057	0.015377565311997	0.0079692755486612
ABCC3	-0.0146584125873686	0.872707127094873		0.929217108277753	0.48155784288026
ABCC4	0.100201787935595	0.613880744024216	0.73476096373207	0.776172669184815	0.402244032041142
ABCC5	0.0385440785708109	0.575772948579063	0.702933138531064	0.746175223963283	0.386698144127418
ABCC6	0.097150847712997	0.55254209947472	0.682827172888164	0.72542142072486	0.375942684902631
ABCC8	-1.20851163907443	2.51405812604316e-31	1.19950676220888e-29	1.30039453166822e-29	6.73916978050569e-30
ABCC9	-1.06065655067127	0.00841782459550298	0.0233849609970794	0.0253518165649	0.0131383354754593
ABCD1	0.201336669203406	0.0185166412428842	0.0460045233980185	0.0498738586088673	0.0258466482739599
ABCD2	-0.130163793721241	0.535625746781856	0.668195158639779	0.710330759277664	0.368122094526699
ABCD3	-0.172124126081896	0.0996014657552747	0.186324630076134	0.201995968426159	0.104682470823314
ABCD4	0.292585808154315	1.50639110717295e-06	9.36681741587974e-06	1.01546389987117e-05	5.26254414375855e-06
ABCE1	-0.224519494695994	0.0132342617590915	0.0345944540982778	0.0375041144850284	0.019436147171266
ABCF2	-0.305713088057536	0.000635933380773818	0.00238503328230689	0.00258563297504654	0.00133997945889229
ABCF3	-0.237791871663057	0.00650874890162869	0.0187382318017402	0.0203142616080319	0.0105276709958563
ABCG1	-0.286251500957059	0.0143386415777895	0.0370542669204821	0.0401708165359876	0.0208181399002251
ABCG2	-0.00657312234229905	1		1	0.518240396770996
ABCG4	-0.00506985184988237	0.963158693986917	0.978285326053966	0.98560728124152	0.510781508490988
ABCG5	-2.74172240218708	6.72641312834729e-10	6.61557763517172e-09	7.17199873451466e-09	3.71681946981596e-09
ABCG8	0.0944624694583815	0.632852765886285	0.749409504213776	0.78874654999692	0.408760325022158
ABHD1	-1.22834367197445	0.00208613856385489	0.00688668626218375	0.00746590968788462	0.00386913599890575
ABHD10	0.25892964699142	0.00782206841258334	0.0219199305468003	0.0237635657552404	0.0123152397456894
ABHD11	-0.979410284479925	3.60779568993221e-09	3.29348184871025e-08	3.57048907196201e-08	1.8503716733201e-08
ABHD12B	0.14123604342387	0.283255815121311	0.420632602974767	0.453362476775878	0.234950749845412
ABHD13	-0.0257789774005734	0.857182231315537	0.911594722375025	0.919918324254095	0.476738837358352
ABHD14A	-0.227459785121006	0.00331511062780764	0.0103878163625437	0.0112615118308713	0.00583617035947201
ABHD14A-ACY1	-0.294515484007915	0.000466390916682901	0.00180283200961091	0.00195446408530226	0.0010128822430417
ABHD14B	1.82241996566355	4.48528660580076e-14	6.63255571006225e-13	7.19040479644068e-13	3.72635823465149e-13
ABHD15	0.200456117355858	0.424555590534963	0.566189332542466	0.60683884846363	0.314488405603846
ABHD17A	0.199590030152935	0.0677196033428384	0.136336216316191	0.14780314355163	0.0765975597581971
ABHD17B	-0.0336246688455435	0.742408114943359	0.831774666662356	0.867771603125619	0.449714299910424
ABHD17C	-0.234730108343803	0.00350873338611432	0.0109202567683098	0.0118387345810144	0.00613531050653141
ABHD18	-0.408229952106786	0.00356815357321724	0.0110631520778006	0.0119936484880612	0.0062155931511847
ABHD2	0.0146782855209099	0.902383366511424	0.942465143983985	0.949742746408013	0.492195057728864
ABHD3	0.0145466759491373	0.945395521965934	0.967444032785713	0.974603755648963	0.505079037022021
ABHD4	-0.448342357625389	6.4178628721934e-05	0.000299520583490811	0.000324712574505436	0.000168279173448229
ABHD5	-0.727286970430871	5.88537028193796e-09	5.22069880063847e-08	5.65979983250387e-08	2.93313691084122e-08
ABHD6	0.674067954809467	4.13122560619784e-06	2.38195772828216e-05	2.58229874320924e-05	1.338251525262e-05
ABHD8	-0.136723733371391	0.131012911361653	0.232089831117358	0.251398938531732	0.130285085652492
ABI1	0.16129268568541	0.138952866530182	0.242514045392915	0.262662613376019	0.136122376972895
ABI2	0.0545551631979908	0.330166957673567	0.470941510930863	0.506678683100972	0.262581361765653
ABI3	-0.0760182369114983	0.527853431057266		0.704614305093374	0.365159597042109
ABI3BP	-0.0434701320957344	0.847930180151875	0.905291447068185	0.913689061872629	0.47351058195019
