gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-1.08718590947575	4.0502199097797e-07	9.60128564033834e-07	9.60128564033834e-07	2.51023387299308e-07
A1CF	-5.39330012727167	7.3327898386356e-32	4.94402432437476e-31	4.94402432437476e-31	1.29260369838449e-31
A2M	-8.75447628523447	3.67041731342747e-122	1.31070680522992e-120	1.31070680522992e-120	3.42681255750531e-121
A2ML1	-2.53115988813769	0.00184396340755201	0.0031739670246332	0.0031739670246332	0.000829826320708917
A3GALT2	-0.351424601706385	0.50280540936277	0.569257280499452	0.569257280499452	0.148830996335954
A4GALT	-1.24927506569231	0.0057043903977009	0.00924761691808098	0.00924761691808098	0.00241776800543273
A4GNT	-2.65989575722169	0.00255381325647832	0.00432032973934333	0.00432032973934333	0.00112954019497506
AAAS	-0.197598103884422	0.161519450759523	0.207990755137666	0.207990755137666	0.0543787007671589
AACS	-0.476267834297119	7.67954965357238e-06	1.65402646088002e-05	1.65402646088002e-05	4.32441383837589e-06
AADACL4	-3.57271984349968	0.00360334818975941	0.00598699161528676	0.00598699161528676	0.00156528507878959
AADAT	0.966986586510258	2.76083478222168e-14	9.82960479010388e-14	9.82960479010388e-14	2.56992738541047e-14
AAGAB	1.0409150869765	7.65898137364208e-11	2.30167988598165e-10	2.30167988598165e-10	6.01768870442062e-11
AAK1	1.70781111736581	1.00718328243095e-54	1.18125389454857e-53	1.18125389454857e-53	3.08836092350266e-54
AAMDC	-2.23360046428229	4.97432700640588e-52	5.53923063186739e-51	5.53923063186739e-51	1.44821900767285e-51
AAMP	-0.454603858404635	1.57502196830823e-05	3.30350255794943e-05	3.30350255794943e-05	8.63693085605534e-06
AANAT	-0.85302935658117	0.137654189211951	0.179564791722234	0.179564791722234	0.0469467985291826
AARD	-1.59668816793306	0.00652393403390405	0.0104949425799467	0.0104949425799467	0.00274387840818068
AARS2	0.227995411615864	0.0473045764173684	0.0668345744759647	0.0668345744759647	0.0174737445610183
AARSD1	0.597390102982784	5.0217781851347e-07	1.18257509905281e-06	1.18257509905281e-06	3.09181518205087e-07
AASDH	0.948760724201951	8.62595799681982e-10	2.43580415664708e-09	2.43580415664708e-09	6.3683535008103e-10
AASDHPPT	1.5131249714468	4.46342999476979e-22	2.22679551839155e-21	2.22679551839155e-21	5.82190526132361e-22
AASS	-1.94323861468939	1.24448436985843e-20	5.89440730384306e-20	5.89440730384306e-20	1.54107912519133e-20
AATF	-0.15206438831993	0.315639904986539	0.379629237250596	0.379629237250596	0.0992531840237378
AATK	0.833398169186045	3.770443182827e-05	7.64126118417069e-05	7.64126118417069e-05	1.99779002265123e-05
ABAT	1.25988373917458	1.03272907415869e-14	3.76576236316346e-14	3.76576236316346e-14	9.84549840069363e-15
ABCA1	-2.33877076868756	5.28473137762526e-59	6.76671873948531e-58	6.76671873948531e-58	1.76914292785007e-58
ABCA10	-1.80249958172512	0.000948906260314988	0.00168528971874395	0.00168528971874395	0.000440615090131716
ABCA12	0.239645852442595	0.59049601269051	0.653773201595865	0.653773201595865	0.170927487982041
ABCA13	-4.68377306095492	1.63117113015562e-07	3.96327492932633e-07	3.96327492932633e-07	1.03618904261957e-07
ABCA2	-0.116734153049687	0.496552684388089	0.563165460698294	0.563165460698294	0.147238304170981
ABCA3	3.60129165602663	1.34019232190729e-138	6.09933179546284e-137	6.09933179546284e-137	1.59465615846994e-137
ABCA4	-7.38741577676326	2.48228302983057e-14	8.85668431691571e-14	8.85668431691571e-14	2.31555958311693e-14
ABCA5	0.593888279831719	1.31866134430781e-05	2.78252994764611e-05	2.78252994764611e-05	7.27486004358972e-06
ABCA6	-2.51837041768713	4.81821333393211e-06	1.0560847653016e-05	1.0560847653016e-05	2.76110913675368e-06
ABCA7	1.04821183827174	5.79731939007444e-10	1.65434495050207e-09	1.65434495050207e-09	4.32524652210953e-10
ABCA8	-12.082199498733	3.39442288341468e-34	2.42636766758127e-33	2.42636766758127e-33	6.34368201890417e-34
ABCA9	-3.51540810220472	7.52278142382019e-29	4.65085061964343e-28	4.65085061964343e-28	1.21595411291694e-28
ABCB1	-1.73750038441265	3.28611279742405e-09	8.95182451712068e-09	8.95182451712068e-09	2.34043376790677e-09
ABCB10	0.301045147702441	0.0126798238777916	0.0196115617574076	0.0196115617574076	0.00512739735800689
ABCB11	-5.70991517959863	1.08621562095672e-11	3.41376228556635e-11	3.41376228556635e-11	8.92520235787188e-12
ABCB4	0.319920897943924	0.315331493669823	0.379312781439503	0.379312781439503	0.0991704473855343
ABCB5	-0.607151508928449	0.193848107019777	0.245079496970426	0.245079496970426	0.0640754663403169
