gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	0.796475229640558	4.88507402814589e-05	0.000105718077042754	0.000105718077042754	3.23308543808848e-05
A1CF	-6.93187393050356	1.78475450627631e-108	6.16310690126095e-107	6.16310690126095e-107	1.88481021725273e-107
A2M	-4.41966354584777	0.000468287789345219	0.000915796811764798	0.000915796811764798	0.000280070298210893
A2ML1	-4.18002777880992	3.1027478162093e-08	8.71746693941844e-08	8.71746693941844e-08	2.66598827818759e-08
A3GALT2	0.486259068225906	0.359115788930964	0.437416089673875	0.437416089673875	0.133771217701802
A4GALT	-1.56830140279244	1.97733801694054e-08	5.6349254905088e-08	5.6349254905088e-08	1.72328101850641e-08
A4GNT	-0.891910870969415	0.133777985112284	0.182125970952734	0.182125970952734	0.0556980263977825
AAAS	0.262693418236458	0.0845032834514252	0.119947537184886	0.119947537184886	0.0366825283485055
AACS	-1.02078704989555	5.67177010635096e-20	2.89959724484633e-19	2.89959724484633e-19	8.86759000056623e-20
AADACL4	-0.231649032187504	0.444896354132114	0.52602229066662	0.52602229066662	0.160868893536194
AADAT	0.0775150794843279	0.538139808253464	0.616383908400288	0.616383908400288	0.1885034134432
AAGAB	-0.146810852945979	0.253913813181079	0.323117433565588	0.323117433565588	0.0988162382892139
AAK1	1.89934154353759	2.04703980672309e-53	2.75372069742959e-52	2.75372069742959e-52	8.42146824504001e-53
AAMDC	-1.38463673504025	1.98123629185062e-15	8.39194370660448e-15	8.39194370660448e-15	2.56643629491186e-15
AAMP	-0.344988155905236	0.0105158641715545	0.0173619571318213	0.0173619571318213	0.00530965870263673
AANAT	-0.0158152697103412	0.974155294152146	0.984976628016188	0.984976628016188	0.30122696912173
AARD	-0.551130707130226	0.307726422427112	0.382698605688666	0.382698605688666	0.117037438046514
AARS2	-0.238514290834716	0.0365726349371466	0.0554365544327389	0.0554365544327389	0.0169536868138269
AARSD1	0.571250833796327	7.12549832054682e-06	1.66255009574419e-05	1.66255009574419e-05	5.08443461610577e-06
AASDH	-0.174465888183436	0.296661009313977	0.370560753579242	0.370560753579242	0.113325422655922
AASDHPPT	1.50305493702438	4.04108777422582e-30	2.94645790347122e-29	2.94645790347122e-29	9.01089994079348e-30
AASS	-2.9728677297471	1.62137594074984e-40	1.6020533484176e-39	1.6020533484176e-39	4.8994225932762e-40
AATF	-0.630136066777466	4.17910699954179e-07	1.08212251126045e-06	1.08212251126045e-06	3.30936262865339e-07
AATK	1.76767530835976	2.10383001369195e-23	1.22428579115055e-22	1.22428579115055e-22	3.74412841601982e-23
ABAT	2.888944475542	3.20542882969463e-53	4.29476176317806e-52	4.29476176317806e-52	1.31343021978869e-52
ABCA1	-1.77785847111522	5.37838281316224e-28	3.62629449898716e-27	3.62629449898716e-27	1.10899859956347e-27
ABCA10	1.72817610201791	0.000804075955446606	0.00153082461086959	0.00153082461086959	0.000468158984358783
ABCA12	-2.07827414056053	1.80989496871818e-07	4.82446616840555e-07	4.82446616840555e-07	1.47542518289606e-07
ABCA13	-5.67960476800086	2.33544033206824e-14	9.38434613279244e-14	9.38434613279244e-14	2.86993423231138e-14
ABCA2	0.97805504965879	1.83752679078053e-11	6.35188827492102e-11	6.35188827492102e-11	1.94254360847927e-11
ABCA3	2.70641081336145	7.63450487965468e-64	1.25355576200448e-62	1.25355576200448e-62	3.83364226189013e-63
ABCA4	-6.65723730852843	1.08980117785521e-11	3.82000630529908e-11	3.82000630529908e-11	1.1682398227953e-11
ABCA5	1.56483361342793	1.51478367470513e-13	5.85632432686092e-13	5.85632432686092e-13	1.79098952908878e-13
ABCA6	-1.77961610108045	0.00114883553466038	0.00214452714383549	0.00214452714383549	0.00065584237570988
ABCA7	-0.689586454411799	8.57072029904573e-07	2.16210910631749e-06	2.16210910631749e-06	6.61219316765154e-07
ABCA8	-3.65701855910653	0.000131486074553493	0.000273590356146341	0.000273590356146341	8.36697962355533e-05
ABCA9	1.69211050652346	0.00257675956877272	0.00459786589151987	0.00459786589151987	0.00140612596028822
ABCB1	3.46893833087436	1.20313635382497e-09	3.72805321995571e-09	3.72805321995571e-09	1.1401185979748e-09
ABCB10	-0.520291157766829	6.3249844833823e-05	0.00013551341963373	0.00013551341963373	4.14429089082089e-05
ABCB11	-0.00352554245259212	1	1	1	0.305821438350697
ABCB4	0.529755717087368	0.0508807608496338	0.0751257147764848	0.0751257147764848	0.0229750541500688
ABCB5	0.0796117369524383	0.81603077333654	0.858796241789642	0.858796241789642	0.262638301914281
ABCB6	-0.358983233105604	0.0404010660257913	0.0606740543220904	0.0606740543220904	0.01855542656335
ABCB7	-0.217437440516174	0.0980046003305202	0.137273651111111	0.137273651111111	0.0419812254304517
ABCB8	0.509270901049461	0.00154166187673551	0.00283204487348539	0.00283204487348539	0.00086610003668302
ABCB9	0.259107481878225	0.0268729150189955	0.0416574954404052	0.0416574954404052	0.0127397551736723
ABCC1	-0.526248397934741	0.00452660816775654	0.00782369799727415	0.00782369799727415	0.00239265457474785
ABCC10	-0.104623552596781	0.467689393327817	0.54878875915745	0.54878875915745	0.167831367676225
ABCC11	0.524658724775799	0.0296000976968889	0.045577129376436	0.045577129376436	0.0139384632617975
ABCC12	-3.69343287585269	5.24352586828211e-06	1.23775294209991e-05	1.23775294209991e-05	3.78531385075802e-06
ABCC2	0.381742484031774	0.145366079663555	0.196417192594208	0.196417192594208	0.0600685883559666
ABCC3	-3.83569846192563	2.52256686606052e-06	6.12733138111408e-06	6.12733138111408e-06	1.87386929622367e-06
