gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	0.998829557632366	1.92928362076258e-07	5.30743135356959e-07	5.30743135356959e-07	1.19699620400867e-07
A1CF	-7.61814584095427	8.19160703710727e-29	7.35225266117216e-28	7.35225266117216e-28	1.6581690727694e-28
A2M	-5.31117579580457	2.72801714802426e-06	6.78278372849025e-06	6.78278372849025e-06	1.5297355414977e-06
A2ML1	-4.98913595655861	1.20054903050638e-14	5.44670551562473e-14	5.44670551562473e-14	1.22840699996449e-14
A3GALT2	0.740968360199803	0.198085056836871	0.254470240998997	0.254470240998997	0.0573912109676384
A4GALT	-0.795104946873862	0.00713736181921075	0.0119405190039099	0.0119405190039099	0.00269297047279956
A4GNT	-0.625374658816862	0.255072542241299	0.318636155549882	0.318636155549882	0.0718626852133671
AAAS	0.356104475672227	0.103989651015069	0.142138143736259	0.142138143736259	0.0320567157939239
AACS	-0.539459388959497	4.18601983076312e-10	1.39990934755632e-09	1.39990934755632e-09	3.15724512169935e-10
AADACL4	-0.0557401340519447	0.835761003612561	0.867997351389258	0.867997351389258	0.195761276121591
AADAT	0.841267636044584	1.35028256456299e-06	3.44838859275707e-06	3.44838859275707e-06	7.7772236332381e-07
AAGAB	0.0276984996125004	0.798111217944399	0.83683507657502	0.83683507657502	0.188733182458951
AAK1	1.71789575023499	3.64724074277509e-16	1.79447673207983e-15	1.79447673207983e-15	4.04712127842555e-16
AAMDC	-1.84776197657391	2.07483523808424e-28	1.83373828851899e-27	1.83373828851899e-27	4.13566869598102e-28
AAMP	-0.205778907752076	0.0107595642633661	0.0175361212809318	0.0175361212809318	0.00395495847387523
AANAT	0.427082150525902	0.421864500646195	0.495531814812038	0.495531814812038	0.111758336901825
AARD	-4.28227829354315	3.04798931648666e-10	1.02877317760013e-09	1.02877317760013e-09	2.32021387812219e-10
AARS2	-0.0697680596117307	0.440924557623731	0.51403344640695	0.51403344640695	0.11593104895625
AARSD1	0.962464480440881	2.29665006654645e-12	9.00592257422617e-12	9.00592257422617e-12	2.03112474129212e-12
AASDH	-0.216878211759016	0.169617622273872	0.221053298408125	0.221053298408125	0.0498546173188206
AASDHPPT	1.12899245604117	4.01857164719844e-25	3.05922899760361e-24	3.05922899760361e-24	6.89954377810638e-25
AASS	-1.73261938288006	3.03924076007455e-33	3.23182249204626e-32	3.23182249204626e-32	7.28879753179929e-33
AATF	-0.115807489724889	0.299815941825203	0.367538968942213	0.367538968942213	0.0828918400146994
AATK	0.936449404098575	6.19024187831979e-17	3.191938761641e-16	3.191938761641e-16	7.19884691215597e-17
ABAT	1.80535217632908	1.90884457479853e-23	1.35808534149217e-22	1.35808534149217e-22	3.06291855737826e-23
ABCA1	-1.71812846418848	1.27065792782181e-16	6.44097426608949e-16	6.44097426608949e-16	1.45264653144149e-16
ABCA10	-0.596150697588406	0.0783999187364736	0.109850400652427	0.109850400652427	0.0247747928951264
ABCA12	-2.55913529579537	1.6318308954774e-13	6.86681000941093e-13	6.86681000941093e-13	1.54868616612167e-13
ABCA13	-5.8604623073732	1.28159377257844e-14	5.79798284795888e-14	5.79798284795888e-14	1.30763131872567e-14
ABCA2	0.724315284834021	2.92460487925062e-07	7.92064723765999e-07	7.92064723765999e-07	1.78636030221931e-07
ABCA3	2.78631855122471	1.45334268560049e-50	2.8171971410228e-49	2.8171971410228e-49	6.35368421954317e-50
ABCA4	-10.8097930312738	4.11016233899151e-72	1.36581346931408e-70	1.36581346931408e-70	3.08034796729555e-71
ABCA5	0.404378301874937	7.79862479668043e-05	0.00016768695351753	0.00016768695351753	3.78187928304083e-05
ABCA6	-2.81367997165309	6.24827272509177e-10	2.06810418181496e-09	2.06810418181496e-09	4.66423904562049e-10
ABCA7	-0.143418408104944	0.357426471737476	0.429178272774538	0.429178272774538	0.0967934824081347
ABCA8	-7.52581210241198	2.77434046057844e-58	6.5351130849181e-57	6.5351130849181e-57	1.47387785810046e-57
ABCA9	0.235793833588511	0.574510797722232	0.643304595858257	0.643304595858257	0.145085844350256
ABCB1	1.62473195806038	0.000341982457325895	0.000678840928612757	0.000678840928612757	0.000153100428539445
ABCB10	-0.758930281837023	0.000515610807737269	0.00100342200882916	0.00100342200882916	0.000226303885170263
ABCB11	-0.992854984318721	0.106017868226428	0.144591796177216	0.144591796177216	0.0326100932117602
ABCB4	-0.321059024026438	0.169976982428747	0.221452703361855	0.221452703361855	0.0499446959616948
ABCB5	-0.491100581003476	0.319209550555286	0.388921981136326	0.388921981136326	0.0877143959219766
ABCB6	0.572330121571687	1.93456907669416e-06	4.88101278946577e-06	4.88101278946577e-06	1.10082512452635e-06
ABCB7	-0.0114083757410436	0.936786188155767	0.95115459710414	0.95115459710414	0.214515905399948
ABCB8	0.762416052872661	9.07148844328647e-08	2.56074984743236e-07	2.56074984743236e-07	5.77531322139621e-08
ABCB9	0.496490796224035	0.00136253889744634	0.00251985440088685	0.00251985440088685	0.00056830808569714
ABCC1	-0.422271232736873	0.0239809614863297	0.0370647049624446	0.0370647049624446	0.00835928120161336
ABCC10	-0.155034383209121	0.36697972695013	0.439138072803714	0.439138072803714	0.0990397371467082
ABCC11	-0.161359430804389	0.413020086658236	0.486616982859806	0.486616982859806	0.109747756020921
ABCC12	-0.337126688317907	0.50133767136255	0.573877610551567	0.573877610551567	0.12942782970406
ABCC2	-1.63325608506684	0.00272988160206052	0.00484579301232746	0.00484579301232746	0.00109288193379394
ABCC3	-9.18448368494192	1.29835458077995e-182	3.15142645201486e-180	3.15142645201486e-180	7.10747864451836e-181
ABCC4	-2.37634779841026	4.07469159459377e-27	3.40363764719483e-26	3.40363764719483e-26	7.67629588044149e-27
ABCC5	0.65746440869759	1.08858451588863e-11	4.0804864530221e-11	4.0804864530221e-11	9.20280728923841e-12
ABCC6	-4.64072293988783	3.18175711284166e-34	3.52901113416372e-33	3.52901113416372e-33	7.95905335385498e-34
ABCC8	3.93474625437703	1.38087718414984e-47	2.44988676696415e-46	2.44988676696415e-46	5.52528137426566e-47
ABCC9	-2.25980753762055	0.00016141429058923	0.000334244131897678	0.000334244131897678	7.53827850876694e-05
ABCD1	0.670848229555484	4.74902975567216e-06	1.15505010670923e-05	1.15505010670923e-05	2.60500890367781e-06
ABCD2	-0.602972514223714	0.122565342184589	0.164811268639702	0.164811268639702	0.0371702335456293
ABCD3	-0.912152485476004	5.68425972926449e-06	1.36840566258045e-05	1.36840566258045e-05	3.08619419552384e-06
ABCD4	0.196527361300295	0.114263342936163	0.154678505293798	0.154678505293798	0.0348849700248853
ABCE1	-0.012757927930905	0.921540656937959	0.938577166285389	0.938577166285389	0.211679290860205
ABCF1	-0.322607433598761	0.000187566243028393	0.000384734775044646	0.000384734775044646	8.67700464875232e-05
ABCF2	0.0669748275984677	0.482040319499495	0.554537690279718	0.554537690279718	0.125066056633615
ABCF3	-0.0186963244290087	0.820833842647064	0.855841059186772	0.855841059186772	0.193019641863541
ABCG1	1.19846378081188	3.924697722671e-15	1.82687152471634e-14	1.82687152471634e-14	4.12018193853089e-15
ABCG2	-7.72337484370412	4.02136277330172e-39	5.33252444396336e-38	5.33252444396336e-38	1.20265550168908e-38
ABCG4	4.20241233753645	8.43424631775593e-84	3.6406380755097e-82	3.6406380755097e-82	8.21080795255812e-83
ABCG5	0.646542884433126	0.0344383788144692	0.0517796901323934	0.0517796901323934	0.0116779828893189
ABCG8	0.338610251109079	0.479324107999518	0.551847127296069	0.551847127296069	0.124459248280662
ABHD1	1.18775925311462	0.0365052401107161	0.0546127522442406	0.0546127522442406	0.0123169293716547
ABHD10	0.598549600095268	6.13263210630686e-05	0.000133163908357873	0.000133163908357873	3.00327375328421e-05
ABHD11	-2.05512190219949	1.93207969035716e-83	8.27582369670118e-82	8.27582369670118e-82	1.86646399926281e-82
ABHD12B	-1.44856755144462	0.0118223991406877	0.0191379799737325	0.0191379799737325	0.00431622904845386
ABHD13	-1.19666692887519	2.56532923219698e-08	7.57210679958318e-08	7.57210679958318e-08	1.7077532410011e-08
ABHD14A	1.38246354924133	1.58496892034839e-13	6.67464407291798e-13	6.67464407291798e-13	1.50534657655409e-13
ABHD14A-ACY1	0.152286440044454	0.319590708156247	0.38924479530222	0.38924479530222	0.087787200882688
ABHD14B	-1.17200655917783	7.60381550015535e-08	2.16248432665311e-07	2.16248432665311e-07	4.87709657985704e-08
ABHD15	-4.84571925954365	1.02594375427267e-16	5.23059543274235e-16	5.23059543274235e-16	1.1796672364847e-16
ABHD16A	-0.0151018625363642	0.888983388180938	0.911535041409429	0.911535041409429	0.2055804233161
ABHD17A	0.0936278670650488	0.584689011486427	0.651998905677787	0.651998905677787	0.147046690408765
ABHD17B	0.240285344783594	0.0241066540233518	0.037248661461675	0.037248661461675	0.00840076929945441
ABHD17C	1.6232805340138	5.72635922178505e-64	1.56451980826193e-62	1.56451980826193e-62	3.52849457078022e-63
ABHD18	-0.14399510562831	0.341161580785682	0.411625542468021	0.411625542468021	0.0928347780656363
ABHD2	-0.216554312761883	0.430796545921915	0.503868208533804	0.503868208533804	0.113638461386782
ABHD3	-2.85027066413382	4.50798087409181e-36	5.38898384577371e-35	5.38898384577371e-35	1.21538890983804e-35
ABHD4	-1.86950992513538	8.43919140813603e-33	8.81719137264268e-32	8.81719137264268e-32	1.98855979474383e-32
ABHD5	0.337964998373264	0.00793930074712575	0.0131781376524145	0.0131781376524145	0.00297209322080722
ABHD6	0.540548851514852	1.76979904977669e-05	4.06425263755108e-05	4.06425263755108e-05	9.16619482230124e-06
ABHD8	0.415827394480031	0.0050527358623627	0.00865091190174304	0.00865091190174304	0.00195105843444125
ABI1	-0.352646770568485	0.00938897657890494	0.0154299460056422	0.0154299460056422	0.00347994831518462
