gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	0.495359197749318	0.0157933231815548	0.0238595144005665	0.0238595144005665	0.00568660371532668
A1CF	-0.342371949754952	0.504877331468164	0.572374300915779	0.572374300915779	0.136417940931267
A2M	-4.93210898757494	1.91726310221261e-17	8.35771016029588e-17	8.35771016029588e-17	1.99195108715347e-17
A2ML1	-7.91899408296253	8.21979615794061e-48	9.84025347056393e-47	9.84025347056393e-47	2.34529592706784e-47
A3GALT2	0.410736770759364	0.433505944922994	0.50192586004634	0.50192586004634	0.119627474920038
A4GALT	-3.26820237276913	2.11528717424843e-10	6.37058615254679e-10	6.37058615254679e-10	1.51834602648163e-10
A4GNT	-0.809278046181148	0.165330565641186	0.211613015923468	0.211613015923468	0.0504351992399857
AAAS	-0.0932391969713909	0.572801850926725	0.636835196449867	0.636835196449867	0.151781353693294
AACS	-0.607885048099043	3.76820625787622e-13	1.34190768460368e-12	1.34190768460368e-12	3.1982617486597e-13
AADACL4	0.00558840903149432	0.973087541693951	0.979874347540301	0.979874347540301	0.233540256173181
AADAT	0.906374163950468	3.09677040515419e-05	6.32573615630228e-05	6.32573615630228e-05	1.50765661549888e-05
AAGAB	0.316802837318469	0.0477292521923819	0.0670724547506303	0.0670724547506303	0.0159858438012452
AAK1	1.79021509403134	2.21994898155295e-55	3.17775261051699e-54	3.17775261051699e-54	7.57375841686282e-55
AAMDC	-1.7085722011563	1.27030851168538e-24	7.52037007907624e-24	7.52037007907624e-24	1.7923820122379e-24
AAMP	-0.346815619937602	8.98335545999373e-05	0.000174904949132731	0.000174904949132731	4.16863108305171e-05
AANAT	-0.962784558503114	0.102107013794383	0.136294593689992	0.136294593689992	0.0324840367596939
AARD	-2.56616513184961	8.77673323335734e-05	0.000171100835982154	0.000171100835982154	4.07796501327169e-05
AARS2	-0.393710934681943	0.000240315597872456	0.000447498958546575	0.000447498958546575	0.000106655533618713
AARSD1	0.934864781401069	2.17525853810051e-11	6.98317615413214e-11	6.98317615413214e-11	1.66434885455698e-11
AASDH	-0.349211698470765	0.00643286164435187	0.0102460833875041	0.0102460833875041	0.00244202018870695
AASDHPPT	1.01365671998987	1.12521509006912e-16	4.72308329034525e-16	4.72308329034525e-16	1.12568523129863e-16
AASS	-2.24056319629189	7.16773971639677e-75	1.52729395381951e-73	1.52729395381951e-73	3.64010571480021e-74
AATF	-0.44741862685415	0.000236976044460253	0.000441820638163233	0.000441820638163233	0.000105302180099164
AATK	0.248122884036382	0.13975086140926	0.181677204601591	0.181677204601591	0.0433003894938048
ABAT	1.85723074516463	1.05440061980176e-19	5.09201314314874e-19	5.09201314314874e-19	1.21361484446785e-19
ABCA1	-1.6603782136139	2.72846469433757e-14	1.02734547438772e-13	1.02734547438772e-13	2.44854379410108e-14
ABCA10	-0.850081735525952	0.0102342626704234	0.0158853967751854	0.0158853967751854	0.0037860769001679
ABCA12	-6.7815708537665	2.5009296197182e-80	5.7693621585455e-79	5.7693621585455e-79	1.37505213790399e-79
ABCA13	-5.19412892689316	1.27594114492903e-09	3.63488047206521e-09	3.63488047206521e-09	8.66326298607472e-10
ABCA2	0.756607979968515	2.64076126585566e-10	7.89494282051957e-10	7.89494282051957e-10	1.88165653423325e-10
ABCA3	3.187575988909	1.51632484482598e-32	1.18836726725061e-31	1.18836726725061e-31	2.83231821220951e-32
ABCA4	-11.266580192054	1.19660442133673e-164	9.87228120618105e-163	9.87228120618105e-163	2.35292931965481e-163
ABCA5	-0.157290173143778	0.102184619947567	0.136387313905152	0.136387313905152	0.0325061354122971
ABCA6	0.218759931363168	0.671440153423145	0.725361522900783	0.725361522900783	0.172880447683574
ABCA7	0.431516256470868	0.025255893816374	0.037042272496421	0.037042272496421	0.00882854197557726
ABCA8	-8.35975195921488	1.61937859397817e-78	3.64045002576463e-77	3.64045002576463e-77	8.67653729008112e-78
ABCA9	0.342232536351319	0.481001977016436	0.549135726726058	0.549135726726058	0.130879330207361
ABCB1	-1.22111147520935	0.000718158220288458	0.00127444159583486	0.00127444159583486	0.000303746513536308
ABCB10	-0.491140667984637	6.56175040422563e-05	0.000129625142451015	0.000129625142451015	3.08944601422481e-05
ABCB11	-0.42243163726781	0.426862925235652	0.495090046526779	0.495090046526779	0.117998248025266
ABCB4	2.98788205788536	2.10285100521058e-16	8.73259326438551e-16	8.73259326438551e-16	2.08129958003305e-16
ABCB5	-5.02840017802351	1.19571010962134e-06	2.75343777202505e-06	2.75343777202505e-06	6.56245940359403e-07
ABCB6	0.416256101889582	0.00227697653480724	0.00382495516599315	0.00382495516599315	0.000911628120033249
ABCB7	0.0658926715831077	0.64532426090067	0.703776175136056	0.703776175136056	0.167735861891308
ABCB8	0.148649210960462	0.317260856086965	0.381524005007862	0.381524005007862	0.0909312649008697
ABCB9	0.124464408215194	0.278082684675101	0.33859169777816	0.33859169777816	0.0806989100548644
ABCC1	-0.763914034665768	5.45899043890412e-05	0.000108660769991403	0.000108660769991403	2.58978757056639e-05
ABCC10	0.0635740084353889	0.666994376477622	0.721349723443576	0.721349723443576	0.171924287666421
ABCC11	-0.00294687705016738	0.984699027386795	0.98889124606788	0.98889124606788	0.235689316200422
ABCC12	0.0976018115027774	0.777727521814412	0.819567138699287	0.819567138699287	0.195333126133379
ABCC2	-0.0408693575766193	0.906624728157314	0.926936752773255	0.926936752773255	0.220923271685198
ABCC3	-3.09324720196366	4.17269201334321e-06	9.19529550519369e-06	9.19529550519369e-06	2.19157861746422e-06
ABCC4	-1.62658258045416	1.28734095358129e-13	4.70032402236308e-13	4.70032402236308e-13	1.12026085695083e-13
ABCC5	0.799502537475284	1.66124278936424e-10	5.04269324865334e-10	5.04269324865334e-10	1.20186009160203e-10
ABCC6	-1.19346240648575	0.00192065460884748	0.00325084622425242	0.00325084622425242	0.000774796750111168
ABCC8	6.74613050759735	2.68751612213374e-119	1.15116419471856e-117	1.15116419471856e-117	2.74364954656504e-118
ABCC9	-0.417588995969298	0.424589397978625	0.492828556195579	0.492828556195579	0.117459251333897
ABCD1	0.583553486611175	0.000352497165053653	0.000645981236493991	0.000645981236493991	0.000153961192914758
ABCD2	-1.58793383819493	0.00082811833112375	0.00146054399848995	0.00146054399848995	0.000348101591204801
ABCD3	-1.23151750993769	1.26597374729713e-21	6.61958423969165e-21	6.61958423969165e-21	1.57769146929725e-21
ABCD4	0.474807424059884	0.00336918155748511	0.00556150726638682	0.00556150726638682	0.0013255126383922
ABCE1	-0.190293631654256	0.075748469295003	0.103384839357241	0.103384839357241	0.0246404265286884
ABCF1	-0.403024262925748	1.89428421348431e-05	3.95283727977014e-05	3.95283727977014e-05	9.4210715205038e-06
ABCF2	-0.0153608377887987	0.881163208331472	0.905715073839173	0.905715073839173	0.215865361610165
ABCF3	-0.574056279616375	3.47542039561235e-07	8.33662858575131e-07	8.33662858575131e-07	1.98692656913028e-07
ABCG1	-0.683223020468609	5.05152228822004e-05	0.000100958108929725	0.000100958108929725	2.40620470179602e-05
ABCG2	-5.65166417272987	1.37035795111164e-25	8.40686995062922e-25	8.40686995062922e-25	2.00366768128279e-25
ABCG4	3.34819392185273	2.43237296805241e-14	9.18957420910033e-14	9.18957420910033e-14	2.19021502124534e-14
ABCG5	1.06288292777855	0.00840178690873922	0.0131914434374767	0.0131914434374767	0.00314400829801868
ABCG8	1.30902979983384	0.0431846768130328	0.0610704185818352	0.0610704185818352	0.0145553368511043
ABHD1	1.94774048722662	4.57217409879543e-06	1.0043910257952e-05	1.0043910257952e-05	2.39383486312368e-06
ABHD10	0.59061912993693	0.000465829645043046	0.00084260880172599	0.00084260880172599	0.000200824805652718
ABHD11	-2.54924656449226	1.43265654164192e-73	2.98063748564211e-72	2.98063748564211e-72	7.10396025473677e-73
ABHD12B	-0.650012455260086	0.244631237173676	0.301922178348175	0.301922178348175	0.0719592089055046
ABHD13	-0.711447539793486	6.15078204632674e-05	0.000121779522061568	0.000121779522061568	2.90245589654406e-05
ABHD14A	1.02855496854204	3.58237001824653e-09	9.90548672042147e-09	9.90548672042147e-09	2.36084342039796e-09
ABHD14A-ACY1	0.14923385553591	0.434257155658824	0.502691377037184	0.502691377037184	0.119809925899182
ABHD14B	-1.92900112206577	4.04241503031578e-31	3.02377699543227e-30	3.02377699543227e-30	7.20677764344453e-31
ABHD15	-4.24823757566095	5.48703839726084e-33	4.34090312127183e-32	4.34090312127183e-32	1.0345975782605e-32
ABHD16A	0.445044511384591	8.46773270889433e-05	0.00016532710119907	0.00016532710119907	3.9403555836849e-05
ABHD17A	-0.456320039183981	0.00404487535498786	0.00661493725664845	0.00661493725664845	0.00157658392156619
ABHD17B	0.497938902258698	0.000192100648120504	0.00036194191188235	0.00036194191188235	8.62641286946623e-05
ABHD17C	1.59486788790782	8.11803212503463e-31	6.00533577871378e-30	6.00533577871378e-30	1.43129336908078e-30
ABHD18	-0.0855812182817535	0.526637529719041	0.593108070368227	0.593108070368227	0.141359564152157
ABHD2	-1.38583842012325	5.27464932827059e-12	1.75765672403255e-11	1.75765672403255e-11	4.18914529832808e-12
ABHD3	-1.75273917953011	1.36244464115558e-28	9.35940231750354e-28	9.35940231750354e-28	2.23069133337807e-28
ABHD4	-1.99162538522178	1.2942909846475e-28	8.90217059994922e-28	8.90217059994922e-28	2.12171612373391e-28
ABHD5	-0.753092183753709	6.93997980261689e-09	1.88352902528321e-08	1.88352902528321e-08	4.48914549277116e-09
ABHD6	0.569672752127659	0.00750852099750876	0.0118567518071164	0.0118567518071164	0.00282590197545906
ABHD8	0.327940852779672	0.0296712704551688	0.0431029957136931	0.0431029957136931	0.0102730362174252
ABI1	-0.441213375263079	5.68842331725293e-05	0.000113026116641775	0.000113026116641775	2.69382990799177e-05
ABI2	1.3334513601894	2.90058870316868e-65	5.11897361440137e-64	5.11897361440137e-64	1.22004052075859e-64
ABI3	-0.985320795816829	0.0767627473370118	0.104641257724261	0.104641257724261	0.0249398774409723
ABI3BP	-0.786691382302994	0.065227365246801	0.0898378218053802	0.0898378218053802	0.0214116717833621
ABL1	0.298357328363656	0.0167656857481062	0.0252170368126881	0.0252170368126881	0.00601015145660959
ABL2	1.33465197014444	1.54004201832525e-24	9.08510874354042e-24	9.08510874354042e-24	2.16531704157136e-24
ABLIM1	0.0445055228833699	0.675157597387402	0.728531630761176	0.728531630761176	0.173636001498888
ABLIM2	1.40269253775834	2.34845026454001e-10	7.03736715521847e-10	7.03736715521847e-10	1.677264572075e-10
ABLIM3	0.560959434709059	0.0756503102459334	0.103267698752864	0.103267698752864	0.0246125075951811
ABO	-1.53156565815328	0.000240093545784102	0.000447135183452923	0.000447135183452923	0.00010656883257508
ABR	0.132813293104768	0.389942426697877	0.457079770600227	0.457079770600227	0.108938995071677
ABRA	0.38434910124378	0.465057405892776	0.533467136229259	0.533467136229259	0.127144926252731
ABRACL	0.444633595167997	0.104196786573296	0.138840622287339	0.138840622287339	0.0330908494314832
ABRAXAS1	-1.11072816939463	8.12297657833237e-17	3.43544474075531e-16	3.43544474075531e-16	8.18793396152055e-17
ABRAXAS2	-0.254797332275925	0.0153758521953041	0.0232750155971577	0.0232750155971577	0.0055472960575401
ABT1	-0.405871732520176	3.67771506239891e-05	7.46417497152897e-05	7.46417497152897e-05	1.77898864211324e-05
ABTB1	-0.154792543495995	0.415081803669659	0.482897335916883	0.482897335916883	0.115092274655896
ABTB2	1.43073217901435	1.15321762096042e-22	6.30767103718001e-22	6.30767103718001e-22	1.50335103023869e-22
ACAA1	-0.641496966415122	3.5718237366556e-07	8.56174380156118e-07	8.56174380156118e-07	2.04057984141023e-07
ACAA2	-1.3064416174215	1.84604401607945e-20	9.2181112645494e-20	9.2181112645494e-20	2.19701645579329e-20
ACACA	1.25711456859431	1.75922108594802e-12	6.03017493807969e-12	6.03017493807969e-12	1.43721345838202e-12
ACACB	-0.417507303204347	0.00238502129180394	0.00399763176492518	0.00399763176492518	0.000952783332689778
ACAD10	-0.884342578563389	5.1968792363443e-10	1.518446152308e-09	1.518446152308e-09	3.619018135186e-10
ACAD11	-0.98005616313175	1.09283181246152e-19	5.27001070979141e-19	5.27001070979141e-19	1.25603824030047e-19
ACAD8	0.0339237177144049	0.817961792057005	0.852843434811101	0.852843434811101	0.20326409681136
ACAD9	-1.05388758534896	1.5923144150294e-10	4.8393002688993e-10	4.8393002688993e-10	1.15338403065114e-10
