gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.239073095933192	0.229088771170472	0.297903574005487	0.297903574005487	0.0861663511514683
A1CF	-0.233045397477444	0.614926235845659	0.690253608885924	0.690253608885924	0.199650625358853
A2M	-9.48362419789288	1.96769353965093e-42	5.80192454261863e-41	5.80192454261863e-41	1.67816270470253e-41
A2ML1	-4.40870946389818	1.7395527382933e-09	6.89073539757243e-09	6.89073539757243e-09	1.99309299306406e-09
A3GALT2	0.428242520323607	0.390835559113426	0.471491316288386	0.471491316288386	0.136375290091098
A4GALT	-2.07152253685528	6.00284447706409e-06	1.67727125962411e-05	1.67727125962411e-05	4.85138000829675e-06
A4GNT	-3.516810940942	2.61404624701939e-05	6.73228456790416e-05	6.73228456790416e-05	1.94726229138478e-05
AAAS	-0.404642869683537	0.0184251424131687	0.03084300701007	0.03084300701007	0.00892110603731104
AACS	-0.207838025845352	0.244266871565835	0.315030152855737	0.315030152855737	0.0911200842920005
AADACL4	0.0696666828461867	0.802761432326872	0.848559760439619	0.848559760439619	0.245439479989922
AADAT	0.948649503305225	5.58535955667635e-06	1.56715700879905e-05	1.56715700879905e-05	4.5328828826732e-06
AAGAB	0.924199876329454	1.01608799197123e-08	3.75578055385877e-08	3.75578055385877e-08	1.08633106243193e-08
AAK1	1.57176819433574	1.14250422900978e-26	1.52224827585169e-25	1.52224827585169e-25	4.4029877759821e-26
AAMDC	-1.76268413622006	3.6395705269536e-20	3.17973537743447e-19	3.17973537743447e-19	9.19714360646505e-20
AAMP	-0.00831187705258712	0.911376385847503	0.936044164533074	0.936044164533074	0.270743680882976
AANAT	-0.749618049780784	0.196930345726641	0.261844191031262	0.261844191031262	0.0757364478982595
AARD	-3.47419412192813	4.06380242311611e-13	2.18914644523476e-12	2.18914644523476e-12	6.33194019077503e-13
AARS2	0.0469056513070223	0.75040141098553	0.806191822601428	0.806191822601428	0.233184875051004
AARSD1	0.566219811381047	0.000462904408918229	0.00100549425193136	0.00100549425193136	0.000290831592343048
AASDH	-0.0873455648767334	0.610358119498719	0.686070546414012	0.686070546414012	0.198440706239733
AASDHPPT	1.45105471800816	2.34263456851047e-18	1.80720606878919e-17	1.80720606878919e-17	5.22720659683949e-18
AASS	-1.81972397776466	1.50017928933508e-05	3.97799283372133e-05	3.97799283372133e-05	1.15060428037074e-05
AATF	0.208488487562019	0.0427330501439123	0.0663231511268875	0.0663231511268875	0.019183468840713
AATK	1.09773327815119	6.31687261893847e-11	2.84548097423296e-10	2.84548097423296e-10	8.23033807630866e-11
ABAT	0.846825896507576	0.00472735583496943	0.00879317586895469	0.00879317586895469	0.00254335948197457
ABCA1	-1.89144815805478	2.37612593959055e-08	8.51784187420002e-08	8.51784187420002e-08	2.46372121058031e-08
ABCA10	-0.295956332033463	0.43990776732077	0.52178295234336	0.52178295234336	0.150921764690341
ABCA12	-1.1246304145788	0.0768727736414608	0.113413073726849	0.113413073726849	0.032803872086929
ABCA13	-4.8544978984537	1.07528288990878e-06	3.25774924750223e-06	3.25774924750223e-06	9.42279281344031e-07
ABCA2	0.113518495146557	0.458262071491825	0.540694812276873	0.540694812276873	0.15639187685465
ABCA3	1.87585357208477	5.83082670693968e-05	0.000143652082506363	0.000143652082506363	4.15502762133864e-05
ABCA4	-9.45200234887881	1.02848392506796e-25	1.29123304175699e-24	1.29123304175699e-24	3.73479371859977e-25
ABCA5	0.197478893459388	0.0904965289465229	0.131440106391151	0.131440106391151	0.0380180546691853
ABCA6	-0.309624988125316	0.521082283400054	0.602491272515299	0.602491272515299	0.174266034660907
ABCA7	0.450593886782213	0.117432251684343	0.16591491068073	0.16591491068073	0.0479896305464163
ABCA8	-8.82471008459224	8.87467724390964e-47	3.22414521650756e-45	3.22414521650756e-45	9.32559570043293e-46
ABCA9	0.790907272244857	0.0924769613027352	0.133979597569049	0.133979597569049	0.0387525832471365
ABCB1	1.31381237672492	0.0018689781992305	0.00371136434440507	0.00371136434440507	0.00107348401045083
ABCB10	-0.360769507650118	0.0430023080686858	0.0667224991230638	0.0667224991230638	0.0192989772221919
ABCB11	-0.410939674741351	0.373892463077866	0.45400382384322	0.45400382384322	0.13131716542838
ABCB4	2.02528790117854	1.46491714934593e-06	4.37411881213151e-06	4.37411881213151e-06	1.26518071762853e-06
ABCB5	-0.0894124844443187	0.683567975982028	0.749976839944121	0.749976839944121	0.216925117336469
ABCB6	-1.24479285504333	4.9316007725488e-09	1.8754416380256e-08	1.8754416380256e-08	5.42457280969788e-09
ABCB7	0.0675739377365658	0.662055277161353	0.730778473729542	0.730778473729542	0.211372135401618
ABCB8	-0.0218886214408859	0.929541483742231	0.949266270248348	0.949266270248348	0.274568074758839
ABCB9	0.0241370231690626	0.850902143851559	0.888239161382816	0.888239161382816	0.256916446006746
ABCC1	0.227225021343536	0.445329942241565	0.527467176284422	0.527467176284422	0.152565883388025
ABCC10	0.322038340480933	0.16978015481321	0.230203856283325	0.230203856283325	0.0665847208552315
ABCC11	-0.155108798991674	0.456570813331708	0.538951788954006	0.538951788954006	0.155887720567822
ABCC12	-0.0122746951511946	0.974585448490778	0.983333760547235	0.983333760547235	0.284421838151046
ABCC2	-0.682802449840932	0.193818031460287	0.258197931188107	0.258197931188107	0.074681794871408
ABCC3	-8.05919948105771	1.61432642909275e-24	1.89068105135981e-23	1.89068105135981e-23	5.46865165786484e-24
ABCC4	-1.80827689440003	8.21036419068946e-09	3.05571509923705e-08	3.05571509923705e-08	8.83842435051999e-09
ABCC5	1.2109432500635	9.65636055600677e-08	3.26980846324305e-07	3.26980846324305e-07	9.45767318107618e-08
ABCC6	-3.19555907626649	4.89234397203198e-13	2.62030626298662e-12	2.62030626298662e-12	7.57903728864757e-13
ABCC8	3.4836191350761	4.07843277387182e-10	1.70465665327689e-09	1.70465665327689e-09	4.93059018406534e-10
ABCC9	-5.44437843616099	2.86439988848307e-10	1.21235707183003e-09	1.21235707183003e-09	3.50665095311506e-10
ABCD1	0.134147301904494	0.562423207804653	0.64169656545489	0.64169656545489	0.185605868530663
ABCD2	-1.24117623337613	0.00725339221020528	0.0130441117509415	0.0130441117509415	0.00377291047058709
ABCD3	-0.521074635388843	0.00202905611010512	0.00400448122601544	0.00400448122601544	0.00115826584710244
ABCD4	0.439899196926436	8.62558912753996e-05	0.000207798283527099	0.000207798283527099	6.0104078733673e-05
ABCE1	-0.283033631771336	0.0599608569471078	0.0904706695630776	0.0904706695630776	0.0261679555490563
ABCF1	-0.0500148246096118	0.60457691159719	0.680912932281213	0.680912932281213	0.196948905438235
ABCF2	0.342354157590682	0.061027064399741	0.0918972554007248	0.0918972554007248	0.0265805846913712
ABCF3	-0.453132228679457	1.70374598722263e-06	5.05300828652464e-06	5.05300828652464e-06	1.46154435320719e-06
ABCG1	1.2541931645601	6.15350097897894e-05	0.000151112660404603	0.000151112660404603	4.37081918312795e-05
ABCG2	-3.83948823744562	8.83980270676841e-06	2.41476130701284e-05	2.41476130701284e-05	6.98451408049286e-06
ABCG4	2.7295441312122	7.82377639125649e-27	1.05416417538828e-25	1.05416417538828e-25	3.04908998863276e-26
ABCG5	1.16660232683973	0.00117519953124789	0.00239771201049096	0.00239771201049096	0.000693520028236559
ABCG8	0.949240207724113	0.109929010585516	0.156448935187477	0.156448935187477	0.0452516688718515
ABHD1	0.697363369102781	0.0147512294704415	0.0251838523110045	0.0251838523110045	0.00728423842789064
ABHD10	0.348719147720431	0.108012790794046	0.15395729533776	0.15395729533776	0.0445309809279409
ABHD11	-0.176038152735835	0.609924675842771	0.685893941517138	0.685893941517138	0.198389624611693
ABHD12B	-2.41894563641326	0.00020799924608881	0.000476157924206587	0.000476157924206587	0.00013772507106606
ABHD13	-0.275697290977205	0.218810156958903	0.286545664926712	0.286545664926712	0.0828811620251029
ABHD14A	-0.102628822139982	0.51430594301654	0.595766768131208	0.595766768131208	0.172321022728729
ABHD14A-ACY1	-0.541149168588268	0.000811515460943067	0.00169784646344466	0.00169784646344466	0.000491089222607837
ABHD14B	-2.75008880923124	1.19579158908342e-41	3.44700818140604e-40	3.44700818140604e-40	9.97020993697598e-41
ABHD15	-3.90017458125601	4.75014975117519e-23	5.09318233243803e-22	5.09318233243803e-22	1.47316439153304e-22
ABHD16A	0.627082423243349	2.13341340089054e-08	7.66582442353889e-08	7.66582442353889e-08	2.21728161989754e-08
ABHD17A	-0.22086253993126	0.139068375691079	0.192632301387328	0.192632301387328	0.0557174333334795
ABHD17B	0.919410358467857	2.29789981929987e-06	6.71508087169304e-06	6.71508087169304e-06	1.94228625263204e-06
ABHD17C	1.89347061305351	2.44332627127206e-18	1.88141739729952e-17	1.88141739729952e-17	5.44185724053132e-18
ABHD18	-0.148985228079505	0.20134297996369	0.266800556090821	0.266800556090821	0.0771700389304669
ABHD2	-0.35111682509133	0.299123687671187	0.375147785017002	0.375147785017002	0.108508653799753
ABHD3	-0.927383301269292	9.80933834587409e-10	3.97211795494921e-09	3.97211795494921e-09	1.14890501620803e-09
ABHD4	-2.21747862833457	2.96539540180644e-32	5.2778365769877e-31	5.2778365769877e-31	1.52657423238705e-31
ABHD5	0.293443537065856	0.0781325780882269	0.115068978000495	0.115068978000495	0.0332828298489919
ABHD6	0.116237558155444	0.64634208798382	0.717168231718101	0.717168231718101	0.207435476043538
ABHD8	0.30105249005397	0.0809540665255042	0.118775182318804	0.118775182318804	0.0343548213609992
ABI1	-0.39163668705894	0.000269577938638499	0.000606921806199432	0.000606921806199432	0.000175547532952728
ABI2	0.904405750768083	5.14765783151723e-07	1.61659428768518e-06	1.61659428768518e-06	4.67587646530126e-07
ABI3	0.168847929947412	0.742173571764218	0.7995379955862	0.7995379955862	0.231260306012148
ABI3BP	-7.3445956761411	8.33571832756e-54	4.05833170203415e-52	4.05833170203415e-52	1.17384168919091e-52
ABL1	-0.118641723550183	0.501735287882678	0.583383962889412	0.583383962889412	0.168739390154273
ABL2	1.16338028809453	2.28232274424029e-17	1.64405769120587e-16	1.64405769120587e-16	4.75531227870088e-17
ABLIM1	0.0442378508117551	0.896728408503207	0.924683160291353	0.924683160291353	0.267457596504185
ABLIM2	2.40570493959768	2.83123187197051e-14	1.64872988149382e-13	1.64872988149382e-13	4.76882623503195e-14
ABLIM3	-1.90426463160747	6.13785918738663e-05	0.000150750646238967	0.000150750646238967	4.36034819773539e-05
ABO	-1.07875446805738	0.000126731892316731	0.000298440063627758	0.000298440063627758	8.63215267089822e-05
ABR	0.35091292410037	0.0664189777492989	0.0992669140947045	0.0992669140947045	0.0287122026184533
ABRA	-1.64187083213721	0.0151349594072246	0.0257837758266909	0.0257837758266909	0.00745776175834824
ABRACL	1.1426878100365	3.392926557234e-05	8.60589640777753e-05	8.60589640777753e-05	2.48919031710596e-05
ABRAXAS1	-0.831493954741519	1.80168797609394e-08	6.52143294221337e-08	6.52143294221337e-08	1.88627505656968e-08
ABRAXAS2	-0.143759815937601	0.356104734183163	0.43584055013882	0.43584055013882	0.126063576157764
ABT1	0.365310371276905	0.0384694286930551	0.0602643337153948	0.0602643337153948	0.0174310018205231
ABTB1	0.300431357472852	0.134107483489482	0.186609515909093	0.186609515909093	0.0539753882769204
ABTB2	1.49859221700435	1.90051226741268e-11	8.88603558197306e-11	8.88603558197306e-11	2.57021845023796e-11
ACAA1	-0.326688999686707	0.0393107481523549	0.0614730541601904	0.0614730541601904	0.0177806150490247
ACAA2	-1.3713880398024	4.29543506898732e-25	5.21303960401446e-24	5.21303960401446e-24	1.50783219901131e-24
ACACA	1.35384314414349	8.39092928243825e-07	2.57524800480623e-06	2.57524800480623e-06	7.44870969155154e-07
ACACB	-0.803217697408262	0.000236191534480156	0.000536225541476704	0.000536225541476704	0.000155099174145581
ACAD10	-0.627820524693021	4.68521658589271e-10	1.94903147989397e-09	1.94903147989397e-09	5.63742585037655e-10
ACAD11	-1.59150141963346	4.54513418968233e-12	2.24653661026701e-11	2.24653661026701e-11	6.49793689388e-12
ACAD8	0.362293017642644	0.0455592416930778	0.0703249935369279	0.0703249935369279	0.0203409714302926
ACAD9	-0.686864333785474	1.6861037103992e-06	5.00334247727956e-06	5.00334247727956e-06	1.44717889426995e-06
ACADL	-6.19031247855197	1.00122268248194e-34	2.02517844036324e-33	2.02517844036324e-33	5.85767516281988e-34
ACADM	0.505432768843967	1.18580229159462e-06	3.57512453278609e-06	3.57512453278609e-06	1.03407767741854e-06
ACADS	-0.0946365855221006	0.683054665273201	0.749511860970685	0.749511860970685	0.216790625692195
ACADSB	-0.472385737569958	1.18157548257292e-05	3.17233507248016e-05	3.17233507248016e-05	9.1757387852087e-06
ACADVL	-1.39347237989307	1.22797029776872e-14	7.33977392827644e-14	7.33977392827644e-14	2.12297398508086e-14
ACAN	-6.94060802553269	6.10874320887814e-21	5.62757047647366e-20	5.62757047647366e-20	1.6277321123933e-20
ACAP1	-1.33040680732271	0.000953580632994681	0.00197289295137677	0.00197289295137677	0.000570644334832505
ACAP2	-0.657100099517114	5.91729365005103e-06	1.65502394874841e-05	1.65502394874841e-05	4.78703134757686e-06
ACAP3	1.53093117418037	3.91367162370679e-17	2.7773801844848e-16	2.7773801844848e-16	8.03336170290589e-17
ACAT1	0.360591158998452	0.043533353042345	0.0674464936866969	0.0674464936866969	0.0195083871630092
ACAT2	2.9514643103641	1.88062137777737e-29	2.89757560579718e-28	2.89757560579718e-28	8.38101785017354e-29
ACBD3	-0.928072301082084	5.76916119127112e-07	1.80044545633097e-06	1.80044545633097e-06	5.2076520376497e-07
ACBD4	-0.20064044886941	0.138434384126428	0.191833449060849	0.191833449060849	0.0554863713520601
ACBD5	0.43574866989883	0.00409239451201847	0.00770759817013955	0.00770759817013955	0.00222936435952402
ACBD6	1.12815329943054	6.85097545303146e-21	6.30094107014668e-20	6.30094107014668e-20	1.8224994535479e-20
ACBD7	-0.361259358524611	0.29291145475969	0.368571077709639	0.368571077709639	0.106606391051955
ACCS	-2.56707803359346	3.92061552525668e-25	4.77545227759992e-24	4.77545227759992e-24	1.38126338105354e-24
ACCSL	0.277070710444652	0.371910080868828	0.452177860935836	0.452177860935836	0.130789019495279
ACD	1.04334266860352	1.3158530391276e-15	8.39539302830818e-15	8.39539302830818e-15	2.42830380987127e-15
ACE	-0.446831096541783	0.131194264377931	0.182874868065052	0.182874868065052	0.0528951696906511
ACE2	-1.26857526414129	0.00574837926598228	0.0105297884662224	0.0105297884662224	0.00304566151500581
ACER1	-0.767768728474957	0.17009508802117	0.230556210276672	0.230556210276672	0.0666866365775308
ACER2	0.914298773395176	0.00560932333011265	0.0102964650518113	0.0102964650518113	0.00297817448560337
ACER3	0.55233600646999	0.0187267614528525	0.0312978545866055	0.0312978545866055	0.00905266725181139
ACHE	3.22904486981887	2.18280347191079e-22	2.21695527880909e-21	2.21695527880909e-21	6.41237513442677e-22
ACIN1	0.0908616134433348	0.509240027504696	0.591125033313602	0.591125033313602	0.170978436109615
ACKR1	3.47222643258308	8.35413912462279e-08	2.84207032417596e-07	2.84207032417596e-07	8.22047302949116e-08
ACKR2	-2.99224710360461	0.000533865886736313	0.00114880969691119	0.00114880969691119	0.000332284498703053
ACKR3	-4.75957945982447	1.58777546415542e-21	1.52827950998132e-20	1.52827950998132e-20	4.42043266363158e-21
ACKR4	-2.20013694994388	0.000584320471259781	0.00124887688267724	0.00124887688267724	0.000361228173837672
ACLY	1.3445243842682	1.75504412978965e-08	6.35947189219321e-08	6.35947189219321e-08	1.83942905025543e-08
ACMSD	0.141621582711795	0.762434044513135	0.816203890442159	0.816203890442159	0.236080789798575
ACO1	-0.834594840847109	1.37792993294807e-10	6.02547533081313e-10	6.02547533081313e-10	1.74282307603262e-10
ACO2	0.101844309026634	0.110843659704857	0.157616710200114	0.157616710200114	0.0455894389444019
ACOD1	-2.3797051660045	0.000477358080594914	0.00103369553907188	0.00103369553907188	0.000298988600928075
ACOT1	-1.49579685352534	1.52948203808083e-05	4.04736375000439e-05	4.04736375000439e-05	1.17066929218573e-05
ACOT11	-4.53993159434192	6.85889027574291e-55	3.48099073751946e-53	3.48099073751946e-53	1.00685019052033e-53
ACOT12	0.583882818671082	0.264282845588181	0.337543590170888	0.337543590170888	0.097631925419788
ACOT13	0.12019317725435	0.597786011917286	0.674780624626994	0.674780624626994	0.195175181922274
ACOT2	-1.33265572509267	3.14070053678637e-07	1.01038134057046e-06	1.01038134057046e-06	2.9224514569564e-07
ACOT4	-2.389212038209	0.000353610164441598	0.000782126655317998	0.000782126655317998	0.000226224207789507
ACOT6	-0.81006070439897	0.00809690233926945	0.0144585691841438	0.0144585691841438	0.00418203156383007
ACOT7	3.28762033168287	7.76460754338337e-38	1.83674642848284e-36	1.83674642848284e-36	5.31264984856953e-37
ACOT9	-1.87078561663128	1.74289525641755e-07	5.7483280335725e-07	5.7483280335725e-07	1.66266032063621e-07
ACOX1	-0.789769486107088	5.00126349665684e-14	2.8629250120348e-13	2.8629250120348e-13	8.28079363367316e-14
ACOX2	-4.18900388648892	5.62792298936305e-50	2.29893790794762e-48	2.29893790794762e-48	6.64950367624619e-49
ACOX3	-0.637914199617343	1.89166840799136e-10	8.16117014349287e-10	8.16117014349287e-10	2.36055661547093e-10
ACOXL	0.870729216090659	0.00262646644555908	0.00510895006158229	0.00510895006158229	0.001477725087694
ACP1	-0.389449401520809	0.0562955219208384	0.0854096748917657	0.0854096748917657	0.0247041011945734
ACP2	-0.581420793494355	0.000136455559514343	0.000320122945895254	0.000320122945895254	9.25931360835063e-05
ACP4	-0.127503992686188	0.798229081064141	0.846069277239557	0.846069277239557	0.244719126598158
ACP5	0.9712983111085	0.0413212977294577	0.0643706719721847	0.0643706719721847	0.0186187290418647
ACP6	-1.00169838322576	4.59764266890637e-11	2.09299590700853e-10	2.09299590700853e-10	6.05383204561894e-11
ACR	-0.153242121248581	0.7543052655211	0.809187898783795	0.809187898783795	0.234051467381318
ACRBP	0.802814762250182	7.42520740118141e-05	0.000180280332784845	0.000180280332784845	5.21447200232529e-05
ACRV1	0.217477895972855	0.675043300221211	0.742472265850453	0.742472265850453	0.214754476152468
ACSBG1	-0.310463374843878	0.0419443971583926	0.0652139587457073	0.0652139587457073	0.0188626433503496
ACSBG2	-0.447163472916273	0.385075492236293	0.465716662620843	0.465716662620843	0.134705015280342
ACSF2	-4.20535702635133	7.53232502441088e-37	1.70474837174099e-35	1.70474837174099e-35	4.93085547277196e-36
ACSF3	0.295607064406944	0.0854792846192236	0.124856711913724	0.124856711913724	0.0361138577081236
ACSL1	-1.34348247377889	4.9357789780098e-16	3.24174220877287e-15	3.24174220877287e-15	9.37649366699154e-16
ACSL3	0.244585402124966	0.185286079319868	0.248333167129413	0.248333167129413	0.0718284866264652
ACSL4	2.15595426939057	3.66415798151055e-14	2.12050165426188e-13	2.12050165426188e-13	6.1333903350563e-14
ACSL5	-3.51546760485107	0.000908265869392322	0.00188449415022084	0.00188449415022084	0.000545075651518789
ACSL6	2.54685265340011	1.80992864758916e-35	3.8177185125722e-34	3.8177185125722e-34	1.10424614759975e-34
ACSM1	-0.681439043133352	0.226441325635382	0.295131464726955	0.295131464726955	0.0853645395507797
ACSM2A	-0.00480741472870112	0.979292106655307	0.986715449540554	0.986715449540554	0.285399966064604
ACSM3	-2.36135713000297	0.00440944097536959	0.00824211132315736	0.00824211132315736	0.00238396823828501
ACSM4	0.0696666828461867	0.802761432326872	0.848559760439619	0.848559760439619	0.245439479989922
ACSM5	-0.373403030635395	0.438055870784944	0.519844095791557	0.519844095791557	0.150360965126144
ACSM6	0.466377105042964	0.219524163788467	0.28730098422515	0.28730098422515	0.0830996324080715
ACSS3	-0.592462249786432	0.00978869508010605	0.0172424342870863	0.0172424342870863	0.00498724344763929
ACTA1	-8.26802269728227	4.79239605682529e-50	1.96242173984621e-48	1.96242173984621e-48	5.67615616252222e-49
ACTA2	-6.66669924487572	1.3221524013325e-64	1.02992597290775e-62	1.02992597290775e-62	2.97898282482346e-63
ACTB	0.300847989219942	0.177616964067625	0.239241508300192	0.239241508300192	0.069198793210254
ACTC1	-9.66490713370004	3.22911711630657e-52	1.48984169322045e-50	1.48984169322045e-50	4.30925419161863e-51
ACTG1	0.204864549344168	0.504652196681946	0.586368460526519	0.586368460526519	0.169602633478118
ACTG2	-6.0614746107469	8.57585809363603e-07	2.62670942487594e-06	2.62670942487594e-06	7.5975579491558e-07
ACTL6A	0.409991044445786	3.11376662818622e-05	7.93453990442411e-05	7.93453990442411e-05	2.29500553631274e-05
ACTL6B	5.57850484733101	2.4739302258868e-19	2.03904445980079e-18	2.03904445980079e-18	5.8977815732219e-19
ACTL7A	0.0349483317144985	0.876773743331013	0.908623698893878	0.908623698893878	0.262812518999835
ACTL7B	3.21223101684289	0.00213176098631291	0.00419686528726563	0.00419686528726563	0.00121391147885751
ACTL8	0.883670029086306	0.12295697480933	0.172773170073551	0.172773170073551	0.0499733301012218
ACTN1	-2.56730259564129	2.10571847870707e-15	1.32282719735131e-14	1.32282719735131e-14	3.82617741932785e-15
ACTN2	-6.01917478625624	3.26845885157718e-28	4.72304994359057e-27	4.72304994359057e-27	1.36610640306669e-27
ACTN3	-5.20375076804423	6.36701082566312e-19	5.10702573315163e-18	5.10702573315163e-18	1.47716849027875e-18
ACTN4	-0.811076963636532	2.33189890371338e-10	9.95530023945747e-10	9.95530023945747e-10	2.87949514911019e-10
ACTR10	0.720331190550675	5.54459762961383e-11	2.5083987331381e-10	2.5083987331381e-10	7.25535323935034e-11
ACTR1A	1.20962399294899	9.94534130580025e-19	7.8903162572024e-18	7.8903162572024e-18	2.28221418149793e-18
ACTR1B	0.538771312379687	3.76693592074773e-06	1.07788557663904e-05	1.07788557663904e-05	3.11770234405015e-06
ACTR2	0.371415698283848	0.0123908845522863	0.0214582291884697	0.0214582291884697	0.00620663017392438
ACTR3	-0.145903269375722	0.296337178460954	0.372043108310648	0.372043108310648	0.107610649590893
ACTR3B	0.188224794506316	0.246974536030187	0.31798351241033	0.31798351241033	0.0919743211614545
ACTR3C	-0.135673837786087	0.557714089069481	0.637266129004004	0.637266129004004	0.184324398362822
ACTR6	0.52586839442592	0.00488443352650894	0.00906220147357613	0.00906220147357613	0.00262117309933023
ACTR8	0.474014785616535	0.000451191248426065	0.000982263230032462	0.000982263230032462	0.000284112195312547
ACTRT2	0.107287330941763	1	1	1	0.289242421609488
ACTRT3	-1.00417497485863	8.37561857333751e-05	0.000202008726765922	0.000202008726765922	5.84294933160247e-05
ACVR1	-1.50105109044147	3.48689271752323e-06	9.99460537961304e-06	9.99460537961304e-06	2.89086386303049e-06
ACVR1B	2.07205643044355	1.53756751854313e-45	5.30952181454853e-44	5.30952181454853e-44	1.53573894722842e-44
ACVR1C	-0.0626516367296905	0.875536205690825	0.907674427292475	0.907674427292475	0.26253794938308
ACVR2A	-0.295575439158775	0.0976155037437166	0.140609310802422	0.140609310802422	0.0406701775573338
ACVR2B	2.48802964972988	7.41376820189556e-10	3.034354590551e-09	3.034354590551e-09	8.77664069792837e-10
ACVRL1	-5.23189277445601	4.4995780220278e-18	3.40682335953533e-17	3.40682335953533e-17	9.8539783850777e-18
ACY1	-0.904883587173863	2.14712560040309e-05	5.59080527915905e-05	5.59080527915905e-05	1.61709805769107e-05
ACY3	-0.0553004382395032	0.886328884845912	0.916197763448915	0.916197763448915	0.265003259773161
ACYP1	2.19689489329471	8.96364018464712e-57	4.95455596740825e-55	4.95455596740825e-55	1.4330677660129e-55
ACYP2	0.155267293138581	0.314310128794924	0.391555045898347	0.391555045898347	0.113254329669052
ADA2	5.12643915232063	3.02003576283652e-16	2.00951763829901e-15	2.00951763829901e-15	5.81237747968583e-16
