gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.100697372009964	0.579191633924203	0.702795658594061	0.715842235259402	0.337087653990763
A1CF	-0.45652868625939	9.35499263509707e-06	4.60818959860089e-05	4.697581121815e-05	2.21207484245478e-05
A2M	-0.889970515369294	0.0136717286387935	0.0333867555731563	0.0340344053436362	0.0160266847737752
A2ML1	-1.51942086672552	0.000519648321674392	0.00184384037466257	0.00187960793503049	0.000885100931509375
A3GALT2	0.0160332129174138	0.826108045445653	0.892453084442582	0.893121757986362	0.420567973358868
A4GALT	1.01738857090509	6.01532270019917e-05	0.000257258090801377	0.000262248487160692	0.000123491913364947
A4GNT	-0.0424138859969824	0.750244387331467	0.83806357194196	0.852100286986276	0.401251103325825
AAAS	-0.324256475745757	6.14876384821302e-05	0.000262345110234128	0.000267434186651193	0.000125933841473479
AACS	-0.373441576737555	2.66589689834253e-06	1.44709964925024e-05	1.47517107277161e-05	6.94652999868644e-06
AADAC	0.183728806226787	0.474752678715741	0.611216402140158	0.623073024796775	0.293402950885629
AADACL3	-0.0164830894821729	0.894217710095165	0.937495591289113	0.938705309680783	0.442033111547692
AADACL4	0.00321970224022709	0.918624781497832	0.953242514254279	0.954646461716653	0.449539745379844
AADAT	-0.29421453717526	0.00140412178969013	0.00449374144480397	0.00458091285650182	0.00215713615636937
AAGAB	0.114641790140682	0.195837244836019	0.310722578979133	0.316750101075965	0.14915653647391
AAK1	-0.324024142979362	1.91197956887426e-05	8.91418064595355e-05	9.08710152281796e-05	4.27908494780641e-05
AAMDC	0.165509896684911	0.252551155373097	0.378756980392907	0.386104261289417	0.181815172705929
AAMP	0.160621129518259	0.0275540563773883	0.0614113529056855	0.0626026351351635	0.0294793662233481
AANAT	0.0345094277319021	0.805953033723519	0.878864586848757	0.87937231629199	0.414093408411246
AARD	4.35956808751133	2.63164062118915e-16	4.65972018686643e-15	4.75011132124641e-15	2.23681113324319e-15
AARS2	0.494477795107339	2.44615203301166e-07	1.55473338344752e-06	1.58489272962121e-06	7.4632055184818e-07
AARSD1	-0.269682522567126	0.0096847389991753	0.0248213339044314	0.0253028281655609	0.0119150150208301
AASDH	0.0724459500713448	0.596141415305588	0.717589865907635	0.730915855180493	0.344185769924797
AASDHPPT	-0.180098535328283	0.0211697701247967	0.0487635117835036	0.0497094460820664	0.0234080077084471
