gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-2.05041968225226	4.40455886791949e-57	1.41092702402354e-55	1.41092702402354e-55	4.8879780875285e-56
A1CF	2.00271524150208	0.00519700978667367	0.0102716950742552	0.0102716950742552	0.00355849874514104
A2M	-3.10954319422165	2.20841769485605e-07	7.80731847243407e-07	7.80731847243407e-07	2.70474666413204e-07
A2ML1	1.66993503771108	8.31215947639534e-05	0.000219483643142553	0.000219483643142553	7.60373300663226e-05
A3GALT2	-1.27441744879907	0.0328591223129677	0.0555129502656231	0.0555129502656231	0.019231758967847
A4GALT	-0.753306135100745	0.0386687132394084	0.0643845799995462	0.0643845799995462	0.0223052227970691
A4GNT	-1.98118713285135	0.00206471329730986	0.00439628392625135	0.00439628392625135	0.00152303692056236
AAAS	-0.562683884504186	0.00118913350001059	0.00263038763212061	0.00263038763212061	0.000911264501182094
AACS	0.0463178674511536	0.523537707458944	0.615353350793288	0.615353350793288	0.213181379585982
AADAC	-1.15237340846564	0.0651369019964209	0.102598627821352	0.102598627821352	0.0355439959730258
AADACL3	0.515515772483076	0.234535197984577	0.314409852598334	0.314409852598334	0.108923313809749
AADACL4	-3.23467482666977	0.000431281588509106	0.0010232216318791	0.0010232216318791	0.000354482183001035
AADAT	0.061616295437071	0.69608095169032	0.770319880327034	0.770319880327034	0.266867572263843
AAGAB	1.03463154952031	1.96779161842293e-15	1.32087153339076e-14	1.32087153339076e-14	4.57599223894833e-15
AAK1	-0.0812204933243084	0.60689106912285	0.691477083923315	0.691477083923315	0.239553483397514
AAMDC	-0.443651172678152	1.27125650330837e-05	3.70517186086404e-05	3.70517186086404e-05	1.28360989321645e-05
AAMP	-0.234057966753836	0.00402275625526682	0.00811588963186442	0.00811588963186442	0.00281164723659663
AANAT	-1.77187499935655	0.00559271658885158	0.01098226944647	0.01098226944647	0.00380466824234444
AARD	2.3790402989849	3.63057834896857e-05	0.000100162271579678	0.000100162271579678	3.46999511911239e-05
AARS2	0.230220646296776	0.0153632124968826	0.0277896946325499	0.0277896946325499	0.00962738795913413
AARSD1	-0.413048401832894	4.21237175107185e-05	0.000115147924383756	0.000115147924383756	3.98915409251383e-05
AASDH	0.980283253708166	2.59785424960847e-10	1.19738030401618e-09	1.19738030401618e-09	4.14817250560483e-10
AASDHPPT	0.396650462604	0.00065714562452934	0.00151624716728138	0.00151624716728138	0.000525284639301436
