gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.279266619339084	0.124654217877071	0.200273039003001	0.208335136312809	0.0859204086068803
A1CF	0.618757801435044	0.150899931457651	0.234750482816837	0.244201236257315	0.100712104414448
A2M	0.468954067381342	0.0567397367779358	0.104625884818314	0.108848171984555	0.0448905526861432
A2ML1	0.168229457762254	0.666808883160577	0.750423878607096	0.768331512602674	0.31687097374321
A3GALT2	-0.116004146287244	0.761202801569111	0.82638923786283	0.842844725958832	0.347601295336971
A4GALT	-0.805868988982325	3.58072221125881e-06	1.95202190841312e-05	2.03079779706082e-05	8.37530239063617e-06
A4GNT	-0.367881574733851	0.375148983186834	0.485265453823517	0.503399822447122	0.207609331785233
AAAS	-0.189136743825847	0.290585077728562	0.396875150927617	0.412484873998742	0.170114698583133
AACS	-0.51057195307977	1.23287149909079e-15	1.99989799174464e-14	2.08060596988025e-14	8.58071846381269e-15
AADAC	8.80705794955001	7.19799716964279e-10	6.57949966683071e-09	6.84502226720621e-09	2.82298569761414e-09
AADACL3	-0.265647323515983	0.484523398343942	0.592017235763134	0.612130130335489	0.25245127562179
AADACL4	-0.172368276454821	0.514731844124366	0.61990774824394	0.640287030034753	0.264063586296219
AADAT	-0.812421684007024	0.000364981499861549	0.00130142556255586	0.00135394595423656	0.000558386797726569
AAGAB	-0.181542408528481	0.0120694048099042	0.0281428320351644	0.029278565498543	0.0120749017932385
AAK1	0.150082913171249	0.469659238604879	0.578489085138405	0.598200832735969	0.246706632819145
AAMDC	0.414762092991029	0.0176046209380378	0.0388212244478454	0.0403878956215089	0.0166565494231456
AAMP	-0.161179044554615	0.137820117954226	0.217619667732661	0.22638043874012	0.0933625510386846
AANAT	-0.393188044698896	0.343145640665156	0.452780141841088	0.470082623919052	0.193868839605987
AARD	3.16367100198101	0.000266225408952114	0.000984272688792567	0.00102399404406891	0.000422309881254551
AARS2	-0.218615110689654	0.0140978060204736	0.0321468785660409	0.0334441995209824	0.0137928692165411
AARSD1	-0.469004772721111	0.00357151967086694	0.00983335942498836	0.0102301949439736	0.00421907962944131
AASDH	-7.79074927324403e-05	0.99028663524683	0.993805873153548	0.996561204229554	0.410996183287128
AASDHPPT	0.365855323541476	7.17352571206465e-07	4.4175634079444e-06	4.59583880619608e-06	1.89539006769761e-06
