gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.996768079834003	1.79416634037875e-07	5.01462099787874e-07	5.01462099787874e-07	1.41324946927425e-07
A1CF	7.62457546186989	1.42136455146709e-28	1.26670602840173e-27	1.26670602840173e-27	3.56990413258054e-28
A2M	5.32827449431156	2.72803280736809e-06	6.8639289457241e-06	6.8639289457241e-06	1.93443212234468e-06
A2ML1	4.99057047683034	1.0233690254162e-14	4.69182014355935e-14	4.69182014355935e-14	1.3222758670337e-14
A3GALT2	-0.741691559672256	0.196253862087313	0.255017976741762	0.255017976741762	0.0718706399622514
A4GALT	0.797327941748949	0.00708243004958161	0.0119968541909188	0.0119968541909188	0.00338102277828147
A4GNT	0.631021643752395	0.252603852651227	0.319224243363598	0.319224243363598	0.0899656210716463
AAAS	-0.351208505016442	0.104078284809505	0.143855067569702	0.143855067569702	0.0405420664854419
AACS	0.543308323997818	2.3046212030179e-10	7.9176440059193e-10	7.9176440059193e-10	2.23139619006128e-10
AADAC	8.64693408886201	3.27239877588135e-09	1.04093332153725e-08	1.04093332153725e-08	2.93361844261949e-09
AADACL3	0.415492377246201	0.130008045251201	0.175611367074439	0.175611367074439	0.0494918103325181
AADACL4	0.0573963878615627	0.835760339190566	0.874410024406262	0.874410024406262	0.246431286321136
AADAT	-0.847192820654577	1.29578651328771e-06	3.35999327040187e-06	3.35999327040187e-06	9.46932720971176e-07
AAGAB	-0.0320213739039241	0.796547482662783	0.843061512189447	0.843061512189447	0.237596467444158
AAK1	-1.71065390632397	3.60643557563576e-16	1.78853562463725e-15	1.78853562463725e-15	5.04055445738755e-16
AAMDC	1.84852036866105	1.19582410020272e-28	1.06950126403246e-27	1.06950126403246e-27	3.01413026910984e-28
AAMP	0.205113779445028	0.00957423697146385	0.0159092364200175	0.0159092364200175	0.0044836329478657
AANAT	-0.426491307725859	0.420141024645358	0.498497801242569	0.498497801242569	0.140489531180613
AARD	4.28735728678182	3.48335339646424e-10	1.18472369351236e-09	1.18472369351236e-09	3.33885677861044e-10
AARS2	0.0648545161684716	0.435057193974769	0.512923891860384	0.512923891860384	0.144555175407356
AARSD1	-0.962540708262248	1.82076726094056e-12	7.24870703791711e-12	7.24870703791711e-12	2.04287250793118e-12
AASDH	0.223168024724344	0.168423859205805	0.22204069175688	0.22204069175688	0.0625767909310473
AASDHPPT	-1.12702334131432	1.7476495560849e-25	1.35503550072419e-24	1.35503550072419e-24	3.8188393560676e-25
AASS	1.73276588666543	1.62758428911314e-33	1.74652314100987e-32	1.74652314100987e-32	4.92215244811426e-33
AATF	0.115299693653347	0.295590975288385	0.366611650572774	0.366611650572774	0.103320614024649
AATK	-0.936236608899601	3.41929428152183e-17	1.79996812178224e-16	1.79996812178224e-16	5.07277418152917e-17
ABAT	-1.80464968513003	1.65232758626455e-23	1.1844990711647e-22	1.1844990711647e-22	3.33822373492928e-23
ABCA1	1.71879598843338	1.24779518936129e-16	6.3745898362586e-16	6.3745898362586e-16	1.79652374660905e-16
ABCA10	0.597063778840719	0.0773466010546717	0.109694310489769	0.109694310489769	0.0309146845090883
ABCA12	2.5591236528724	1.35878864782823e-13	5.80640465171264e-13	5.80640465171264e-13	1.6363945143403e-13
ABCA13	5.86140480197651	1.2935514392467e-14	5.89303471058452e-14	5.89303471058452e-14	1.6608090981694e-14
ABCA2	-0.723174334975479	2.64319924521341e-07	7.2863841503907e-07	7.2863841503907e-07	2.0534908895057e-07
ABCA3	-2.78553229429197	1.02306139856773e-50	1.96632400804718e-49	1.96632400804718e-49	5.54160795395985e-50
ABCA4	10.799855880087	5.29418184739247e-72	1.70537723642821e-70	1.70537723642821e-70	4.80619268198749e-71
ABCA5	-0.40580168413579	6.50403801286761e-05	0.000142720854429258	0.000142720854429258	4.02224159835487e-05
ABCA6	2.81591408536816	5.18741645509891e-10	1.74643693733556e-09	1.74643693733556e-09	4.92190950393757e-10
ABCA7	0.144073467603514	0.356162155319616	0.432161403108776	0.432161403108776	0.121794224098422
ABCA8	7.53294748905873	2.19416818069932e-58	5.11519153500497e-57	5.11519153500497e-57	1.44159283924746e-57
ABCA9	-0.230968643754627	0.574414283112827	0.648366608109996	0.648366608109996	0.182726424428528
ABCB1	-1.61969395043064	0.000333557393283856	0.000672244645115244	0.000672244645115244	0.000189455870809272
ABCB10	0.759285504185947	0.000515400550085109	0.00101623147331269	0.00101623147331269	0.000286400226642548
ABCB11	1.00048501932064	0.104775190231693	0.144668042834277	0.144668042834277	0.0407711838727141
ABCB4	0.321456734716312	0.169018686104419	0.222779902208715	0.222779902208715	0.0627851194925039
ABCB5	0.499431508712282	0.317185787870251	0.390677852362546	0.390677852362546	0.110103090092378
ABCB6	-0.571518517970072	1.65181702667128e-06	4.24437476639331e-06	4.24437476639331e-06	1.19617422503989e-06
ABCB7	0.0121785113950201	0.936406952168714	0.954731077367348	0.954731077367348	0.269067829644514
ABCB8	-0.761808069801509	8.03713695297247e-08	2.31017605537583e-07	2.31017605537583e-07	6.51067166505917e-08
ABCB9	-0.488835158656632	0.00131850103074568	0.00247449612995972	0.00247449612995972	0.000697376799536013
ABCC1	0.426752574502687	0.0238648252188969	0.0373316826403037	0.0373316826403037	0.0105210305426555
ABCC10	0.154984116552804	0.36623878537907	0.442433026711862	0.442433026711862	0.124689032422278
ABCC11	0.162078319645732	0.410435480394568	0.48862442807056	0.48862442807056	0.137706960094744
