gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.583303142106275	0.0332601066885552	0.0747722814914289	0.0777897952269644	0.0388909889745498
A1CF	7.74823063489548	7.09339718526548e-77	1.05305281249472e-74	1.09554986170288e-74	5.47719883671672e-75
A2M	0.986953017507129	0.0165539149964765	0.0416150505966761	0.0432944695508091	0.0216450593943182
A2ML1	-2.65332551734101	8.40268621120363e-13	1.11590625905497e-11	1.16093982493131e-11	5.8041157969097e-12
A3GALT2	-0.368270469365249	0.377519234493469	0.519243493837844	0.537353323318803	0.268649661715336
A4GALT	-2.43273900041765	1.13704881121779e-07	8.63274455895811e-07	8.98112800750931e-07	4.49011273650958e-07
A4GNT	-0.0195605664419388	0.966373393637934	0.979988437180894	0.980314740977539	0.490108113431961
AAAS	-0.553584504479637	0.0344105320110477	0.0770356692806907	0.0801445244011179	0.0400682352455145
AACS	-0.115483889837563	0.153233972403783	0.260353694988524	0.270777531376099	0.135375160155369
AADAC	0.637715083767205	0.213687297045787	0.337382839994331	0.350532277316076	0.175248525755186
AADACL3	0.302377364402382	0.274205416398415	0.408165931822421	0.423576111168046	0.2117667725086
AADACL4	0.0508643365963786	0.831816025386887		0.90251230051699	0.451210802475993
AADAT	-0.0622676716468118	0.655921856721245	0.765979260549525	0.784493969270835	0.392207566821531
AAGAB	0.304382040012356	0.0630741037146187	0.126582151172355	0.131690506464149	0.0658386362890796
AAK1	0.020760079752648	0.952313497097629	0.971989599994295	0.977496083372003	0.48869892625593
AAMDC	0.256885751010193	0.0122450008639482	0.0321944385459942	0.0334936788337407	0.0167451564879373
AAMP	-0.202308904608464	0.0313772907866867	0.0712232373938894	0.0740975257376255	0.0370450397522645
AANAT	-1.7106861475398	0.0213719265487921	0.0515898697338511	0.0536718329618185	0.0268332196771026
AARD	1.75088733758438	2.75413286431342e-08	2.26249837623217e-07	2.35380386792952e-07	1.17678366434584e-07
AARS2	-0.339136018914364	0.0010456304833431	0.00381098159722617	0.0039647777511769	0.00198218966070902
AARSD1	-0.0339984226764245	0.853793239072194	0.908022271079274	0.91714909294921	0.458528463249407
AASDH	0.0306924000834639	0.774597266620137	0.854343532477149	0.864965724838928	0.432439401208421
AASDHPPT	-0.0599952106622923	0.602294993229118	0.723790029807787	0.742481384897183	0.371203385605976
AASS	-0.342897215688839	0.00199945833439233	0.00673248151598648	0.00700417785911674	0.00350173699647782
AATF	-0.349014520177988	0.00188849985330894	0.00641734867381316	0.00667632750102966	0.00333782829065766
AATK	-0.753009265338728	0.000113007942924971	0.000518340156417514	0.000539258316335488	0.000269602062505084
ABAT	0.00329082396164107	0.975418998418203	0.986034270835327	0.986482567506903	0.49319171678701
ABCA1	0.0113727571895237	0.983619501623948	0.990734375728567	0.991092029820248	0.495496216335875
ABCA10	-0.28688662757148	0.421530977493098	0.562847909121804	0.581639173936747	0.290790361830125
ABCA12	-3.81716261834505	1.0066919788762e-17	1.98320705364629e-16	2.06324145149296e-16	1.03151705577485e-16
ABCA13	0.572103884685261	0.264881634328703	0.397841207966121	0.412852349281464	0.206405430393225
ABCA2	-0.115182579244107	0.327003949909894	0.46730508596062	0.48424915037594	0.242100243524972
ABCA3	0.13169927328495	0.559351791898104	0.686726887978274	0.706098467215456	0.353013754867219
ABCA4	-1.03456874397526	3.5431019953692e-17	6.74040696533223e-16	7.0124231482719e-16	3.50585922676123e-16
ABCA5	-0.526394432762371	8.09508915075429e-07	5.49151559810655e-06	5.71313146184201e-06	2.85627866797152e-06
ABCA6	3.02001949634904	1.45965193070022e-09	1.40449263030976e-08	1.46117240146137e-08	7.30512782420241e-09
ABCA7	0.325567971430793	0.289317243763946	0.425781360600384	0.441557233335869	0.22075643011007
ABCA8	-0.556962244256537	0.0268996654701973	0.0627470170837502	0.0652792386789385	0.0326363393080328
ABCA9	0.599522164432166	0.153749364666187	0.261042651516869	0.271494131277634	0.135733424099739
ABCB1	-2.52497141892222	0.000160952483114785	0.000714403880605856	0.000743234397469183	0.000371579854055982
ABCB10	0.260463227091984	0.25164572236819	0.38291511172471	0.397458702111483	0.198709380279979
ABCB11	0.193382057267838	0.683574625078038	0.787741038154272	0.805518733248436	0.402718892396559
ABCB4	3.40792554945683	5.16840806389545e-21	1.30204728603621e-19	1.35459276801914e-19	6.77228320917039e-20
ABCB5	-3.84286925715688	3.19431545902358e-06	1.96202006417381e-05	2.04119943886922e-05	1.0204971569896e-05
ABCB6	-0.231224998368167	0.0606476523955298	0.122540833197287	0.127486096869349	0.0637366427471405
ABCB7	0.0824581712596466	0.472390924698888	0.609343980214772	0.62890927541302	0.314423037426915
ABCB8	-0.714374748975674	0.000278344020314264	0.00116633720407391	0.0012134059635575	0.000606642012781771
ABCB9	-0.45686305362607	0.0259118511919004	0.0608525917751028	0.0633083618527532	0.0316509999239435
ABCC1	-0.338039647112573	0.103902296815795	0.19047227002825	0.198158977984523	0.09906953226344
ABCC10	0.108888730686014	0.683605908433752	0.787741038154272	0.805518733248436	0.402718892396559
ABCC11	-0.0146098534999553	0.935237897540186	0.961610322330139	0.968495279672542	0.484198976662072
ABCC12	0.814325169555338	0.076135855987253	0.147765948114866	0.153729197720031	0.0768568745572902
ABCC2	1.33070638645121	1.46128414241293e-05	8.00552600853369e-05	8.32859739553832e-05	4.16388021768527e-05
ABCC3	5.78618953409117	4.67564394138743e-113	1.43966540395276e-110	1.49776460922444e-110	7.48807047683646e-111
ABCC4	0.940844564370557	2.20167028386664e-11	2.5653238829608e-10	2.66885021515943e-10	1.33429100808986e-10
ABCC5	0.181718564109835	0.231077288697014	0.359009725206994	0.372731717631569	0.186347130476178
ABCC6	3.18767682150675	7.30607974893708e-80	1.14602064137337e-77	1.19226950468975e-77	5.96074845373912e-78
