gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-1.21310564480541	1.2588093442046e-12	2.10353999659195e-11	2.18843055638705e-11	9.50310518257763e-12
A1CF	5.44901986791672	0.0001911021439356	0.00080188433266323	0.000834245214795727	0.000362265094550421
A2M	-3.95615277987861	1.21104636565609e-25	6.71202264058795e-24	6.98289334437303e-24	3.0322721338644e-24
A2ML1	0.296968471356571	0.43849436759148	0.561093262270551	0.579146031197787	0.251490075135451
A3GALT2	-0.101285356955337	0.833218509291078	0.886594403813052	0.900419427357847	0.391000779149446
A4GALT	-1.31044998645187	0.000127986005098186	0.000558096854646616	0.000580619437762505	0.000252129891533569
A4GNT	-2.25603783560547	0.00036291696342376	0.00141449140901239	0.00147157469135119	0.000639020920043134
AAAS	-0.715022914305117	0.000282304297044665	0.00113570615701951	0.00118153876851648	0.000513074868276492
AACS	0.312314788665024	0.0931209211234276	0.163653055228753	0.170185493248077	0.0739018488919003
AADAC	0.383636243069539	0.274827188360072	0.391563981222186	0.405766533309365	0.176201252278932
AADACL3	0.339676019359843	0.499876187007523	0.618038613260462	0.636402769246747	0.27635340938668
AADACL4	0.135689056106708	0.600706868847387		0.724156234821203	0.314459732251525
AADAT	0.00973967833603187	0.978779734690644	0.986313372648566	0.990170878453639	0.429974713120666
AAGAB	0.867716676060638	3.80768616379461e-07	2.82257680987129e-06	2.93648485338026e-06	1.27514781528133e-06
AAK1	-0.224142813214577	0.053958112158071	0.104675364691267	0.108886944557536	0.0472833869057323
AAMDC	0.111753624010927	0.643083614149383	0.740350038181102	0.758154283104138	0.329223144683879
AAMP	0.219569558884666	0.075919533837654	0.138578778034765	0.144123803371789	0.062584744065007
AANAT	-1.33706641675868	0.049673396579078	0.097707271373516	0.101650350647686	0.0441409470924976
AARD	0.77879776616109	0.0600422591654516	0.114512806050007	0.119120426544785	0.0517272042078174
AARS2	0.10591654548956	0.517626271186482	0.634095042438491	0.652664132880222	0.283414791735325
AARSD1	-0.35583583035797	0.0297330511102885	0.0637635509335057	0.0663367958169112	0.0288062852295409
AASDH	0.116048182889266	0.458800869038739	0.5806867663475	0.598923661054419	0.260078371265804
AASDHPPT	0.354106597031241	0.0118826666814046	0.0293570726466143	0.0305418080616548	0.0132625645181619
AASS	-0.18003251334203	0.634649753171358	0.732940698261973	0.751197585083216	0.326202247684278
AATF	0.348762516342885	0.000101412074072373	0.000450849881176829	0.000469044400348637	0.000203679219283566
AATK	0.121014224337434	0.4245041988723	0.54796586020964	0.565775119937205	0.245683851322436
ABAT	-0.883697269116826	0.0225532999600285	0.0504498477647509	0.0524858042121044	0.0227915899165315
ABCA1	-0.0935941404847517	0.798111791724898	0.861645656841106	0.87588743644571	0.380347935297688
ABCA10	0.0795412127696002	0.859388295824331	0.90473706689662	0.916584353764027	0.398020284313008
ABCA12	0.503796329071223	0.34197548419996	0.464886466829591	0.480856114915534	0.208808372940656
ABCA13	0.716857225857915	0.123574911583974	0.205962315046786	0.214059565449587	0.0929538549837589
ABCA2	-0.614378277310781	0.0001630311408436	0.000693455814481077	0.000721440950195085	0.000313280639073204
ABCA3	-0.627192891328203	0.195443445749565	0.298757249855352	0.31015812588479	0.134683976373478
ABCA4	1.50332660456754	3.08765020529444e-05	0.000155523659386339	0.000161799979555235	7.02604987745549e-05
ABCA5	-0.248982236217436	0.0362247277766619	0.0751664231551924	0.0781998428903903	0.0339577296651943
ABCA6	1.93302937969438	0.000733392807718985	0.00263656696517699	0.00274296838657795	0.00119111465584587
ABCA7	0.667897808752582	0.0794031699524472	0.143910672203983	0.149669394555675	0.0649928778833838
ABCA8	-1.28883703012251	0.000126452503790733	0.000551988915864666	0.000574265006713598	0.000249370524714415
ABCA9	0.361607887932543	0.380886929050936	0.504622069269315	0.521578696859015	0.226491866638256
ABCB1	-0.411704878242675	0.32835661011991	0.450405188686901	0.466082556566266	0.202393059532411
ABCB10	0.422929466090661	0.0069053364166836	0.0184560406044363	0.0192008534537523	0.00833783504958496
ABCB11	0.491726418367849	0.354267077357033	0.477712398731135	0.494066092435082	0.214544712412858
ABCB4	2.25959568964522	8.95339506407149e-08	7.37335808471108e-07	7.67091767302172e-07	3.33104184096058e-07
ABCB5	0.143828482159489	0.752884184906806	0.827704664271718	0.842610677440342	0.365897737641639
ABCB6	-1.78342764410137	1.16372353998052e-12	1.95446780800567e-11	2.03334240349324e-11	8.829645828238e-12
ABCB7	0.101153226834845	0.200773712818031	0.305450134781352	0.317080588361754	0.137690006829827
ABCB8	-0.787652061954112	0.00792786187513939	0.0207552447485345	0.0215928443892554	0.00937654022528798
ABCB9	-0.426118872609779	0.00188589159163223	0.00602434572412472	0.00626746450567807	0.00272160221176315
ABCC1	0.664057206925819	0.00360351538899181	0.0105951636379782	0.0110227425638869	0.0047865481351178
ABCC10	0.43764319564904	0.0126459362772747	0.0309348216098641	0.0321832287368395	0.0139753398575307
ABCC11	0.0744984695548312	0.747235230061529	0.823018029294717	0.837860569754607	0.363835036916027
ABCC12	0.528040670356853	0.324741786222004	0.446644195509411	0.462183924474925	0.200700106072039
ABCC2	0.960662898435171	5.47032811615524e-06	3.24607942852652e-05	3.37707836378492e-05	1.46647243647695e-05
ABCC3	0.613117447965623	0.174484134193847	0.272869422426739	0.28353466916723	0.123122928261973
