gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	0.814838941836385	3.67215943350004e-06	2.52168213870278e-05	2.52168213870278e-05	1.21853658548773e-05
A1CF	0.108241964608465	0.503053126439277	0.670223951442946	0.670223951442946	0.323868100887414
A2M	0.383814684953127	0.0674519448750564	0.147668217923147	0.147668217923147	0.0713567833516458
A2ML1	1.15305296715475	2.35823279746699e-06	1.67889054042658e-05	1.67889054042658e-05	8.11279706962378e-06
A3GALT2	0.0214099386887677	0.869422038847662	0.924257964043395	0.924257964043395	0.446623357611061
A4GALT	1.3177781930766	1.24565218307955e-15	2.86204659191806e-14	2.86204659191806e-14	1.38300875756557e-14
A4GNT	3.87891631749797	0.00176607721370801	0.00658839583755111	0.00658839583755111	0.0031836690455606
AAAS	-0.361280594271446	0.0179600973763581	0.0491567775673904	0.0491567775673904	0.0237537201740111
AACS	0.0247501636777444	0.760622732072252	0.851314551814545	0.851314551814545	0.411375371710312
AADAC	1.88846672363694	0.00313327017636756	0.0108054203235251	0.0108054203235251	0.00522143524106543
AADACL2	-0.155448514815619	0.527447856829101	0.690329386939113	0.690329386939113	0.333583523915252
AADACL3	-0.0247853453467745	0.759433058060178	0.850503072636531	0.850503072636531	0.410983245735514
AADAT	-0.754664429494482	1.0833559586096e-11	1.66329972620079e-10	1.66329972620079e-10	8.03745855950751e-11
AAGAB	0.308959535696881	0.000973699582595897	0.0039344436898908	0.0039344436898908	0.00190121645630546
AAK1	-0.204102783313826	0.0354619965307191	0.0869217275475474	0.0869217275475474	0.0420026392164437
AAMDC	-0.0462978714298561	0.769033500639786	0.857233770183357	0.857233770183357	0.414235678340235
AAMP	0.334527772982803	0.000578830290922555	0.00246909637821289	0.00246909637821289	0.00119312589948208
AANAT	-1.77870564573011	0.00377408133432005	0.0127458417182428	0.0127458417182428	0.00615909285636783
AARD	1.10445126209996	0.00844768664780051	0.0257193106331299	0.0257193106331299	0.01242818057002
AARS2	0.691442763031752	3.9687402544616e-10	5.02544403935437e-09	5.02544403935437e-09	2.42841368715278e-09
AARSD1	-0.25148798715242	0.0411850956637733	0.0986884750494547	0.0986884750494547	0.0476886105382084
