gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.492605027947383	0.0156049435685797	0.0237827872423676	0.0237827872423676	0.00530283397652283
A1CF	0.348502400509888	0.501439927993243	0.572340860442996	0.572340860442996	0.127614502454225
A2M	4.93912898991079	1.48303001913427e-17	6.53080929175055e-17	6.53080929175055e-17	1.45617067728678e-17
A2ML1	7.92794181712155	3.18192232240082e-48	3.87747383077516e-47	3.87747383077516e-47	8.6455804205671e-48
A3GALT2	-0.414184863213408	0.429586888280298	0.501053384401381	0.501053384401381	0.111719576169865
A4GALT	3.28065943674619	1.98671515148347e-10	6.04178164204237e-10	6.04178164204237e-10	1.34713247205439e-10
A4GNT	0.821758785731512	0.162091939456413	0.209446011474008	0.209446011474008	0.0467000530498372
AAAS	0.0978974018290721	0.573615922293337	0.640251276459507	0.640251276459507	0.142756447666207
AACS	0.607034153080991	4.63369561348317e-13	1.6513190884912e-12	1.6513190884912e-12	3.68193638503915e-13
AADAC	5.2081115309256	0.00212608935132384	0.00360970574134582	0.00360970574134582	0.000804853949849847
AADACL2	9.85715139435467	3.92727702997833e-22	2.11251085854411e-21	2.11251085854411e-21	4.71025294146553e-22
AADACL3	0.0813744407935439	0.795151887374398	0.836111330637027	0.836111330637027	0.186427247869386
AADACL4	-0.0081971902728133	0.973087790445633	0.979764109655281	0.979764109655281	0.218457422871031
AADAT	-0.90265267803082	3.14890570207805e-05	6.48281905331896e-05	6.48281905331896e-05	1.44547032226518e-05
AAGAB	-0.316949638156175	0.0480977346170645	0.0680654498784306	0.0680654498784306	0.0151765130202931
AAK1	-1.78908142463563	5.29334767172431e-55	7.54247132975157e-54	7.54247132975157e-54	1.6817403623367e-54
AAMDC	1.71028240561388	8.84699491019224e-25	5.30202103343807e-24	5.30202103343807e-24	1.18218848757422e-24
AAMP	0.343843024724265	9.71311970265295e-05	0.000190272978088478	0.000190272978088478	4.24250531587953e-05
AANAT	0.974543820725001	0.0994368990612279	0.134087140256128	0.134087140256128	0.0298973301959453
AARD	2.57665821025824	7.71641949413636e-05	0.000152797742722087	0.000152797742722087	3.40692221389107e-05
AARS2	0.385937369325312	0.000250130965785789	0.000468501001695429	0.000468501001695429	0.000104461390690142
AARSD1	-0.934268337678987	2.34469097954579e-11	7.55599551779303e-11	7.55599551779303e-11	1.68475584252917e-11
AASDH	0.349798834720962	0.00645692466279251	0.0103728851478431	0.0103728851478431	0.00231283605390718
AASDHPPT	-1.01320397772108	1.40485502323145e-16	5.89908553408753e-16	5.89908553408753e-16	1.31531560543278e-16
AASS	2.24374596199365	1.4803202389132e-74	3.12249367348153e-73	3.12249367348153e-73	6.96220563825178e-74
AATF	0.447634086930807	0.000240803768834784	0.00045191832013261	0.00045191832013261	0.000100763960009834
AATK	-0.247348422429359	0.140322559271105	0.183890882512965	0.183890882512965	0.0410020410906826
ABAT	-1.85356148663856	1.20515303644039e-19	5.83873522451512e-19	5.83873522451512e-19	1.30185933267412e-19
ABCA1	1.665767474041	2.99285629032156e-14	1.12988879737953e-13	1.12988879737953e-13	2.51930635521265e-14
ABCA10	0.852851917585409	0.00958679713125624	0.0150558224406539	0.0150558224406539	0.00335698780673474
ABCA12	6.78606466135045	1.9453563872142e-80	4.47145504263292e-79	4.47145504263292e-79	9.96997680840693e-80
ABCA13	5.20015433954065	8.92000306709649e-10	2.59060305585329e-09	2.59060305585329e-09	5.77625228038457e-10
ABCA2	-0.754957376634627	3.06354805837935e-10	9.17674810927659e-10	9.17674810927659e-10	2.04613408731058e-10
ABCA3	-3.1916671481414	1.89976147163522e-32	1.49217312296326e-31	1.49217312296326e-31	3.32708956888268e-32
ABCA4	11.2713813344398	2.77861309768194e-165	2.30477231339125e-163	2.30477231339125e-163	5.13893716789755e-164
ABCA5	0.159212487369698	0.102875797241694	0.138365771474219	0.138365771474219	0.0308513340629051
ABCA6	-0.218466886999746	0.669428844967819	0.72729013339012	0.72729013339012	0.162163450012304
ABCA7	-0.433474022015046	0.0255368169979014	0.0377533276953648	0.0377533276953648	0.00841783710166388
ABCA8	8.37040061779484	3.54651910212784e-79	8.05472658512368e-78	8.05472658512368e-78	1.7959576130381e-78
ABCA9	-0.342159484274674	0.477053358581281	0.547930039925119	0.547930039925119	0.122171636270467
ABCB1	1.22447318824481	0.000658920376666892	0.00118492489184861	0.00118492489184861	0.000264202000887803
