gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.704997363873128	0.0194006312436229	0.0562918456478117	0.0585634385465903	0.0293478731551127
A1CF	0.0251500483414272	0.930492208098441	0.959562821948055	0.96302297848404	0.482599330220747
A2M	-4.95644272654602	4.39968875105775e-103	1.21020771912429e-99	1.25904426426103e-99	6.30944361895842e-100
A2ML1	3.40917500354105	1.73429924988853e-12	4.55778261467522e-11	4.7417067070997e-11	2.37620963577814e-11
A3GALT2	0.231285544323115	0.434247976356422	0.595122003036773	0.614595494717656	0.307992000953428
A4GALT	0.786241535177317	0.000607423990175619	0.00311139836556748	0.00323695527973786	0.00162213413891234
A4GNT	-1.90947467374549	0.00310810791714316	0.0123071528465764	0.0128037938909184	0.00641636024694725
AAAS	-0.306007441436628	0.191545088889872	0.335675664300934	0.348740092579267	0.174763986799994
AACS	0.395141564186275	0.0575936204636682	0.134349839170655	0.139771372913242	0.0700435736830994
AADAC	0.268990961854527	0.461880025962286	0.620855026421116	0.64074290028519	0.321095240124072
AADACL2	4.59804766855862	2.99877029823164e-16	1.23113694034863e-14	1.28081806021486e-14	6.41855855783788e-15
AADACL3	-0.152423554221003	0.519416334066308		0.690144033633314	0.345851610842744
AADACL4	0.0475427137759643	0.873663391515242		0.93265359564267	0.467380333222842
AADAT	0.369570755173366	0.221813077137896	0.372980440660604	0.387360713431415	0.19411792348933
AAGAB	0.64730622317865	0.00987193483385377	0.0322882307764413	0.0335911853145599	0.0168335376167727
AAK1	-0.0397297419151232	0.846081285501094	0.908564352652096	0.918397753954595	0.460236308828712
AAMDC	-0.14095308554896	0.597176506409339	0.73360581194771	0.752513834827026	0.377106965029067
AAMP	0.337578798294101	0.0142334402141367	0.0437573199729598	0.0455230964575691	0.0228129716017585
AANAT	-0.0984369320771319	0.80017707445641	0.879839016924208	0.894370011478817	0.448195295597874
AARD	-0.769965752037675	0.0363353445084069	0.0934224218362281	0.0971923765710153	0.0487059778257534
AARS2	0.43620564312155	0.0145791338031761	0.0446408208325822	0.0464422499815461	0.0232735866493243
AARSD1	-0.422270499996891	0.0314026170564686	0.0831091712475879	0.086462946577865	0.043329142751168
AASDH	0.178823186033976	0.354464866732618	0.518853435533269	0.537029116601715	0.269121192091391
AASDHPPT	0.384180377038697	0.0145416391310364	0.0445508097677047	0.0463486066233331	0.0232266591896863
AASS	0.190895982572033	0.611250630684837	0.744178253822849	0.763118834353134	0.382421444312155
AATF	0.626717983232105	3.1578548942372e-08	4.4055145540567e-07	4.58329404345331e-07	2.29682435932858e-07
AATK	0.934417972276104	5.22784133539435e-06	4.63623285326966e-05	4.82332271513815e-05	2.41710983410638e-05
ABAT	-0.573436346680172	0.132328133197635	0.255689343862514	0.26585179793825	0.133226207982022
ABCA1	-0.227128668604421	0.471285491721649	0.629448551863244	0.649331719857224	0.325399351931845
ABCA10	0.774385919011946	0.0336714286143486	0.0879293129511406	0.0914775995741083	0.0458421338545434
ABCA12	4.49358677856825	6.41069100275619e-05	0.000437741184565528	0.000455405728247099	0.000228217295268187
ABCA13	0.285962776383214	0.513704653805983	0.665943603198474	0.685867814790468	0.343708670959125
ABCA2	-0.529829569543853	0.00248523333204088	0.0102489482538737	0.0106625328113798	0.00534331091593357
ABCA3	-0.391567617762672	0.381368940086779	0.544709042595603	0.563471706504603	0.282372356873071
ABCA4	2.70733847938157	6.27975012476507e-10	1.17108470123303e-08	1.21834248183295e-08	6.10547493516335e-09
ABCA5	0.451603180886383	4.11317911074445e-05	0.000296048443278353	0.000307995138820245	0.00015434548398822
ABCA6	-0.140454556432957	0.746265674921793	0.843369679190118	0.859568785788027	0.430755370918533
ABCA7	0.133760868701023	0.627574872922632	0.757033597280437	0.776077400518101	0.38891536552853
ABCA8	-0.426423141651657	0.12064882948244	0.239038209097021	0.248624628206132	0.124593163122172
ABCA9	0.25500762133774	0.514703702899242	0.666311652304926	0.686202726766617	0.343876505267323
ABCB1	2.73961103275374	3.15391276492544e-05	0.000233627362084064	0.000243055126453186	0.0001218021208774
ABCB10	0.0740705007265032	0.666983211588729	0.787084561450629	0.804636165413503	0.403227008260201
ABCB11	-0.0428963587555935	0.90619633061233	0.945138033393952	0.949843782224144	0.475994844730811
ABCB4	-0.488134401714566	0.257090038144386	0.413629751368195	0.429149908121631	0.215059726352342
ABCB5	1.66606075857499	0.0221770979649446	0.0628776541510814	0.0654150098021127	0.0327813983904917
ABCB6	-1.63006257094214	8.33071661059427e-10	1.5092222496295e-08	1.57012518335789e-08	7.86836221752525e-09
ABCB7	-0.0204681865503822	0.864469822323318	0.919634520280007	0.929135953007284	0.465617538338689
ABCB8	-0.0697572523596998	0.797587394844268	0.878464087766398	0.893112937395225	0.44756533855185
ABCB9	-0.144143987559303	0.45521772123934	0.614502966737614	0.634319775497441	0.317876422100258
ABCC1	0.887585058846797	0.00993279922807445	0.0324230455815152	0.0337314404165424	0.016903823601416
ABCC10	0.395302694114851	0.205839365427611	0.353006257179339	0.366717956643706	0.183773226818291
ABCC11	-0.191182443243524	0.377731585573889	0.541246925534942	0.559880121227873	0.280572507141853
ABCC12	-0.252726808633327	0.300882073382523		0.480039968648595	0.240562242568379
ABCC2	-0.396454743139325	0.299929436758398	0.462145030740416	0.479228403977451	0.24015554348074
ABCC3	-4.4780113453993	6.4359499775889e-14	2.02321749390719e-12	2.10486211648003e-12	1.05480873282934e-12
ABCC4	-0.365060443013546	0.232625673955782	0.385389893893418	0.400138531538848	0.200521266502014
ABCC5	0.446317619422466	0.0616538770788054	0.14189591232863	0.147621959202773	0.0739777349334699
ABCC6	-1.838270803009	6.02391727744129e-10	1.12591994050839e-08	1.17135514896565e-08	5.87000749692719e-09
ABCC8	-2.22848592581642	0.00165767500834869	0.00726766647927459	0.0075609448284746	0.00378901333777295
ABCC9	-5.42307217456242	6.8926405338621e-58	4.37523612964846e-55	4.55179376793893e-55	2.28103863852581e-55
ABCD1	-0.441727310294161	0.0167079718661982	0.0498370445833608	0.0518481613848948	0.0259826489259022
ABCD2	0.347677525076442	0.394019717527636	0.557718296725833	0.576811003649164	0.289057073656999
ABCD3	0.64349020639254	0.00180969563768	0.00781720560120396	0.00813265997168396	0.00407551672487201
ABCD4	0.0938424010395607	0.635927296215561	0.762964822385986	0.781482370170425	0.391623955865784
ABCE1	-0.204063582337473	0.136794831938592	0.262107916801312	0.272526811363507	0.136571254860669
ABCF1	0.401350626392736	0.00373879985768566	0.0143700868307508	0.0149499752110999	0.00749187525623838
ABCF2	0.362715939440909	0.133295442262159	0.257028622396853	0.267244598743725	0.133924181707334
ABCF3	0.135170328569616	0.301901635605607	0.464071918549752	0.481140983632576	0.241113993778583
ABCG1	1.79272306063468	7.46696514898413e-07	8.04404652864453e-06	8.3686548047035e-06	4.19378072365018e-06
ABCG2	1.32906246493949	0.0216623166372935	0.0616404954796367	0.0641279270107466	0.0321364030924255
ABCG4	-0.677975035910122	0.0848805250686536	0.182096475462506	0.189444769976444	0.0949363838112929
ABCG5	0.156969434068803	0.685018842973482	0.80044965905086	0.817584702756477	0.409715903736916
ABCG8	-0.130621307509905	0.703328495198058	0.813208174635613	0.830261276215239	0.416068510058234
ABHD1	-1.02302868914688	0.0103786426618998	0.0336586988587137	0.0350169570652032	0.0175480340589981
ABHD10	-0.21478114408165	0.333522392593019	0.496826352311681	0.514553427747757	0.25785795888771
ABHD11	2.4403496378402	2.49510291434535e-08	3.51658227996205e-07	3.65848992649954e-07	1.83337763230464e-07
ABHD12B	-0.526992641244256	0.258430625331067	0.41530078290788	0.430885010383999	0.215929237473458
ABHD13	0.342174749454329	0.172494885485103	0.310520897692642	0.322699627781567	0.161714338815696
ABHD14A	-1.19729844931193	0.000140636705547058	0.000866688806252563	0.000901663039466584	0.000451850047873586
ABHD14A-ACY1	-0.73455259206606	0.0230353653715475	0.0648507070011623	0.067467682938073	0.0338100536798348
ABHD14B	-0.727005713931676	6.73913989224174e-05	0.000457518571705297	0.000475981209172319	0.000238528278012454
ABHD15	0.128211947378112	0.356475120602919	0.520228613531751	0.538460263988046	0.269838382423836
