gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.840454333064814	1.14582614543618e-07	1.28361801036939e-06	1.3353960065983e-06	6.4491952784593e-07
A1CF	-3.80204088569709	2.85133335372908e-06	2.330867368271e-05	2.42488883013075e-05	1.17108194998311e-05
A2M	0.560479063435623	0.070071679948244	0.14323803526489	0.148997677374963	0.0719573154839503
A2ML1	1.4407373352274	0.000798831310167924	0.00337232752945827	0.00350835893497954	0.00169433574511329
A3GALT2	-0.564106807398232	0.22079390968739	0.347779547225357	0.361195231704865	0.174436539528587
A4GALT	0.414928554150077	0.0939642618637124	0.180610704185065	0.187852876823107	0.0907221438634272
A4GNT	0.137938245199543	0.732958684165686	0.825215394737248	0.842995661788789	0.407118458862166
AAAS	0.102375799112758	0.620701580146173	0.735657731781984	0.755895724231535	0.365054194533622
AACS	-0.269261406462441	0.153420313804289	0.263897469976927	0.274288317891593	0.132465494575581
AADAC	-3.72375625147907	0.00150079282121122	0.0058209719706635	0.00605577567574622	0.00292459163442587
AADACL2	1.06216775178619	0.0544965923051853	0.117011508715927	0.121731465438324	0.0587893020696238
AADACL3	0.42048797397995	0.228091572878314		0.370310620280539	0.178838748362004
AADAT	0.157822299509523	0.493061388783373	0.626591885363599	0.647631280818706	0.312768690171389
AAGAB	0.134224714910569	0.553523611311689	0.678960162955045	0.699976384951152	0.338048367267426
AAK1	0.168416108797201	0.206664349019163	0.330952137987464	0.343906411928022	0.166087033140668
AAMDC	-0.50617692900152	0.00927657878060138	0.0272411871432458	0.0283400296912467	0.0136866056789971
AAMP	-0.477324574208622	9.3109951812301e-07	8.53882648096453e-06	8.88326175825043e-06	4.29010492060427e-06
AANAT	-0.106766324650856	0.779781313504895	0.859746114468547	0.8738427693736	0.422015839085495
AARD	1.55317423646824	1.20284516506646e-06	1.073629266191e-05	1.11693683249735e-05	5.39416301298405e-06
AARS2	0.105026897621341	0.392859991940858	0.53398449160133	0.553139503934006	0.267134592246357
AARSD1	-0.0856203050389576	0.628704332417152	0.742614215351209	0.762423103058511	0.368206543387718
AASDH	0.896974733589295	2.12278411164374e-23	1.4717676232969e-21	1.5311351125603e-21	7.39450267172879e-22
AASDHPPT	0.0193274158082498	0.858523752913645	0.910776952114905	0.92205090519698	0.445297598234037
AASS	-0.245077730886514	0.382369315097794	0.523689252948282	0.542545572144719	0.262018332010576
AATF	-0.38449003753245	0.0012117983465361	0.00484748349826948	0.00504301907058581	0.00243548839583923
AATK	-0.28632169538539	0.0321160121982221	0.0761928791452639	0.0792663126567791	0.0382810736890838
ABAT	0.367843168043571	0.20388915529634	0.327575374600629	0.340428891222388	0.164407590488098
ABCA1	-0.428262989861594	0.143958031128203	0.251821057592247	0.261814443931947	0.126441330309165
ABCA10	-0.788755550741115	0.108525881129331	0.201750236640689	0.209818320387881	0.101330190781889
ABCA12	1.44974026177833	0.0240083902926167	0.0599904542321951	0.0624103217378807	0.0301405987654821
ABCA13	-0.0357861618590296	0.929096263500369	0.956107485050058	0.961491038512291	0.464344916056024
ABCA2	-0.253744335969492	0.147133391571617	0.255902138000432	0.266030761981425	0.128477569621161
ABCA3	1.40481576648259	0.0026913889767778	0.00952561288137687	0.00990985269716765	0.00478588934735563
ABCA4	1.23344160949961	0.0276577461816221	0.0674844160263907	0.0702065715355048	0.0339057393781612
ABCA5	0.409898194989241	0.00128220500279993	0.00509497345821262	0.00530049216734155	0.00255983310495344
ABCA6	-1.36394238640579	0.0139822787259165	0.0382937051682248	0.0398383791333564	0.0192396476654732
ABCA7	0.273876609609092	0.453592665756482	0.591653384240832	0.612174014661873	0.29564486829714
ABCA8	-2.974398449887	2.51008487494287e-08	3.14400361135085e-07	3.27082499108934e-07	1.57962050095791e-07
ABCA9	-4.40546661575077	3.56249473557728e-24	2.69347169849596e-22	2.80211972798823e-22	1.3532627947161e-22
ABCB1	-2.96676585510394	2.07783790530183e-10	3.7331821031923e-09	3.88376949546901e-09	1.87563747150978e-09
ABCB10	0.58510715342551	0.000111057439028289	0.000597635667865921	0.000621742822102658	0.000300266052385057
ABCB11	-4.44390638886867	1.07543906576183e-07	1.20925379204673e-06	1.25803211844805e-06	6.0755721586382e-07
ABCB4	-1.50536090594801	0.000458816409950397	0.00207031147552287	0.00215382275294835	0.0010401726124924
ABCB5	-0.186046844726133	0.426264789109672	0.565229613620626	0.584873378253487	0.282460229841286
ABCB6	0.868424989231132	1.28687426986408e-05	8.90367791932047e-05	9.26283040705893e-05	4.47341476469932e-05
ABCB7	-0.0800242856063566	0.441927369275076	0.580972809851868	0.601144335246001	0.290318166999526
ABCB8	0.102316356318673	0.661820361814735	0.769111948324144	0.788425766681488	0.3807643355809
ABCB9	-0.0371778112482678	0.857337345244469	0.909944083191884	0.921195146024515	0.444884315733019
ABCC1	-0.843406927562942	1.03388811438322e-05	7.33244333753361e-05	7.62821608332915e-05	3.68398998533714e-05
ABCC10	0.28081110588796	0.273344412922038	0.409779494343344	0.425278891687865	0.205385264502053
ABCC11	0.28654100955407	0.18819196523749	0.308344729079547	0.320436960693828	0.154752636951094
ABCC12	0.10527121172886	0.729700254067698	0.823265465578472	0.841195007391657	0.406248846269442
ABCC2	-1.67611483877403	1.9123950436738e-07	2.04834671697087e-06	2.13097199001165e-06	1.02913700719536e-06
ABCC3	0.657388183968874	0.0596498727650308	0.126033093738845	0.1311169590318	0.0633219561040806
ABCC4	1.04600533490186	0.00262649786249941	0.00934418730295805	0.00972110885674306	0.00469473691927512
ABCC5	-0.687911473406743	3.30239342571649e-05	0.00020705325234633	0.00021540527174195	0.000104028367211623
ABCC6	-0.294514557455387	0.180298575410026	0.298396285313602	0.310125681412278	0.149772881632906
ABCC8	3.35638982438403	1.58324329900497e-17	6.73140261655828e-16	7.00293085664209e-16	3.38201315511486e-16
ABCC9	1.62269834371204	0.00242278339283907	0.00873215869520016	0.0090843925189218	0.00438723951930499
ABCD1	-0.290822386469561	0.111176848199584	0.205609733747908	0.213832523759113	0.103268820319539
ABCD2	0.337818994707001	0.395279692677144	0.536359297136788	0.555603371699426	0.26832449878202
ABCD3	0.110215245361378	0.453459761646385	0.591526204805172	0.612042164508045	0.295581192250085
ABCD4	-0.146077853440976	0.239422295477901	0.370177397533104	0.384398056921803	0.185642170674451
ABCE1	0.375806160609038	0.00767327576950647	0.0232017308781548	0.0241376316868134	0.0116570889487925
ABCF1	-0.0388722767388728	0.793079985312149	0.868612683384736	0.882536930073688	0.42621461906238
ABCF2	-0.185263974910984	0.375190716544121	0.517163973167441	0.535859027663006	0.25878911529227
ABCF3	0.19134234636822	0.0992825153718337	0.188405627410332	0.195960936154035	0.0946378705614344
ABCG1	-1.64901191557411	5.1489370247987e-06	3.95374948287507e-05	4.1132340212351e-05	1.98645565044939e-05
ABCG2	-3.55819731601336	5.78828351238644e-09	8.28761175736633e-08	8.62191365002687e-08	4.16388880364259e-08
ABCG4	-1.16602751584659	4.20454253372897e-07	4.16688619193816e-06	4.33496814138854e-06	2.0935404877337e-06
ABCG5	-1.45150633560132	2.61360925473731e-05	0.00016841803716701	0.000175211606922864	8.46171369777134e-05
ABCG8	-4.17775768448648	6.63805801222774e-07	6.29842767327163e-06	6.55249076811782e-06	3.16447647851962e-06
ABHD1	-0.502125211040307	0.112885245906985	0.20814385056939	0.216468199625054	0.104541700294183
ABHD10	0.618560979350107	0.00320731788553313	0.0110626904839321	0.0115089322330595	0.00555815286632667
ABHD11	-0.121268687401612	0.709099329337517	0.807850754410987	0.826296846287165	0.399053890632457
ABHD12B	-0.201626528209043	0.55947010672602	0.684046978873487	0.704933956597449	0.340442589467878
ABHD13	-0.131558777635198	0.543988426340101	0.671144754988848	0.692288730464344	0.334335671949051
ABHD14A	0.266456359017346	0.27708657817365	0.413886253823886	0.429544695375394	0.207445402533357
ABHD14A-ACY1	-0.455703908817134	0.00958120746738191	0.0280077668951162	0.0291375313865465	0.0140717531665198
ABHD14B	0.127331605627772	0.42456805759761	0.563876708488874	0.583468725591857	0.281781863329143
ABHD15	0.707036674149128	0.000767864886316523	0.00325640974250325	0.00338776530935029	0.00163609595428139
ABHD16A	0.205361778186166	0.269995915340679	0.405917019023521	0.421267300634326	0.203447896563722
ABHD17A	-0.46547884339057	0.0204705459892389	0.0525976246246644	0.0547192835508134	0.0264262693143379
ABHD17B	0.0918840231449831	0.623180324216265	0.737967401653407	0.758223810166678	0.366178526248453
ABHD17C	0.536121113994635	0.015886685389146	0.0427105419101263	0.0444333802156757	0.021458769119947
ABHD18	0.061316582383736	0.792946785251787	0.868612683384736	0.882536930073688	0.42621461906238
ABHD2	0.817329746812222	0.00693663214602376	0.0213924301454247	0.0222553482086251	0.0107480542010268
ABHD3	-0.478813095928562	0.000106277471541682	0.000574131998703514	0.000597291072683175	0.000288457262623292
ABHD4	0.116542549370986	0.488985027974805	0.623080212951347	0.644087803386075	0.311057394210121
ABHD5	0.300451468209364	0.137338176700938	0.242988521229984	0.252656315545815	0.122018480603495
ABHD6	0.688332714471268	0.0458121106167692	0.10173771348958	0.105841562845734	0.0511153922878838
ABHD8	-0.0345362397164745	0.822570678130352	0.88919799837485	0.901782868215433	0.435509301147692
ABI1	0.352017620348965	0.000341191102917174	0.0015915583859975	0.00165575794025942	0.000799635931051922
ABI2	-0.203964444657043	0.319735044995666	0.461192409084304	0.478309319032673	0.230995913325095
ABI3	-6.45865706706644	6.71823428914977e-35	1.03939793275374e-32	1.08132469118787e-32	5.2221768362589e-33
ABI3BP	2.36104239017683	6.1880027777625e-05	0.00035739833533921	0.000371814905931025	0.000179565231881996
ABL1	-0.111387068896361	0.433269820328447	0.572609778364947	0.592520595293005	0.286153396196505
