gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	0.239909976320149	0.229531712132904	0.288957569476348	0.304739154663276	0.0873433335480211
A1CF	0.228158017730633	0.624362429824593	0.681422506331743	0.703159516701217	0.201537266428931
A2M	9.48013136020592	1.40003682738021e-42	4.05688547572898e-41	4.30740533988498e-41	1.23457434192798e-41
A2ML1	4.40396560323456	3.53586176704101e-09	1.32106638178903e-08	1.40264457089169e-08	4.02021370506472e-09
A3GALT2	-0.410641818928402	0.401071305608777	0.467321857193574	0.489731842188633	0.140365328796141
A4GALT	2.07333650315718	6.83567201244449e-06	1.83464954406133e-05	1.94794240315283e-05	5.58312840497668e-06
A4GNT	3.50515090891345	3.72610189734401e-05	9.11728295670545e-05	9.68029132887923e-05	2.77453324077954e-05
AAAS	0.402330379327063	0.0177950187272463	0.0288255710500125	0.0306056011215715	0.00877207666390254
AACS	0.213304494754158	0.242659584990602	0.3030838209846	0.31941174965104	0.091548744432774
AADAC	0.195667279432726	0.335304781683937	0.400642963489229	0.421050568519242	0.120680128181743
AADACL2	2.27485526403739	0.0236617541964491	0.0373352197093547	0.0396407356589124	0.01136169718844
AADACL3	0.351236018537783	0.229851280549761		0.305070230571619	0.0874382254352291
AADAT	-0.944527619673237	5.26632005917343e-06	1.43556763251394e-05	1.52421647666686e-05	4.36865910020676e-06
AAGAB	-0.920945111356287	8.71835694670903e-09	3.14052673116656e-08	3.33445981968412e-08	9.55711899099266e-09
AAK1	-1.57150911767898	5.18933940900746e-27	6.8240855264474e-26	7.24548489532343e-26	2.07667703426116e-26
AAMDC	1.7585801311736	4.63726801246685e-20	3.89739999487203e-19	4.13807134808579e-19	1.18604039051278e-19
AAMP	0.0126591957222339	0.910499168181705	0.929113212507534	0.934806393036594	0.26793113172489
AANAT	0.733195917417133	0.205915702341725	0.262681305807911	0.277303428401473	0.0794797959836911
AARD	3.47176083656159	1.14993358015857e-12	5.77506520685773e-12	6.13168571285169e-12	1.75744357833182e-12
AARS2	-0.047142596229562	0.749176244687349	0.792192306272768	0.810135655452578	0.232198415236552
AARSD1	-0.565837054279703	0.000436380815585949	0.000920080709951469	0.000976897323545467	0.000279995095697112
AASDH	0.0872371697272717	0.609752770236061	0.668197614076626	0.690465272947264	0.197898884063637
AASDHPPT	-1.44080330826577	1.49815972768606e-18	1.13871267695804e-17	1.20903020178119e-17	3.46528257258212e-18
AASS	1.82449670048682	1.49014671334351e-05	3.82933322725788e-05	4.06580133700365e-05	1.16532659779244e-05
AATF	-0.209443059936511	0.0415055544928252	0.0622222267334982	0.0660524630365999	0.0189317395628037
AATK	-1.1000834022554	5.35772263241514e-11	2.34850428213924e-10	2.49352858150662e-10	7.14686955296931e-11
ABAT	-0.841484233804554	0.00463496258385527	0.00834711334538318	0.00886256237984338	0.0025401584607273
ABCA1	1.8900069643406	2.21676541855716e-08	7.71204492830809e-08	8.18827736310649e-08	2.346897108446e-08
ABCA10	0.296986896094016	0.448376653108943	0.514351356831531	0.537934388915229	0.154180984094053
ABCA12	1.11143692740297	0.0803166012422039	0.113651114566756	0.120513032317068	0.03454104868862
ABCA13	4.84567005759772	1.7602499209794e-06	5.0523863440173e-06	5.36438015013759e-06	1.537520983313e-06
ABCA2	-0.112191119266582	0.455102791679021	0.521117842031677	0.544763243889025	0.156138248031424
ABCA3	-1.86919389751855	5.70639656210867e-05	0.000136387043087362	0.000144809184582679	4.15047318871693e-05
ABCA4	9.42733004179808	5.37843492688279e-25	6.2807230116209e-24	6.6685687827392e-24	1.91132323682626e-24
ABCA5	-0.194352900559907	0.0887674605576988	0.124447753403891	0.131906716265556	0.0378066688828913
ABCA6	0.308052125249591	0.530492574035452	0.594064597955432	0.617652539481464	0.177029538039908
ABCA7	-0.448592464006569	0.116504277295451	0.158890394654339	0.168253668391098	0.0482243126755409
ABCA8	8.82382277447736	2.4942833718236e-46	8.68859731138211e-45	9.22513358561906e-45	2.64407742642754e-45
ABCA9	-0.778987415696062	0.0990354653489085	0.137395868035957	0.145621171896471	0.0417374610186249
ABCB1	-1.30475033119516	0.00229864663176393	0.00435169318400082	0.00462041794634048	0.00132428898499899
ABCB10	0.360039278943533	0.0427378153078743	0.0639290554792616	0.0678581881162568	0.0194492905421085
ABCB11	0.390170781035901	0.384619134420048	0.450815039284438	0.472965083023747	0.135559695467282
ABCB4	-2.01773402326475	2.12526410696297e-06	6.02820927914029e-06	6.40046187999607e-06	1.83447931875904e-06
ABCB5	0.0865097303605358	0.70167813271355		0.7688163240441	0.220355604458989
ABCB6	1.24313826543506	4.28830005812167e-09	1.58841738804452e-08	1.68650497534681e-08	4.83380505386252e-09
ABCB7	-0.0610353701340497	0.660671684421265	0.713255312716449	0.733175171750182	0.210140254691141
ABCB8	0.0235875013256099	0.929369426352503	0.943346994689916	0.948392529122646	0.271825145335002
ABCB9	-0.0260237651854553	0.849892318511624	0.878769548987767	0.886605955093984	0.254116080839703
ABCC1	-0.224143994397735	0.445042364984112	0.510812787403244	0.53430288214095	0.153140133574473
ABCC10	-0.325698963366796	0.168553205748444	0.220693624801146	0.233221394215172	0.0668451484285918
ABCC11	0.154523173843303	0.462116202156596	0.527819621997194	0.551525296401518	0.158076365267198
ABCC12	0.0152068512247455	0.972491299864443		0.981240786251661	0.281240004682699
ABCC2	0.68447115474297	0.197074391730774	0.253075438783751	0.267236116725383	0.0765943362447607
ABCC3	8.06315542202582	2.89736291230478e-24	3.2534722633919e-23	3.4543799385867e-23	9.90083008896431e-24
ABCC4	1.81029752911172	8.80707340831925e-09	3.17039150925688e-08	3.36616880072149e-08	9.64800222883179e-09
ABCC5	-1.20716500101164	8.58545883685822e-08	2.82705414475146e-07	3.0016297457986e-07	8.60317238736975e-08
ABCC6	3.19589378605382	7.84327423132586e-13	4.00031419673729e-12	4.24734068420989e-12	1.21735880800398e-12
ABCC8	-3.4859880293959	4.21882903237421e-10	1.70544861526001e-09	1.81076308814224e-09	5.18994956715724e-10
ABCC9	5.45016864195705	2.9106228588147e-10	1.19310759750912e-09	1.26678410502694e-09	3.63081490926093e-10
ABCD1	-0.134197391548621	0.561833793331016	0.623320652193223	0.646680790572668	0.185349519829502
ABCD2	1.23923084383079	0.00831299055878264	0.014290243745106	0.0151726916089163	0.00434874693238276
ABCD3	0.52150074001617	0.00193778691862454	0.00370383194806456	0.00393255013151761	0.00112713457583418
ABCD4	-0.446312468530782	7.44638827798016e-05	0.000175413336528189	0.000186245420771409	5.33810495280904e-05
ABCE1	0.271806504370319	0.0584522812200091	0.0851179176495587	0.0902937887183345	0.0258797085463283
ABCF1	0.0500131281615435	0.60083134153405	0.65996717367296	0.682051277338627	0.195487292334544
