gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	1.21359366684231	1.37295954391891e-12	2.29867545283979e-11	2.39139837193812e-11	9.95826044606957e-12
A1CF	-5.38446987236422	0.000187912773291198	0.000792287289660012	0.000824246211991142	0.000343232585043612
A2M	3.96925465266578	1.20018344004879e-25	6.72948493281047e-24	7.00093581824433e-24	2.91532950186762e-24
A2ML1	-0.294487588918856	0.438955344055647	0.562167381891395	0.580218803461813	0.241614698261118
A3GALT2	0.103687552592415	0.833848807972839	0.887268657735348	0.896123266089142	0.373163625944338
A4GALT	1.31288735130249	0.000128487993767967	0.000562311652139593	0.000584993922385694	0.00024360315315274
A4GNT	2.26003023215238	0.000371582029044038	0.00145050458696131	0.00150901437758983	0.000628383725824996
AAAS	0.714898483828952	0.000285156136375735	0.00114977651609608	0.00119615567534252	0.000498103113595884
AACS	-0.310463336101907	0.0934071045636292	0.16454816132353	0.171095437158015	0.071247557259679
AADAC	-0.380014019382506	0.274636227686425	0.39207935136812	0.406574820803366	0.169305875753885
AADACL2	4.68668383475127	0.00549452241926605	0.0152885602745302	0.0159052632265341	0.00662326927757973
AADACL3	-0.338297704382852	0.50074104728784	0.619172808342524	0.637123526936358	0.265310961653312
AADAT	-0.00680299705558021	0.978781370445941	0.986337248584599	0.990116187294099	0.412304155620591
AAGAB	-0.865472747843958	3.91957374379141e-07	2.91724533118088e-06	3.03491983912366e-06	1.26380123636377e-06
AAK1	0.222149515585379	0.0544835248698571	0.105831808538763	0.110049629655209	0.0458268637697486
AAMDC	-0.111198942169626	0.643278948015314	0.740666203306772	0.757493425914524	0.315435391692134
AAMP	-0.220426280692777	0.0764826826293238	0.139895910679077	0.145475267769508	0.0605788070239582
AANAT	1.34153248262844	0.0499125318974658	0.0984638129250008	0.102435601177526	0.0426562302394138
AARD	-0.782589159340681	0.06011442016482	0.114952145403293	0.119534313169191	0.0497764754191129
AARS2	-0.105629115508756	0.51812345402649	0.634933978241923	0.652789736996628	0.271834684417937
AARSD1	0.355796761935722	0.0299379525562985	0.0642725490509047	0.0668651457389357	0.0278439821589855
AASDH	-0.122015049436447	0.45940857731243	0.58193146223284	0.600217910516495	0.249942725873596
AASDHPPT	-0.35630027666084	0.0120169769868035	0.0297029095373519	0.0309010519173971	0.0128678151939011
AASS	0.181092044505043	0.634502346695919	0.7331507418098	0.749864385807412	0.312258507019483
AATF	-0.3483513574036	0.000108012899267034	0.000478850499828304	0.000498166152284122	0.0002074463355029
AATK	-0.120093891074242	0.42521243277129	0.549421150814534	0.567328050831588	0.236246731403568
ABAT	0.886058166461754	0.0225039768436023	0.0504573592688549	0.0524926851499494	0.0218590025137916
ABCA1	0.0980859165373152	0.798035487110012	0.861727733884011	0.870934886516407	0.362674681611887
ABCA10	-0.0758343522697574	0.859422773868684	0.904800902814684	0.913051343244062	0.38021281536999
ABCA12	-0.504823318685765	0.341826669893411	0.465567478582409	0.481716497994095	0.200596370913556
ABCA13	-0.713178364485899	0.123757310397811	0.20682745543479	0.214998333664317	0.0895296002215239
ABCA2	0.615027139837222	0.000165783726580925	0.000706472911869592	0.00073497029307733	0.000306056309332367
ABCA3	0.624887358629901	0.195150306443777	0.299146714197806	0.310785909739872	0.129417460029884
ABCA4	-1.50286590421581	3.09476933142739e-05	0.000156508779536381	0.000162821959104728	6.78023157551154e-05
ABCA5	0.249761859174111	0.0366767768917862	0.0761755456910945	0.079248280013663	0.0330005665948294
ABCA6	-1.92969882978136	0.000740660203715429	0.00267293549543868	0.00278075514496443	0.00115796198137665
ABCA7	-0.664684876291136	0.0792978146597306	0.144082990990587	0.149829773068489	0.0623921100014079
ABCA8	1.28628743130694	0.000126596224001918	0.000554613609556385	0.000576985359681527	0.000240268227690608
ABCA9	-0.361393360340105	0.381485333678742	0.506092770181668	0.523266752571418	0.217898726787711
ABCB1	0.413221148734587	0.329499615232122	0.452577811008099	0.468561175685535	0.195118231957793
ABCB10	-0.422260626389003	0.0069882628506306	0.0186946660216437	0.0194487629094639	0.00809885331858506
ABCB11	-0.493264138087965	0.354903136410099	0.479198101517281	0.495723681817337	0.206429242017954
ABCB4	-2.25687112847278	9.12918257713274e-08	7.54399167563358e-07	7.848297761538e-07	3.26818793910773e-07
ABCB5	-0.142042150426862	0.752523997073226	0.827340667659991	0.836870618714343	0.348489640145847
ABCB6	1.79623078455802	1.18544572258626e-12	2.00279196953426e-11	2.08357967600778e-11	8.67644191670447e-12
ABCB7	-0.102287472502085	0.202860672823555	0.3087066468314	0.320691803900678	0.133542472205273
ABCB8	0.789954464871282	0.0079280888559305	0.0208221371728612	0.0216620510189626	0.00902051069258057
ABCB9	0.426431949686459	0.00191997161183792	0.00614221820068923	0.0063899801892741	0.00266091537556934
ABCC1	-0.665258714115304	0.00361913337353104	0.0106652732871835	0.0110954842031905	0.00462038122828833
ABCC10	-0.437205797941423	0.0127304434272436	0.0311667368829031	0.0324239264609195	0.0135019705696445
ABCC11	-0.0734446661583207	0.747599472354094	0.823335063509396	0.832832711351654	0.346808174872365
ABCC12	-0.52774499137776	0.326170045521594	0.448890148309062	0.464738844369006	0.193526536855554
ABCC2	-0.960669339988183	5.62751096728162e-06	3.34269750274826e-05	3.47753370580364e-05	1.44811449061546e-05
ABCC3	-0.61129055821394	0.174270296190914	0.273159697847466	0.283858748002874	0.118204452076167
ABCC4	-0.533215014738176	0.0463773271390966	0.0928157574760049	0.096559717051014	0.0402093947322325
ABCC5	-0.490814097208262	0.0605739678091773	0.115685270102131	0.120296730541178	0.0500939612402938
ABCC6	-1.30088931883023	3.3338412243893e-09	3.49029780816546e-08	3.63108784483454e-08	1.51205750098902e-08
ABCC8	0.21977434635792	0.663161930483885	0.757866951402451	0.773933792386799	0.322281488648663
ABCC9	3.39821334001902	2.26160171532737e-22	9.91839975364961e-21	1.03184836266498e-20	4.2968226694662e-21
ABCD1	0.539922073461481	0.0156721477914146	0.037164728264931	0.0386638620760844	0.016100404387769
ABCD2	0.669064870021244	0.122733109801331	0.205465136927205	0.213581904863003	0.0889397709788383
