gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	0.709780042332175	0.0194345288110305	0.0582113825536506	0.0593622235674122	0.0317820129967051
A1CF	-0.020052873546905	0.93049185083611	0.962553446667926	0.966105770238759	0.517244542079045
A2M	4.95728335215377	6.54922071264522e-103	1.86063360446251e-99	1.89741839413186e-99	1.01586113926485e-99
A2ML1	-3.40592198037533	1.76182361210867e-12	4.77456999872884e-11	4.86896341006121e-11	2.60680023556255e-11
A3GALT2	-0.229819231816431	0.434768181982487	0.60727287737968	0.619025067182931	0.331420582791215
A4GALT	-0.78089623783542	0.000615193847188984	0.00325670631030541	0.00332109150487146	0.00177808321568695
A4GNT	1.91113920237164	0.00316140550169433	0.012886015825414	0.0131407727967366	0.00703545431276434
AAAS	0.297197503506698	0.191755592437517	0.345707649782117	0.352542301781212	0.188748051264873
AACS	-0.395392003947094	0.0577894705094393	0.13884134098716	0.141586239022633	0.0758040285277017
AADAC	-0.271250977493962	0.461984834622639	0.632021949516653	0.644206833005401	0.344902678988991
AADACL2	-4.58977110302431	3.46122964663385e-16	1.46402284259356e-14	1.49296662400586e-14	7.99321214676488e-15
AADACL3	0.154258601425592	0.520350588816862	0.681529467400036	0.693937045054476	0.371527797636673
AADAT	-0.367426530103828	0.221790470206558	0.383393201008111	0.390972897637217	0.209323454670705
AAGAB	-0.645238175929303	0.00989908146017489	0.0334089536477428	0.0340694497981176	0.0182404841194119
AAK1	0.0397203085333487	0.846188365966637	0.913863325360759	0.920961055380414	0.493074458343365
AAMDC	0.142444792864069	0.59735512674633	0.742328168733538	0.755297073627542	0.404379417882549
AAMP	-0.337061342980816	0.01443591882148	0.0457472898737588	0.046651715351141	0.0249769185604175
AANAT	0.101020411997749	0.800365222535684	0.885552467111138	0.894065249303043	0.478674680051079
AARD	0.769529525426059	0.036607209829327	0.0969556399550509	0.098872456255934	0.052935444477981
AARS2	-0.434823307569066	0.0146998247723992	0.0464230995756745	0.0473408858338584	0.0253458943824534
AARSD1	0.423256120867446	0.0315734268486095	0.0860983257177087	0.0878004925466931	0.0470076123760293
AASDH	-0.178462402560079	0.354990975570938	0.5309446494325	0.541441443217479	0.289882992097677
AASDHPPT	-0.383236579997182	0.0147032527646308	0.0464230995756745	0.0473408858338584	0.0253458943824534
AASS	-0.184819148330356	0.611049751919744	0.752543462988509	0.765651109177605	0.409922877555125
AATF	-0.632175285822596	3.53722357138515e-08	5.04987546045488e-07	5.149711670133e-07	2.75711038761188e-07
AATK	-0.936867730787038	5.33707579669794e-06	4.8754444818067e-05	4.97183218510184e-05	2.66187527400991e-05
ABAT	0.580686547394716	0.132124686992179	0.263045715308186	0.268246138050111	0.143616625750938
ABCA1	0.224700122195469	0.471188237871464	0.640500375020492	0.652850720462271	0.349530540396243
ABCA10	-0.772051670650324	0.0339173825733649	0.0911917513163373	0.0929946153427134	0.0497885000902864
ABCA12	-4.46667358952209	6.31105816306326e-05	0.000446382976960897	0.000455207983603853	0.000243714355387518
ABCA13	-0.282111915164708	0.513876296837291	0.676741558983673	0.68905641845698	0.36891475303302
ABCA2	0.526167362311401	0.00251217104952594	0.0106789196284836	0.0108900422328951	0.00583043294170909
ABCA3	0.392645162688884	0.380938943041009	0.5559966797737	0.56694020949331	0.303534807553311
ABCA4	-2.70231964584901	6.25697976268649e-10	1.20515793259609e-08	1.22898394592971e-08	6.57987207940813e-09
ABCA5	-0.451335395907065	4.39807955606093e-05	0.000323423917655801	0.000329818019512542	0.000176581670172637
ABCA6	0.143064160091503	0.746717999740476	0.850495399754325	0.858760559694388	0.459772859388773
ABCA7	-0.132631913438943	0.627582069500325	0.765986249226875	0.77923279386601	0.417194392221247
ABCA8	0.433524118762017	0.120769835403	0.246484987341898	0.251358003928441	0.134574867105636
ABCA9	-0.252709592707823	0.515608300510712	0.677884249496551	0.690221380622716	0.369538463542281
ABCB1	-2.7321177808574	3.17404128761898e-05	0.000242622008021314	0.00024741865337525	0.000132465773426928
ABCB10	-0.0733137585633753	0.667456979417062	0.795238112192859	0.804103172306243	0.430509774350133
ABCB11	0.0425627222034457	0.906572242475647	0.949053027405262	0.95520337561851	0.511407495777663
ABCB4	0.486831247155249	0.257763100052821	0.425433357368129	0.433844189318913	0.232276367609788
ABCB5	-1.6207140557786	0.0222449914212051	0.0650408445567515	0.0663267042666908	0.0355107347796486
ABCB6	1.63439502877397	8.401650270724e-10	1.57551738740111e-08	1.60666541975792e-08	8.60194551070266e-09
ABCB7	0.020444382143842	0.864884767067509	0.924720927017046	0.932012392656036	0.498991247233962
ABCB8	0.0716889045360398	0.797602291262095	0.88411553237441	0.892712679737879	0.477950526188309
ABCB9	0.144019261571083	0.455663119380908	0.626339289812673	0.638413154203137	0.341800794256132
ABCC1	-0.885751146810751	0.0099147356024102	0.0334335475922224	0.0340945299657164	0.0182539118208133
ABCC10	-0.390155712928485	0.205751395708292	0.363180935201776	0.370361034648156	0.198288044303021
ABCC11	0.191924084847509	0.379014941866161	0.554137464538174	0.565044316849011	0.302519763287103
ABCC12	0.253685571840589	0.302045973858688	0.476068023152584	0.4854799041688	0.25992167571705
ABCC2	0.386429581640847	0.300037716808556	0.47399681322249	0.483367746347914	0.258790844975202
ABCC3	4.48239475895776	6.30904035305339e-14	2.0641823773157e-12	2.10499133315023e-12	1.12699386727249e-12
ABCC4	0.372044259238873	0.232661243350941	0.39623774144871	0.404071375079369	0.216336264422192
ABCC5	-0.444850031271743	0.0617426895383689	0.146374679062642	0.149268511448194	0.0799170496950459
ABCC6	1.83895817000773	6.27442537668074e-10	1.20715411931038e-08	1.23101959732327e-08	6.59077077813584e-09
ABCC8	2.24049194647048	0.00164871575888749	0.00748641684230053	0.00763442355800247	0.00408740330400941
ABCC9	5.42738177691686	7.22762986435544e-58	4.73854533337703e-55	4.83222653584964e-55	2.58713163584568e-55
ABCD1	0.437906097665968	0.0168460791382549	0.05179622384392	0.0528202369517108	0.0282794908344687
ABCD2	-0.344179712651307	0.394396970312127	0.570002127583788	0.581221816252008	0.311181054347003
ABCD3	-0.63908576762996	0.00182424117316045	0.008144582251884	0.00830560092012786	0.00444674576735126
ABCD4	-0.0922743966391978	0.636216851947933	0.771333745256363	0.783573582075309	0.419518412094378
ABCE1	0.198199093440646	0.137663441304019	0.271315877034144	0.276679801154789	0.148131934886862
ABCF1	-0.380610863064453	0.00381592251354063	0.0151103529639571	0.015409085156193	0.0082498888227345
ABCF2	-0.363864709235078	0.133395019914323	0.26483246092005	0.270068207683517	0.144592145825655
ABCF3	-0.143559908966428	0.302878920681885	0.476953879414746	0.486383273839406	0.260405331902527
ABCG1	-1.78968578606892	7.45097651496387e-07	8.28501928728468e-06	8.44881440049687e-06	4.52342100660038e-06
ABCG2	-1.32692460375335	0.0216712349555119	0.0636800329342623	0.0649389893521226	0.0347677644055614
ABCG4	0.681468964637563	0.0849535620035088	0.187701674389088	0.191412542878418	0.102480593884523
ABCG5	-0.154738863545632	0.685851212509435	0.808843210767666	0.817257446329279	0.437552457100849
ABCG8	0.131537909976953	0.703943783623839	0.821372149746866	0.829603714625979	0.444162540684072
ABHD1	1.01826919844162	0.0106203865753299	0.0354276143959049	0.036128019537957	0.0193426242734428
ABHD10	0.215577912822444	0.333848278735022	0.50885228149726	0.518912308416454	0.277821091245233
ABHD11	-2.43605724190313	2.46943355063129e-08	3.59777472684282e-07	3.66890285560886e-07	1.9642983573247e-07
ABHD12B	0.532247352790844	0.258609106830039	0.426412346200894	0.434842532794212	0.232810871935946
ABHD13	-0.340119703234285	0.172671188198722	0.3199644607061	0.326290168981235	0.174692889990589
ABHD14A	1.19770870811526	0.000140813744453769	0.000897312556246336	0.000915052456014904	0.00048991104615053
ABHD14A-ACY1	0.725008463584427	0.0230263743341681	0.0668894984492551	0.0682119061095507	0.0365200552846857
