gene	dEE	ASE	humallele	chpallele
A1BG	0.367045952461778	-0.198219401353576	362.25	415.75
A1CF	0.0321332908170266	-0.0477531314483681	51	52.75
A2M	0.0246893476673458	-0.0821834208613638	2012	2130
A2ML1	0.0713712198419429	-0.137503523749935	4	4.5
A3GALT2	1	-1.32192809488736	0.5	2.75
A4GALT	0.184168063893433	0.672335535563493	124.5	77.75
A4GNT	0.389543003222514	3.20163386116965	10.5	0.25
AAAS	0.143776924449959	-0.255988099869929	905.5	1081.5
AACS	0.0323647145058289	-0.0232697793228472	583.25	592.75
AADAC	0.102137840437976	0.234465253637023	24	20.25
AADACL2	0	0	0.25	0.25
AADACL3	0.101637384161297	-0.321928094887362	0	0.25
AADACL4	0.6828305400441	1.93859945533586	4.75	0.5
AADAT	0.171454793249871	-0.490111491092077	284.5	400
AAGAB	0.0199202915069145	0.0129928384449604	361.5	358.25
AAK1	0.108210356989331	-0.1624689152611	737.25	825.25
AAMDC	0.507135668344615	0.302847353321658	168	136
AAMP	0.287587776696431	0.333311432494156	1669	1324.5
AANAT	0.169901859100059	-0.584962500721156	4	6.5
AARD	0.12318680086137	1.13750352374994	7.25	2.75
AARS2	0.209590315506532	0.537819517322013	356.5	245.25
AARSD1	0.0847962740477599	-0.0786098346963663	436.5	461
AASDH	0.437294838747709	0.189761417096481	88.25	77.25
AASDHPPT	0.277537073190323	-0.358767256646743	505.5	648.5
AASS	0.245717043263908	1.08418460835131	1317.75	621
AATK	0.279959783753292	-0.143242066377846	597.75	660.25
ABAT	0.455219248171865	1.29888068048379	1264.25	513.25
ABCA1	0.395597853968534	-0.226172575577995	1632.5	1909.75
ABCA10	0.366512370580608	-1.29123129766445	18	45.5
ABCA12	0.422424618849432	-0.415037499278844	2.75	4
ABCA13	1	-1.32832586608551	10.25	27.25
ABCA2	0.0990697337014934	-0.319059394475461	4429	5525.5
ABCA3	0.240319660802225	0.834030727390947	384.5	215.25
ABCA4	0.28099620702406	0.44930740136359	16.75	12
ABCA5	0.245343383956241	0.774118592583672	235	137
ABCA6	0.283966469780038	-0.42449782852791	8.5	11.75
ABCA7	1	-0.375573102365709	821.25	1065.75
ABCA8	0.0981218310687274	-0.455929089977782	1564.25	2146
ABCA9	0.0676002188960231	-0.150779952175609	146.5	162.75
ABCB1	0.155054209627069	-0.391321430305036	33.5	44.25
ABCB10	0.14315332652005	0.281487168858865	73.75	60.5
ABCB11	0.449053550324507	-2.05889368905357	5	24
ABCB4	0.372297955494573	-0.632942529622978	16.25	25.75
ABCB5	0.287091980778624	0.459431618637297	1.75	1
ABCB6	0.20405256027919	-0.773315521042875	532	910
ABCB7	0.110024888425041	-0.12003070370677	108.5	118
ABCB8	0.971901768178388	-0.0472930027448305	914.25	944.75
ABCB9	0.566755220262199	0.107285173155849	1049	973.75
ABCC1	0.252917523388817	-0.761551232444479	31	53.25
ABCC10	0.12624607350122	-0.110182917750423	581.75	628
ABCC11	0.276328177460155	0.415037499278844	4	2.75
ABCC12	0.108441315495989	-0.222392421336448	0.5	0.75
ABCC2	0.170975502616429	-0.438121112391885	107.5	146
ABCC3	0.00343297308058312	-0.01504388022445	118.25	119.5
ABCC4	0.100940637263747	-0.120887508133758	96.25	104.75
ABCC5	0.112976024394492	-0.0971205431803166	1463.75	1565.75
ABCC6	0.142066693376915	0.970046777898372	34.75	17.25
ABCC8	0.23618039806038	-1.88264304936184	3	13.75
ABCC9	0.0592749300142874	0.200232354732269	114.75	99.75
ABCD1	0.571053522362201	-0.0748317523933295	454.5	478.75
ABCD2	0.216687928541261	-0.910732661902913	5.25	10.75
ABCD3	0.471424230896551	-0.249044813528515	508.5	604.5
ABCD4	0.259648593694271	0.703222925642348	1474.5	905.25
ABCE1	0.166200447489119	-0.231099116687347	294	345.25
ABCF2	0.0980474152215088	-0.139349582915308	442.75	487.75
ABCF3	0.236053568661691	-0.241637488768473	616	728.5
ABCG1	0.257876740149809	-0.816909228770853	343	605
ABCG2	0.233562787715615	-0.507719501788696	104.5	149
ABCG4	0.190094210921686	0.401362562381767	86.5	65.25
ABCG5	0.0972842292947926	-1.11818142634831	9.25	21.25
ABCG8	0.410824380698502	0.567684509289321	19.75	13
ABHD1	0.176925536861778	-1	8.25	17.5
ABHD10	0.219824176207448	0.332575339086871	143.5	113.75
ABHD11	0.190476587972943	-0.469021021015351	128.5	178.25
ABHD12B	0.124586976978314	-0.625604485218502	7.75	12.5
ABHD13	0.515249428552898	0.036812665617727	128	124.75
ABHD14A	0.353279330795425	-0.452288894575416	496	679
ABHD14A-ACY1	0.246306510341699	-0.641038425127245	655	1022
ABHD14B	0.235889585341591	2.21375979001403	512.75	109.75
ABHD15	0.0522421353552833	-0.0558789918555536	176.25	183.25
ABHD17A	0.200302725325435	0.293380276285772	827.75	675.25
ABHD17B	0.827294431354267	0.104336659814736	181.75	169
ABHD17C	0.286159791828466	0.157828809631356	143.75	128.75
ABHD18	0.149469066399576	-0.201398913682625	199.25	229.25
ABHD2	0.160989981615976	0.0449190602516622	643.25	623.5
ABHD3	0.357478550281782	0.495365064226361	108.25	76.5
ABHD4	0.155865050484255	-0.464117935110107	949	1309.5
ABHD5	0.127497878980641	-0.250406797506044	113.75	135.5
ABHD6	0.309975151530029	1.14852252471009	91	40.5
ABHD8	0.175954893183478	-0.160464672193246	360.25	402.75
ABI1	0.186506203384132	0.104386511921407	360.75	335.5
ABI2	0.480549386276901	-0.0883578314149047	1823.75	1939
ABI3	0.722601753030551	-0.442641960673446	54	73.75
ABI3BP	1	1.61031807499805	214.25	69.5
ABL1	0.315646947375761	-0.104958011768432	2738.75	2945.5
ABL2	1	0.148253209192212	692.75	625
ABLIM1	0.0752881547466924	-0.164612141165007	3618.75	4056.25
ABLIM2	0.231753458556765	0.958352302641509	58.75	29.75
ABLIM3	0.0835998669908643	-0.303497389480175	176.25	217.75
ABO	0.117619380044333	-1.38811661895403	367.5	963.5
ABR	0.497751878582029	0.362570079384708	3.5	2.5
ABRA	1	0.441371647092306	31.25	22.75
ABRACL	0.27457849752958	0.484344535265854	398.75	284.75
ABRAXAS1	0.251671474738105	0.236508111323606	217.25	184.25
ABRAXAS2	0.295939355808459	-0.469684895206193	199.75	277
ABT1	0.251853995202394	0.574677898459636	470.75	315.75
ABTB1	0.214115143596751	-1.43472958546247	451.5	1222.25
ABTB2	0.207797868522591	0.0686323539602685	327.25	312
ACAA1	0.776185393194143	-0.306759976997751	854.75	1057.5
ACAA2	0.203803597479173	-0.163193969748023	506.25	567
ACACA	0.438493623346255	0.255944981047474	100.5	84
ACACB	1	0.134972506579138	1152.25	1049.25
ACAD10	0.155560148408528	0.777194376586865	871.75	508.25
ACAD11	0.13009704940098	0.352591745375889	554.75	434.25
ACAD8	0.148384328846256	0.504792152037173	392.75	276.5
ACAD9	0.125066773129477	-0.0438070348040628	501.75	517.25
ACADL	0.1213475378313	0.166009951438929	10.5	9.25
ACADM	0.188516252791005	0.71352218095461	248.25	151
ACADS	0.308131043122189	0.145444896615013	377	340.75
ACADSB	0.137591090846836	0.0831201739050397	579.5	547
ACADVL	0.522172277486315	0.122889529231379	5133.5	4714.25
ACAN	0.0980723968495013	0.242074787198148	29.75	25
ACAP1	0.186834238630392	0.383328639551506	96.5	73.75
ACAP2	0.133135034439299	-0.0920240054697121	393.75	419.75
ACAP3	0.289918883778753	0.696349200484745	912.5	562.75
ACAT1	1	-0.0213105062454122	167	169.5
ACAT2	0.167664002010361	-0.222392421336448	479	559
ACBD3	0.128338950804954	0.0250574575916379	565.25	555.5
ACBD4	0.578810492721672	0.0711610289212389	139.25	132.5
ACBD5	0.0624707875874327	-0.0526551803536701	342	354.75
ACBD6	0.30248916679194	0.212766673863169	721	622
ACBD7	0.272565895118143	2.64134497061867	70.75	10.5
ACCS	0.1565965623121	1.47418707606648	1252	450
ACCSL	0.353376539422104	0.584962500721156	0.5	0
ACD	0.0437038975295538	0.0428238999254829	400.75	389
ACE	1	0.171855028540712	139.25	123.5
ACE2	0.174590176432945	0.472068444315223	20.5	14.5
