gene	dEE	ASE	humallele	chpallele
A1BG	0.191628519310352	-0.103487016067629	157	168.75
A1CF	0.821253078339199	1.90689059560852	2.75	0
A2M	0.765877229842881	2.24792751344359	8.5	1
A2ML1	0.127271047795667	0.222392421336448	0.75	0.5
A3GALT2	0	0	0.75	0.75
A4GALT	1	-1.34395440121736	15.25	40.25
A4GNT	1	-0.222392421336448	0.5	0.75
AAAS	0.131686909155404	-0.283370303022334	791.5	963.5
AACS	0.918131900868558	0.450370572391125	495	362
AADAC	0	0	0	0
AADACL2	0	0	0	0
AADACL3	0	0	0	0
AADACL4	1	-0.321928094887362	0	0.25
AADAT	0.160776733632186	-0.559405520247938	587.5	866.25
AAGAB	1	-0.170873867544613	716.75	807
AAK1	0.166037968513016	-0.255549553781469	2165	2584.75
AAMDC	0.930263784147993	-0.765534746362977	24	41.5
AAMP	0.171097963161651	0.241979671931959	910.5	769.75
AANAT	0.731936134034298	0.415037499278844	2	1.25
AARD	1	-0.584962500721156	1	2
AARS2	0.0832142193362968	0.261563018617126	391	326
AARSD1	0.125844962956421	-0.129484791192754	560.75	613.5
AASDH	0.52097006982	-0.165759527025718	124.25	139.5
AASDHPPT	0.21725121329506	-0.335947555974945	1519.75	1918.5
AASS	0.0843973726017097	0.484601093078699	261	186.25
AATK	0.169275728262729	0.0652411947589387	1062	1015
ABAT	0.108766858047095	0.311423087878991	2171.25	1749.5
ABCA1	0.16712137572058	0.0856300715256963	367.75	346.5
ABCA10	0.267901920275943	-1.4447848426729	3.5	11.25
ABCA12	0.108122203263728	0.637429920615292	6	3.5
ABCA13	0.0798192982665134	0.263034405833794	0.5	0.25
ABCA2	0.267977175462086	-0.869745267826058	3433.5	6275
ABCA3	0.0478649226433023	0.194020383137957	4197	3668.75
ABCA4	0	0	0	0
ABCA5	0.0951980443639426	0.300373195035401	306.25	248.5
ABCA6	0.520178111989503	-0.777607578663552	0.75	2
ABCA7	0.268475991409544	0.421577520377875	2320.5	1732.25
ABCA8	1	0.84799690655495	1.25	0.25
ABCA9	0.597772311988276	-1.84021955596323	6.75	26.75
ABCB1	0.16278257872094	-0.547487795302493	8.75	13.25
ABCB10	0.249400216647252	0.693986394476011	117.5	72.25
