gene	dEE	ASE	humallele	chpallele
A1BG	0.368698818061274	-0.199112014464966	117.25	134.75
A1CF	0.275889117026981	-0.409997511477497	572.5	761
A2M	0.498894012758247	-1.66066828367253	189.25	600.5
A2ML1	0.720301495919364	-1.38773015328311	14	38.25
A3GALT2	1	0.263034405833794	0.5	0.25
A4GALT	0.260059021319813	1.12275989336363	81.75	37
A4GNT	0.01094726083396	0.125530882083859	2	1.75
AAAS	0.161792891228805	-0.348153821123264	781.25	994.75
AACS	0.545405876886599	-0.392139235285063	673.75	884.5
AADAC	0.0465744406415282	0.106915203916512	16.5	15.25
AADACL2	0	0	0	0
AADACL3	1	0.15200309344505	1.5	1.25
AADACL4	0.170981303866675	0.485426827170242	0.75	0.25
AADAT	0.093095116370964	-0.323914541796712	470.75	589.5
AAGAB	0.160129855118261	0.123341139629709	1091.25	1001.75
AAK1	0.206801438128129	-0.318288736656438	931.75	1162
AAMDC	0.229929372237011	0.169105521135764	164	145.75
AAMP	0.110170270727289	0.155811124075494	1537.5	1380
AANAT	0.268063865965702	0.15200309344505	1.5	1.25
AARD	0.407184261070689	4.60694086981665	114.75	3.75
AARS2	0.160200168086176	0.503549031425136	543.75	383.25
AARSD1	0.287924509262007	-0.296252182727229	401.5	493.25
AASDH	0.149337266429346	0.0705572881967146	213.75	203.5
AASDHPPT	0.117980667067127	-0.182440024855761	1032	1171.25
AASS	0.157007048654708	0.90151843657738	1322.5	707.5
AATK	0.729915081260193	0.281319315313014	828.75	681.75
ABAT	0.180288134765184	0.516204004092925	915.75	640
ABCA1	0.050759382915458	-0.0517874229731045	1893.75	1963
ABCA10	1	0.167109985835258	15	13.25
ABCA12	0.335821590032259	1.97982211806237	52.25	12.5
ABCA13	0.490432143215143	1.61615712232475	45.75	14.25
ABCA2	0.31579892265797	-1.02495527125666	2542.25	5174.25
ABCA3	0.218859941363303	0.887148402877462	1003.75	542.25
ABCA4	0.176574093660136	0.334755590508129	232	183.75
ABCA5	0.235360031349221	0.742618664830204	361.25	215.5
ABCA6	0.587216896234105	2.37083769536831	36.5	6.25
ABCA7	0.195487737516354	0.306966873327266	3416.5	2761.5
ABCA8	0.17723966741651	-0.964666926887719	76.5	150.25
ABCA9	1	0.836501267717121	17.75	9.5
ABCB1	0.375533481036409	-1.26303440583379	1.5	5
ABCB10	0.0922718594031554	0.256757655946081	262.75	219.75
ABCB11	0.137052539651619	-0.678071905112638	1.5	3
ABCB4	0.213839119710922	-0.363547184089101	40	51.75
ABCB5	0.263024443357294	1	2	0.5
ABCB6	0.166385009831414	-0.726852582537472	407	674.25
ABCB7	0.174465184419285	-0.247354765394899	164.75	195.75
ABCB8	0.0133230714602225	-0.00136726755539813	790	790.75
ABCB9	0.432682501758657	-0.113695149668121	996	1077.75
ABCC1	0.261289834659163	-0.906133076535778	30.75	58.5
ABCC10	0.253063806478912	-0.252930932856107	1366.25	1628.25
ABCC11	0.0778974962329875	0.176877762084079	5.5	4.75
ABCC12	0.39367631906681	-0.807354922057604	1	2.5
ABCC2	0.0819199402280714	-0.31543757888234	99.25	123.75
ABCC3	0.154823627598059	-0.816663362596294	473.5	834.75
ABCC4	0.320514570414842	0.161250667876479	512	457.75
ABCC5	0.316735686536341	-0.283213360898227	1555	1892.5
ABCC6	0.190717570506761	1.54409021930563	129.5	43.75
ABCC8	0.117717134263843	-1.16992500144231	36	82.25
ABCC9	0.429207517533021	1.44987487768798	121.25	43.75
ABCD1	0.379062246693717	-0.0562098215799523	370.25	385
ABCD2	0.343428868381083	-1.61667136044849	2.75	10.5
ABCD3	0.205899815252647	-0.130780135133932	1113.5	1219.25
