gene	dEE	ASE	humallele	chpallele
A1BG	1	0.845614255243956	180.5	100
A1CF	0.178746921660801	0.415037499278844	2	1.25
A2M	0.159123183863462	0.425386187571305	127.25	94.5
A2ML1	0.811389321164312	0.9567159022712	196	100.5
A3GALT2	0	0	0.5	0.5
A4GALT	0.335168828230255	1.22358843801915	401.25	171.25
A4GNT	0.273505488942271	2.24792751344359	3.75	0
AAAS	0.226968064409131	-0.404106039696732	901.5	1193.25
AACS	0.0305611022842527	0.01419771907347	662.75	656.25
AADAC	0.851287718920496	1.95419631038688	6.75	1
AADACL2	1	-0.444784842672896	8	11.25
AADACL3	0.101637384161297	-0.321928094887362	0	0.25
AADACL4	0	0	0	0
AADAT	0.276611506050879	-0.790706839477196	350.75	607.5
AAGAB	0.479121826887477	0.312503082098094	666.5	536.5
AAK1	0.148914786646768	-0.22358325511507	734.25	857.5
AAMDC	0.0697362158520069	-0.0573874821575199	85.25	88.75
AAMP	0.288459274938096	0.334321490469089	1445.75	1146.5
AANAT	0.539648994346785	-1.85798099512757	1	6.25
AARD	0.154931624942385	1.43063435432986	14.5	4.75
AARS2	0.276946598644107	0.710659200291651	592.25	361.5
AARSD1	0.298393193550078	-0.276623470581749	316	383
AASDH	0.400109737817133	0.173625170284904	182	161.25
AASDHPPT	0.0826839887240804	-0.106884127090315	828	891.75
AASS	0.299836567865312	1.3229777942237	1545.75	617.25
AATK	0.720040216246709	-0.368410230453741	889.25	1148.25
ABAT	0.254721943320956	0.726800135107568	753.25	454.75
ABCA1	0.51382090142935	-0.293763465843591	1175.75	1441.5
ABCA10	0.105582290817034	-0.371968777386958	16	21
ABCA12	0.385337081072949	1.6407761554524	598.5	191.25
ABCA13	0.366752538480613	1.20858662181142	25	10.25
ABCA2	0.00647829881795979	-0.0208637090346614	3380	3429.25
ABCA3	0.184701273945334	0.641006804621934	694.5	445
ABCA4	0.183920433861244	0.294085151792757	393.5	320.75
ABCA5	0.152441942126782	0.48099174221447	388.75	278.25
ABCA6	0.373767603665214	1.41503749927884	3	0.5
ABCA7	0.321265877722756	0.433133446125571	2278.75	1687.5
ABCA8	0.466027139407213	-2.16542360920737	52.5	239
ABCA9	0.0681485982817565	-0.15200309344505	5.75	6.5
ABCB1	0	0	29.5	29.5
ABCB10	0.189237339485057	0.372103703273508	156.25	120.5
ABCB11	0.345687124043406	-1.58496250072116	0	2
ABCB4	0.166817132186637	0.547487795302493	3.75	2.25
ABCB5	0.088022902193174	0.14086253583985	9.75	8.75
ABCB6	0.2618460889705	-0.992340622671973	329.5	656.5
ABCB7	0.289201446809933	-0.315501825727929	122.75	153
ABCB8	0.276083200553838	0.180551098112253	1136	1002.25
ABCB9	0.172899416121118	-0.045432447380056	1061.75	1095.75
ABCC1	0.143190894619923	-0.431157164642121	43.5	59
ABCC10	0.208832495692506	-0.182261301744807	1053.5	1195.5
ABCC11	0.364512375196185	0.547487795302493	3.75	2.25
ABCC12	1	0.321928094887362	0.25	0
ABCC2	0.295922090554873	-0.758294103606718	22.5	38.75
ABCC3	0.440589077195505	-1.93073733756289	3	14.25
ABCC4	0.696655862963336	-0.834321969657874	131.5	235.25
ABCC5	0.885011951459275	0.296374588609409	1373.5	1118.25
ABCC6	0.292906891943306	2	13	2.5
ABCC8	0.243804515159215	-1.94341647163363	2.25	11.5
ABCC9	0.386030150465933	-0.763932641766475	12.25	21.5
ABCD1	0.121885945093503	0.0436407281271817	343	332.75
ABCD2	1	0.0840642647884745	12.25	11.5
ABCD3	0.633247316961628	0.223115005602736	1080.75	925.75
ABCD4	0.219545718039434	0.594609737550631	1649.5	1092
ABCE1	0.241395392942245	-0.33565650949887	380.75	480.75
ABCF2	0.240069266008054	-0.341197695150129	471.25	597.25
ABCF3	0.178194058391878	-0.182409293904752	830	942
ABCG1	0.156808909627027	-0.496743697602956	516	728.5
ABCG2	1	0.0465425859370302	30.5	29.5
ABCG4	0.131446245930492	0.277533975528909	29	23.75
ABCG5	0.202012821771446	-2.32192809488736	2	14
ABCG8	0.372388539043451	0.514573172829758	1.5	0.75
ABHD1	0.188271831238889	-1.06413033741972	1.75	4.75
ABHD10	0.190256045382049	0.287841264313666	239.5	196
ABHD11	0.127740627839551	-0.314542801989705	576.75	717.5
ABHD12B	0.522658309989355	-2.62449086490779	0.5	8.25
ABHD13	0.484750571447102	0.0346336351013579	199.25	194.5
ABHD14A	0.346932124741568	-0.444162829562561	342.25	466
ABHD14A-ACY1	0.253255134883065	-0.659122946428035	375	592.75
ABHD14B	0.207429594911567	1.94667049759387	357.5	92
ABHD15	0.192020952764655	-0.20538856581303	316	364.5
ABHD17A	0.313419235204542	0.459060263249985	1091.5	793.75
ABHD17B	0.828434617615952	-0.167398389516516	253	284.25
ABHD17C	0.452557254905503	-0.182404571985602	242	274.75
ABHD18	0.0734746368750878	-0.0990018363419041	224.25	240.25
ABHD2	0.584723527166051	-0.2197359453844	2251	2621.5
ABHD3	0.459618725818885	0.636902716136233	151	96.75
ABHD4	0.158032582794117	-0.470572176242498	902	1250.25
ABHD5	0.153935083236723	-0.302329666385956	291.75	360
ABHD6	0.149977504992941	0.555697906215961	121	82
ABHD8	0.311868153467507	-0.284412783914414	373	454.5
ABI1	1	-0.0542105474272455	449.5	466.75
ABI2	0.0523260540681969	-0.0096211061672251	1157.25	1165
ABI3	0.504177592751505	0.722466024471091	7.25	4
ABI3BP	0.201124497272499	-0.599462070416271	7.25	11.5
ABL1	0.283781160917927	-0.0943620924419253	2103.5	2245.75
