gene	dEE	ASE	humallele	chpallele
A1BG	1	0.917398938826753	229.8	121.2
A1CF	0	0	5.2	5.2
A2M	0.104309808843326	0.261787939106657	3840	3202.6
A2ML1	0.718731350829085	0.568283759574526	16.2	10.6
A3GALT2	0.339035952556319	-0.678071905112638	0	0.6
A4GALT	0.215488209665064	0.666664232802739	155.2	97.4
A4GNT	0.352309976815914	3.24792751344359	14.2	0.6
AAAS	0.212500043103613	-0.371395388630178	937	1212.4
AACS	0.0545019111537881	0.0259609799451792	458.8	450.6
AADAC	1	-0.206450877467426	1.6	2
AADACL3	0.260044880301906	-1	0.2	1.4
AADACL4	0	0	0	0
AADAT	0.230910893404375	-0.620847036419688	314	483.4
AAGAB	0.257814524644272	0.11801560523143	444.6	409.6
AAK1	0.0286469929763793	-0.0376856880543914	875.6	898.8
AAMDC	0.188036901481629	0.13829498123027	108.4	98.4
AAMP	0.236385347142217	0.255285323518435	986.8	826.6
AANAT	0.490123844042748	-1.52356195605701	2.2	8.2
AARD	0.210468819158937	2.08017034868398	28.6	6
AARS2	0.237277032154829	0.577197707806784	369.6	247.4
AARSD1	0.135424248678186	-0.101879614019213	392.6	421.4
AASDH	0.128915059569527	0.0385255212693154	150.8	146.8
AASDHPPT	0.176226512769774	-0.253672977624256	555.6	662.6
AASS	0.300880789307449	1.32956815708949	1305.4	518.8
AATK	0.539862463052398	-0.168060652648439	463.6	521
ABAT	0.00463805829781266	0.00990882472614396	1197	1188.8
ABCA1	0.617393082722173	-0.448529738039996	1112.4	1518.4
ABCA10	0.372424224161701	-1.86993945943563	4.8	20.2
ABCA12	0.38485365916455	1.63742992061529	38.2	11.6
ABCA13	0.416340735818412	-0.947532580105864	7.4	15.2
ABCA2	0.00776527074132391	-0.025040908268856	4271.2	4346
ABCA3	0.170840781808937	0.582992717034402	1682.4	1122.8
ABCA4	0.185332196237475	0.29685607293053	64.6	52.4
ABCA5	1	-0.568418767532783	197.8	293.8
ABCA6	0.0959201589115784	0.251538766995964	4	3.2
ABCA7	0.19527513870875	0.222052843827315	1415	1213
ABCA8	0.242932953716382	-0.796164723712283	172.8	300.8
ABCA9	0.289768909248446	-0.84799690655495	5	9.8
ABCB1	0.249616022056173	-0.839535327806754	2.8	5.8
ABCB10	0.338635981926403	0.816288046827612	161	91
ABCB11	0.107825285666924	-0.362570079384708	0.4	0.8
ABCB4	0.189041428692255	0.637429920615292	7.4	4.4
ABCB5	0.60136424035927	2.20163386116965	3.6	0
ABCB6	0.171411462485275	-0.578712073482946	1171	1749.4
ABCB7	0.296517467684214	-0.326847309870477	104.4	131.2
ABCB8	0.525839506741669	-0.0539637799782868	1059	1099.4
ABCB9	0.355853779250956	0.104575824385128	994.4	924.8
ABCC1	0.150442171501896	-0.456857674973471	19.4	27
ABCC10	0.155053474754138	-0.126711814264349	772.4	843.4
ABCC11	0.446084255380164	0.768674453893544	8.2	4.4
ABCC12	1	0.192645077942396	0.6	0.4
ABCC2	0.416549127398795	-1.28808032440369	26.6	66.4
ABCC3	0.2669286228385	-0.89262550970802	144	268.2
ABCC4	0.361639072477994	0.181940377599154	252.2	222.2
ABCC5	0.0385912400329353	-0.0345068625214854	982.2	1006
ABCC6	0.208015244305207	1.26810539538122	33.2	13.2
ABCC8	0.246057338234512	-1.96723488907238	32.4	129.6
ABCC9	0.490953448320389	-1.17182754034508	504.2	1137.2
ABCD1	0.116294767633467	-0.0172449464339324	414.8	419.8
ABCD2	0.107164914589135	-0.504472582860788	7.6	11.2
ABCD3	0.168274961658467	-0.106882185388792	623.2	671.2
ABCD4	0.181333878844717	0.468194865617971	1357.2	980.8
ABCE1	0.219662812414613	-0.296931182806884	397.2	488.2
ABCF2	0.242097827096678	-0.345001729786688	366.2	465.4
ABCF3	0.279033622880864	-0.325585118495451	629.4	789
ABCG1	0.223413679498829	-0.768435932765302	104.2	178.2
ABCG2	0.247167478387746	-0.713695814843359	9	15.4
ABCG4	0.936721176550356	-0.376148485885249	27.2	35.6
ABCG5	0.253548231769783	-3.11547721741994	0.8	14.6
ABCG8	0.402809229781618	0.584962500721156	1.4	0.6
ABHD1	0.110563142337085	-0.570315724756755	5.6	8.8
ABHD10	0.258087666404821	0.426164198607993	268	199.2
ABHD11	0.0588705891212792	-0.134352386623363	124	136.2
ABHD12B	0.411294294693716	-1.67459971320583	4.2	15.6
ABHD13	0.0326596656713412	-0.0226132378996061	125.6	127.6
ABHD14A	0.471963835250415	-0.747310475317936	560.4	941.4
ABHD14A-ACY1	0.289810072680722	-0.79308435717295	524.4	909.4
ABHD14B	0.210805484035994	1.9868149782257	543.6	136.4
ABHD15	0.283407913156326	-0.341796573733935	278.8	353.6
ABHD17A	0.269729969451323	0.371433792013197	633.4	489.4
ABHD17B	0.717172129361538	-0.0879070891494276	190	202
ABHD17C	0.0836994816315599	0.0503805037761295	208.8	201.6
ABHD18	0.139285165331958	-0.202026662834977	190.6	219.4
ABHD2	0.47033903672383	-0.138580117255225	1314.2	1446.8
ABHD3	0.496380668042825	0.73805400994087	87.4	52
ABHD4	0.173066052918146	-0.524705915259119	1040.4	1497.2
ABHD5	0.266137471568529	-0.602612525618881	134.4	204.6
ABHD6	0.171527488323714	0.652076696579693	150.8	95.6
ABHD8	0.116365580393354	-0.0826421595734777	355.2	376.2
ABI1	1	-0.0565307317097262	419.4	436.2
ABI2	0.75927549436147	0.116510918394822	1744.2	1608.8
ABI3	0.198808588355656	-0.15200309344505	0.8	1
ABI3BP	0.078296130956737	-0.202266860132183	1108.6	1275.6
ABL1	0.301761480896611	-0.102924731042112	2652.2	2848.4
ABL2	0.223785053957037	-0.0943571248515752	490.2	523.4
ABLIM1	0.0926956469816897	-0.152755163024136	1916.8	2131
ABLIM2	1	-0.494264190429419	54.8	77.6
ABLIM3	0.125270873802482	-0.490023914156977	598.8	841.4
ABO	0.163680956052417	-1.74975465543468	86.6	293.6
ABR	0.101502208031483	-0.189033824390017	9	10.4
ABRA	0.519103304962451	0.476438043942987	5.4	3.6
