gene	dEE	ASE	humallele	chpallele
A1BG	0.520358521372449	0.917398938826753	229.8	121.2
A1CF	0	0	5.2	5.2
A2M	0.0891921204799625	0.261787939106657	3840	3202.6
A2ML1	0.325218229522721	0.568283759574526	16.2	10.6
A3GALT2	0.339035952556319	-0.678071905112638	0	0.6
A4GALT	0.154415961022802	0.666664232802739	155.2	97.4
A4GNT	0.28324432258597	3.24792751344359	14.2	0.6
AAAS	0.172593635542055	-0.371395388630178	937	1212.4
AACS	0.0529244256322721	0.0259609799451792	458.8	450.6
AADAC	1	-0.206450877467426	1.6	2
AADACL2	0	0	0.2	0.2
AADACL3	0.239956722605387	-1	0.2	1.4
AADACL4	0	0	0	0
AADAT	0.178435419365435	-0.620847036419688	314	483.4
AAGAB	0.153215884206496	0.11801560523143	444.6	409.6
AAK1	0.0244854862549172	-0.0376856880543914	875.6	898.8
AAMDC	0.188036901481629	0.13829498123027	108.4	98.4
AAMP	0.180506067019337	0.255285323518435	986.8	826.6
AANAT	0.306767398286534	-1.52356195605701	2.2	8.2
AARD	0.18385576248209	2.08017034868398	28.6	6
AARS2	0.183630915837338	0.577197707806784	369.6	247.4
AARSD1	0.0990157696063061	-0.101879614019213	392.6	421.4
AASDH	0.0815407760298966	0.0385255212693154	150.8	146.8
AASDHPPT	0.164045730319736	-0.253672977624256	555.6	662.6
AASS	0.231555522172599	1.32956815708949	1305.4	518.8
AATK	0.247252392023727	-0.168060652648439	463.6	521
ABAT	0.00346073163599491	0.00990882472614396	1197	1188.8
ABCA1	0.439625905578777	-0.448529738039996	1112.4	1518.4
ABCA10	0.346737006913618	-1.86993945943563	4.8	20.2
ABCA12	0.277744305657919	1.63742992061529	38.2	11.6
ABCA13	0.416340735818412	-0.947532580105864	7.4	15.2
ABCA2	0.0077153531236404	-0.025040908268856	4271.2	4346
ABCA3	0.143824586113814	0.582992717034402	1682.4	1122.8
ABCA4	0.15658317145847	0.29685607293053	64.6	52.4
ABCA5	1	-0.568418767532783	197.8	293.8
ABCA6	0.0623019510472973	0.251538766995964	4	3.2
ABCA7	0.141411376342864	0.222052843827315	1415	1213
ABCA8	0.146280510823346	-0.796164723712283	172.8	300.8
ABCA9	0.275461191436435	-0.84799690655495	5	9.8
ABCB1	0.249616022056173	-0.839535327806754	2.8	5.8
ABCB10	0.293352171376619	0.816288046827612	161	91
ABCB11	0.0732830099679605	-0.362570079384708	0.4	0.8
ABCB4	0.162634825680562	0.637429920615292	7.4	4.4
ABCB5	0.579083520810717	2.20163386116965	3.6	0
ABCB6	0.132473924354604	-0.578712073482946	1171	1749.4
ABCB7	0.230533161964609	-0.326847309870477	104.4	131.2
