paper_name	median
TSS	-1.53656878288586
flanking promoter	-1.28846664078105
bivalent promoters	-0.824442594663485
exon and transcription	-0.734297056786572
DNase	-0.480139958610904
transcribed and enhancer	-0.134909454003093
polycomb repressed	-0.129729862483162
enhancers	-0.0582380547168799
weak transcription	-0.0184480899542065
weak enhancers	0.168712598809825
transcription	0.512377436067555
acetylations	0.617552745274866
quescient	1.18048586403891
ZNF genes	1.32398380296472
HET	1.85955807500324
