gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	251	118	235	1
A1CF	chr10	0	0	0	0
A2M	chr12	4048	4777	9184	8
A2ML1	chr12	14	4	11	0
A3GALT2	chr1	0	0	0	0
A4GALT	chr22	215	139	323	1
A4GNT	chr3	14	1	2	0
AAAS	chr12	913	1250	3683	1
AACS	chr12	425	458	1335	0
AADAC	chr3	0	0	0	0
AADACL2	chr3	0	3	0	0
AADACL3	chr1	0	3	1	0
AADACL4	chr1	0	0	0	0
AADAT	chr4	437	578	809	0
AAGAB	chr15	497	543	1039	0
AAK1	chr2A	1069	1073	2210	1
AAMDC	chr11	83	77	397	0
AAMP	chr2B	1080	749	3819	1
AANAT	chr17	1	1	0	0
AARD	chr8	41	9	54	0
AARS2	chr6	424	319	1863	1
AARSD1	chr17	425	485	1086	0
AASDH	chr4	185	207	1083	0
AASDHPPT	chr11	541	669	1789	0
AASS	chr7	1516	578	1486	1
AATF	chr17	422	350	943	0
AATK	chr17	550	655	271	5
ABAT	chr16	1704	1833	1755	0
ABCA1	chr9	1035	1164	3221	1
ABCA10	chr17	4	28	41	0
ABCA12	chr2B	4	5	6	0
ABCA13	chr7	10	12	9	0
ABCA2	chr9	5245	6319	10564	5
ABCA3	chr16	3016	2079	2581	3
ABCA4	chr1	17	14	27	0
ABCA5	chr17	110	298	631	0
ABCA6	chr17	3	3	6	0
ABCA7	chr19	990	935	870	1
ABCA8	chr17	230	504	634	0
ABCA9	chr17	2	7	10	0
ABCB1	chr7	2	4	15	0
ABCB10	chr1	321	180	878	0
ABCB11	chr2B	3	1	0	0
ABCB4	chr7	9	1	36	0
ABCB5	chr7	9	0	2	0
ABCB6	chr2B	1637	2534	3917	0
ABCB7	chrX	114	156	1344	0
ABCB8	chr7	1518	1704	1442	1
ABCB9	chr12	1049	1037	855	2
ABCC1	chr16	1244	1016	1895	1
ABCC10	chr6	1113	1224	2281	0
ABCC11	chr16	9	4	209	0
ABCC12	chr16	0	1	1	0
ABCC2	chr10	9	21	51	0
ABCC3	chr17	152	287	284	0
ABCC4	chr13	176	184	306	0
ABCC5	chr3	1282	1344	4259	1
ABCC6	chr16	137	34	164	0
ABCC8	chr11	54	223	311	0
ABCC9	chr12	822	2029	6150	0
ABCD1	chrX	607	636	968	1
ABCD2	chr12	8	12	37	0
ABCD3	chr1	763	894	2380	0
ABCD4	chr14	1766	1244	2190	3
ABCE1	chr4	448	522	3989	0
ABCF1	chr6	871	1231	3522	0
ABCF2	chr7	423	602	2774	0
ABCF3	chr3	704	855	2904	0
ABCG1	chr21	98	162	277	0
ABCG2	chr4	7	6	6	0
ABCG4	chr11	32	56	146	0
ABCG5	chr2A	3	17	1	0
ABCG8	chr2A	0	0	0	0
ABHD1	chr2A	6	10	9	0
ABHD10	chr3	326	225	1218	0
ABHD11	chr7	63	88	331	0
ABHD12B	chr14	3	21	11	0
ABHD13	chr13	162	175	1137	0
ABHD14A	chr3	676	826	91	1
ABHD14A-ACY1	chr3	580	847	663	0
ABHD14B	chr3	544	150	425	0
ABHD15	chr17	337	459	392	0
ABHD16A	chr6	441	502	1957	1
ABHD17A	chr19	523	436	1820	0
ABHD17B	chr9	174	216	935	0
ABHD17C	chr15	202	228	394	0
ABHD18	chr4	192	202	625	5
ABHD2	chr15	525	611	1071	0
ABHD3	chr18	84	47	183	0
ABHD4	chr14	1269	1967	2479	2
ABHD5	chr3	138	198	710	0
ABHD6	chr3	207	133	578	0
ABHD8	chr19	453	488	707	0
ABI1	chr10	425	479	1730	0
ABI2	chr2B	2357	2030	7998	0
ABI3	chr17	0	1	0	0
ABI3BP	chr3	1784	1907	4287	1
ABL1	chr9	3520	3617	9107	2
ABL2	chr1	572	530	850	1
ABLIM1	chr10	2814	2974	3462	7
ABLIM2	chr4	63	124	70	0
ABLIM3	chr5	732	1047	2806	1
ABO	chr9	14	147	155	0
ABR	chr17	1944	1751	5681	2
ABRA	chr8	2	3	3	0
ABRACL	chr6	207	177	88	0
ABRAXAS1	chr4	193	233	1133	0
ABRAXAS2	chr10	85	100	694	0
ABT1	chr6	253	231	344	1
ABTB1	chr3	594	1220	1534	0
ABTB2	chr11	333	256	359	0
ACAA1	chr3	608	723	1813	1
ACAA2	chr18	465	530	2705	1
ACACA	chr17	1813	1319	3746	0
ACACB	chr12	553	384	854	1
ACAD10	chr12	866	561	1054	0
ACAD11	chr3	1640	647	2742	2
ACAD8	chr11	765	533	927	1
ACAD9	chr3	403	456	1515	0
ACADL	chr2B	42	126	189	0
ACADM	chr1	224	164	1428	0
ACADS	chr12	200	160	222	0
ACADSB	chr10	252	362	333	0
ACADVL	chr17	6832	6059	14859	6
ACAN	chr15	1011	1784	2105	1
ACAP1	chr17	74	42	102	0
ACAP2	chr3	875	908	2609	0
ACAP3	chrUn_NW_019935705v1	0	0	7656	0
ACAT1	chr11	209	192	1474	0
ACAT2	chr6	477	672	1662	0
ACBD3	chr1	813	766	2452	0
ACBD4	chr17	320	254	661	0
ACBD5	chr10	507	582	1172	0
ACBD6	chr1	613	591	834	2
ACBD7	chr10	78	22	38	0
ACCS	chr11	720	230	528	2
ACCSL	chr11	0	0	0	0
ACD	chr16	476	442	734	1
ACE	chr17	74	35	91	0
ACE2	chrX	2	14	28	0
ACER1	chr19	0	2	1	0
ACER2	chr9	20	23	32	0
ACER3	chr11	243	262	1221	0
ACHE	chr7	82	86	673	0
ACIN1	chr14	2992	2988	17474	8
ACKR1	chr1	24	11	22	0
ACKR2	chr3	10	13	7	0
ACKR3	chr2B	166	561	434	0
ACKR4	chr3	29	73	300	0
ACLY	chr17	4396	4145	9915	2
ACMSD	chr2B	5	2	1	0
ACO1	chr9	948	1231	2975	0
ACO2	chr22	1527	1650	4491	2
ACOD1	chr13	0	24	4	0
ACOT1	chr14	335	117	353	1
ACOT11	chr1	133	90	328	2
ACOT12	chr5	2	4	2	0
ACOT13	chr6	132	172	557	0
ACOT2	chr14	337	119	356	1
ACOT4	chr14	26	40	124	0
ACOT6	chr14	1	26	5	0
ACOT7	chr1	228	225	889	0
ACOT9	chrX	963	871	941	2
ACOX1	chr17	667	670	1922	3
ACOX2	chr3	339	57	679	0
ACOX3	chr4	641	379	263	0
ACOXL	chr2A	6	3	19	0
ACP1	chr2A	464	488	1806	0
ACP2	chr11	1056	1288	1869	1
ACP4	chr19	0	2	1	0
ACP5	chr19	5	4	6	0
ACP6	chr1	388	264	1029	2
ACP7	chr19	1	4	2	0
ACPP	chr3	22	24	29	0
ACR	chr22	4	0	2	0
ACRBP	chr12	45	274	188	0
ACRV1	chr11	2	1	0	0
ACSBG1	chr15	284	450	530	0
ACSBG2	chr19	7	12	8	0
ACSF2	chr17	875	1051	1494	1
ACSF3	chr16	643	1286	483	0
ACSL1	chr4	647	516	1395	0
ACSL3	chr2B	1192	1059	4392	1
ACSL4	chrX	348	384	1714	0
ACSL5	chr10	4	0	2	0
ACSL6	chr5	53	144	163	2
ACSM1	chr16	3	3	0	0
