gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	166	179	272	1
A1CF	chr10	3	0	5	0
A2M	chr12	18	3	25	0
A2ML1	chr12	0	1	1	0
A3GALT2	chr1	1	0	2	0
A4GALT	chr22	16	54	63	0
A4GNT	chr3	1	0	0	0
AAAS	chr12	777	882	2784	0
AACS	chr12	590	466	1286	0
AADAC	chr3	0	0	0	0
AADACL2	chr3	0	0	0	0
AADACL3	chr1	0	0	0	0
AADACL4	chr1	0	0	0	0
AADAT	chr4	672	853	1188	1
AAGAB	chr15	1099	1288	2400	2
AAK1	chr2A	2681	2986	5652	0
AAMDC	chr11	31	63	201	0
AAMP	chr2B	1141	946	4669	2
AANAT	chr17	4	2	0	0
AARD	chr8	0	2	5	0
AARS2	chr6	494	405	2007	0
AARSD1	chr17	848	914	1991	0
AASDH	chr4	209	203	1195	0
AASDHPPT	chr11	2117	2463	7520	7
AASS	chr7	360	225	453	2
AATF	chr17	482	503	1298	1
AATK	chr17	1207	1070	593	2
ABAT	chr16	3221	2520	2645	1
ABCA1	chr9	425	457	1155	1
ABCA10	chr17	4	9	21	0
ABCA12	chr2B	8	7	15	0
ABCA13	chr7	0	1	0	0
ABCA2	chr9	3391	6002	7997	4
ABCA3	chr16	5193	4373	4881	2
ABCA4	chr1	0	0	0	0
ABCA5	chr17	417	337	1167	0
ABCA6	chr17	1	2	5	0
ABCA7	chr19	2098	1545	1635	3
ABCA8	chr17	2	1	0	0
ABCA9	chr17	9	58	57	0
ABCB1	chr7	13	28	70	0
ABCB10	chr1	214	130	777	0
ABCB11	chr2B	1	0	0	0
ABCB4	chr7	53	10	123	0
ABCB5	chr7	0	0	1	0
ABCB6	chr2B	586	863	1326	0
ABCB7	chrX	155	179	1782	0
ABCB8	chr7	1196	994	1019	1
ABCB9	chr12	1198	1061	970	0
ABCC1	chr16	1718	1342	2431	3
ABCC10	chr6	1060	1158	2016	1
ABCC11	chr16	3	4	127	0
ABCC12	chr16	1	2	0	0
ABCC2	chr10	6	25	45	0
ABCC3	chr17	1	0	0	0
ABCC4	chr13	138	123	231	0
ABCC5	chr3	2351	2374	8188	1
ABCC6	chr16	29	23	25	0
ABCC8	chr11	346	872	1295	1
ABCC9	chr12	7	16	46	0
ABCD1	chrX	502	455	639	1
ABCD2	chr12	6	8	15	0
ABCD3	chr1	634	702	1867	0
ABCD4	chr14	1686	1322	2665	4
ABCE1	chr4	445	521	3948	0
ABCF1	chr6	965	1195	4166	0
ABCF2	chr7	607	818	2931	3
ABCF3	chr3	581	686	2257	1
