gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	227	252	399	0
A1BG-AS1	chr19	306	362	341	0
A1CF	chr10	4	0	3	0
A2M	chr12	12	3	19	0
A2M-AS1	chr12	38	8	79	0
A2ML1	chr12	2	0	1	0
A2ML1-AS1	chr12	7	12	16	0
A2ML1-AS2	chr12	0	0	0	0
A2MP1	chr12	3	0	8	0
A3GALT2	chr1	1	5	6	0
A4GALT	chr22	28	70	90	0
A4GNT	chr3	1	1	0	0
AAAS	chr12	1016	1281	3341	0
AACS	chr12	659	480	1362	1
AACSP1	chr5	28	4	7	0
AADAC	chr3	0	0	0	0
AADACL2	chr3	0	0	0	0
AADACL2-AS1	chr3	0	0	0	0
AADACL3	chr1	0	0	0	0
AADACL4	chr1	0	0	0	0
AADAT	chr4	793	1121	1423	3
AAGAB	chr15	847	999	1609	0
AAK1	chr2A	2925	3519	6597	5
AAMDC	chr11	24	60	135	0
AAMP	chr2B	1148	985	4658	4
AANAT	chr17	2	1	1	0
AARD	chr8	2	4	3	0
AARS1	chr16	3019	3424	4617	1
AARS1P1	chr4	0	0	0	0
AARS2	chr6	577	479	2203	2
AARSD1	chr17	800	775	2024	0
AASDH	chr4	121	156	905	0
AASDHPPT	chr11	1720	2267	5495	3
AASS	chr7	346	204	409	1
AATBC	chr21	3	107	21	0
AATF	chr17	483	443	1149	1
AATK	chr17	1646	1566	881	8
ABAT	chr16	2706	2211	2501	4
ABBA01000933.1	chrUn_NW_019932985v1	0	0	0	0
ABBA01000935.2	chr6	0	0	42	0
ABBA01006766.1	chr17	0	0	0	0
ABBA01045074.1	chr2A	0	0	0	0
ABBA01045074.2	chr2A	0	0	0	0
ABCA1	chr9	391	400	1152	1
ABCA10	chr17	6	19	30	0
ABCA11P	chr4	160	113	133	1
ABCA12	chr2B	8	4	10	0
ABCA13	chr7	2	0	1	0
ABCA17P	chr16	8	5	4	0
ABCA2	chr9	5012	9257	12710	13
ABCA3	chr16	6190	5334	5160	16
ABCA4	chr1	0	0	0	0
ABCA5	chr17	466	367	1307	1
ABCA6	chr17	0	5	4	0
ABCA7	chr19	3390	2546	2458	12
ABCA8	chr17	0	0	0	0
ABCA9	chr17	14	38	38	0
ABCA9-AS1	chr17	0	0	5	0
ABCB1	chr7	10	17	51	0
ABCB10	chr1	255	150	792	0
ABCB10P1	chr15	0	0	39	0
ABCB10P3	chr15	3	1	1	0
ABCB10P4	chr15	0	0	39	0
ABCB11	chr2B	3	0	3	0
ABCB4	chr7	63	9	117	0
ABCB5	chr7	0	0	0	0
ABCB6	chr2B	692	953	1414	1
ABCB7	chrX	162	174	1517	0
ABCB8	chr7	1936	1438	1414	5
ABCB9	chr12	1571	1533	1155	1
ABCC1	chr16	1435	1189	2167	5
ABCC10	chr6	1337	1611	2788	0
ABCC11	chr16	5	1	196	0
ABCC12	chr16	1	0	0	0
ABCC13	chr21	0	0	0	0
ABCC2	chr10	11	27	57	0
ABCC3	chr17	0	0	1	0
ABCC4	chr13	102	75	148	0
ABCC5	chr3	2786	2632	8947	1
ABCC5-AS1	chr3	0	0	0	0
