gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	97	185	188	0
A1CF	chr10	100	185	294	0
A2M	chr12	188	507	624	0
A2ML1	chr12	7	23	15	0
A3GALT2	chr1	0	0	4	0
A4GALT	chr22	137	54	114	0
A4GNT	chr3	7	0	0	0
AAAS	chr12	875	1153	2856	2
AACS	chr12	918	1064	2112	1
AADAC	chr3	0	0	0	0
AADACL2	chr3	0	0	0	0
AADACL3	chr1	0	4	2	0
AADACL4	chr1	1	0	0	0
AADAT	chr4	628	1041	1505	0
AAGAB	chr15	976	906	2078	1
AAK1	chr2	640	1027	1171	1
AAMDC	chr11	86	95	455	0
AAMP	chr2	1289	1181	5300	2
AANAT	chr17	0	3	1	0
AARD	chr8	3	1	4	0
AARS2	chr6	568	353	1796	0
AARSD1	chr17	608	709	1544	0
AASDH	chr4	176	195	1136	0
AASDHPPT	chr11	524	784	1957	0
AASS	chr7	2656	1813	2703	6
AATF	chr17	0	0	2288	0
AATK	chr17	421	417	175	2
ABAT	chr16	207	366	328	0
ABCA1	chr9	1303	872	3237	0
ABCA10	chr17	2	1	6	0
ABCA12	chr2	7	26	19	0
ABCA13	chr7	11	32	13	0
ABCA2	chr9	1921	3810	4518	1
ABCA3	chr16	665	309	507	0
ABCA4	chr1	19	4	16	0
ABCA5	chr17	162	68	428	0
ABCA6	chr17	12	13	12	0
ABCA7	chr19	3770	3470	3172	3
ABCA8	chr17	1	4	3	0
ABCA9	chr17	4	3	5	0
ABCB1	chr7	0	1	0	0
ABCB10	chr1	115	99	955	0
ABCB11	chr2	0	2	1	0
ABCB4	chr7	23	30	86	0
ABCB5	chr7	0	1	0	0
ABCB6	chr2	842	1446	2233	1
ABCB7	chrX	152	167	1815	0
ABCB8	chr7	850	805	885	2
ABCB9	chr12	885	933	982	1
ABCC1	chr16	54	70	1834	0
ABCC10	chr6	1031	992	1527	1
ABCC11	chr16	2	6	61	0
ABCC12	chr16	5	16	16	0
ABCC2	chr10	34	30	71	0
ABCC3	chr17	6	16	16	0
ABCC4	chr13	497	666	917	0
ABCC5	chr3	1522	2237	5888	1
ABCC6	chr16	52	15	338	0
ABCC8	chr11	2	6	6	0
ABCC9	chr12	5	3	15	0
ABCD1	chrX	289	294	350	0
ABCD2	chr12	1	2	0	0
ABCD3	chr1	771	699	2082	0
ABCD4	chr14	2116	1599	4149	1
ABCE1	chr4	302	376	2554	0
ABCF1	chr6	0	0	4092	0
ABCF2	chr7	578	834	2741	0
ABCF3	chr3	795	888	2414	0
ABCG1	chr21	37	72	89	0
ABCG2	chr4	53	83	130	0
ABCG4	chr11	27	18	89	0
ABCG5	chr2	2	28	9	0
ABCG8	chr2	3	2	5	0
ABHD1	chr2	3	5	8	0
ABHD10	chr3	210	174	834	0
ABHD11	chr7	555	813	1970	0
ABHD12B	chr14	11	8	14	0
ABHD13	chr13	128	163	1101	0
ABHD14A	chr3	221	204	41	0
ABHD14A-ACY1	chr3	291	446	803	0
ABHD14B	chr3	162	40	142	0
ABHD15	chr17	356	673	343	0
ABHD16A	chr6	0	0	2508	0
ABHD17A	chr19	460	368	1690	1
ABHD17B	chr9	245	265	824	0
ABHD17C	chr15	244	206	407	0
ABHD18	chr4	294	353	882	3
ABHD2	chr15	558	663	1349	1
ABHD3	chr18	299	268	789	0
ABHD4	chr14	749	1338	1351	1
ABHD5	chr3	107	124	628	0
ABHD6	chr3	106	43	225	1
ABHD8	chr19	278	344	521	0
ABI1	chr10	392	350	1322	0
ABI2	chr2	1388	1470	5784	0
ABI3	chr17	0	0	2	0
ABI3BP	chr3	1	4	10	0
ABL1	chr9	2739	2833	7585	3
ABL2	chr1	836	827	1007	2
ABLIM1	chr10	962	1407	1194	2
ABLIM2	chr4	19	8	16	0
ABLIM3	chr5	12	22	54	0
ABO	chr9	295	2694	2540	1
ABR	chr17	7	21	2155	0
ABRA	chr8	0	1	1	0
ABRACL	chr6	415	339	128	1
ABRAXAS1	chr4	256	251	1181	0
ABRAXAS2	chr10	325	542	873	0
ABT1	chr6	519	282	666	0
ABTB1	chr3	277	413	487	0
