gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	114	116	165	0
A1BG-AS1	chr19	205	135	179	0
A1CF	chr10	1193	1542	2265	1
A2M	chr12	225	985	1147	1
A2M-AS1	chr12	22	44	50	0
A2ML1	chr12	2	25	13	0
A2ML1-AS1	chr12	2	8	4	0
A2ML1-AS2	chr12	0	0	0	0
A2MP1	chr12	0	1	1	0
A3GALT2	chr1	1	0	2	0
A4GALT	chr22	73	39	101	0
A4GNT	chr3	0	3	1	0
AAAS	chr12	707	869	2664	1
AACS	chr12	750	1017	2225	0
AACSP1	chr5	12	0	2	0
AADAC	chr3	14	24	26	0
AADACL2	chr3	0	0	0	0
AADACL2-AS1	chr3	0	0	0	0
AADACL3	chr1	3	1	6	0
AADACL4	chr1	3	0	0	0
AADAT	chr4	385	462	738	0
AAGAB	chr15	1470	1169	2697	0
AAK1	chr2A	1371	1651	2720	0
AAMDC	chr11	217	197	983	1
AAMP	chr2B	1775	1738	7784	0
AANAT	chr17	1	0	1	0
AARD	chr8	281	5	324	0
AARS1	chr16	3365	4350	5500	3
AARS1P1	chr4	0	0	0	0
AARS2	chr6	561	374	2071	0
AARSD1	chr17	446	534	1192	1
AASDH	chr4	265	224	1309	0
AASDHPPT	chr11	1259	1369	3870	2
AASS	chr7	883	423	846	0
AATBC	chr21	5	31	1	0
AATF	chr17	684	716	1649	2
AATK	chr17	803	712	261	1
ABAT	chr16	770	474	560	2
ABBA01000933.1	chrUn_NW_019932985v1	0	0	0	0
ABBA01000935.2	chr6	0	0	87	0
ABBA01006766.1	chr17	0	0	0	0
ABBA01045074.1	chr2A	0	0	0	0
ABBA01045074.2	chr2A	0	0	0	0
ABCA1	chr9	2969	3308	8434	2
ABCA10	chr17	5	13	30	0
ABCA11P	chr4	315	247	274	1
ABCA12	chr2B	36	11	78	0
ABCA13	chr7	61	10	41	0
ABCA17P	chr16	1	1	0	0
ABCA2	chr9	2611	5611	6402	2
ABCA3	chr16	936	381	654	0
ABCA4	chr1	104	117	184	0
ABCA5	chr17	279	218	684	0
ABCA6	chr17	25	8	15	0
ABCA7	chr19	4380	3431	3233	2
ABCA8	chr17	73	178	224	0
ABCA9	chr17	14	5	11	0
ABCA9-AS1	chr17	0	0	5	0
ABCB1	chr7	2	4	14	0
ABCB10	chr1	547	492	2180	1
ABCB10P1	chr15	0	0	11	0
ABCB10P3	chr15	2	0	3	0
ABCB10P4	chr15	0	0	11	0
ABCB11	chr2B	1	5	1	0
ABCB4	chr7	36	87	181	0
ABCB5	chr7	5	0	3	0
ABCB6	chr2B	418	720	1106	0
ABCB7	chrX	164	199	2033	0
ABCB8	chr7	683	675	692	0
ABCB9	chr12	939	980	776	3
ABCC1	chr16	1772	1882	2988	1
ABCC10	chr6	1750	2105	3314	1
ABCC11	chr16	1	2	201	0
ABCC12	chr16	2	2	0	0
ABCC13	chr21	0	11	6	0
ABCC2	chr10	31	97	184	0
ABCC3	chr17	701	1426	1274	2
ABCC4	chr13	560	381	809	0
ABCC5	chr3	1429	1963	5819	1
ABCC5-AS1	chr3	0	0	1	0
ABCC6	chr16	461	133	497	0
ABCC6P1	chrUn_NW_019934440v1	0	0	482	0
ABCC6P2	chrUn_NW_019934440v1	0	0	230	0
ABCC8	chr11	23	67	89	0
ABCC9	chr12	212	69	513	0
ABCD1	chrX	433	461	542	0
ABCD1P2	chr1	0	0	0	0
ABCD2	chr12	2	8	20	0
ABCD3	chr1	1507	1765	4399	1
ABCD4	chr14	2321	1361	3003	1
ABCE1	chr4	464	558	4205	0
ABCF1	chr6	1356	1599	5299	1
ABCF2	chr7	631	746	3236	0
ABCF2P1	chr3	0	0	1	0
ABCF2P2	chr7	0	0	0	0
ABCF3	chr3	700	817	2688	1
ABCG1	chr21	134	257	353	0
ABCG2	chr4	361	453	675	0
ABCG4	chr11	20	13	53	0
ABCG5	chr2A	3	29	4	0
ABCG8	chr2A	0	6	4	0
ABHD1	chr2A	2	7	5	0
ABHD10	chr3	332	276	1175	1
ABHD11	chr7	520	530	2561	0
ABHD11-AS1	chr7	1	0	9	0
ABHD12B	chr14	11	8	12	0
ABHD13	chr13	482	690	3891	0
ABHD14A	chr3	409	399	56	0
ABHD14A-ACY1	chr3	522	702	1017	0
