gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	191	134	319	0
A1BG-AS1	chr19	178	167	172	1
A1CF	chr10	6	11	11	0
A2M	chr12	1625	1636	3472	1
A2M-AS1	chr12	45	36	40	0
A2ML1	chr12	5	6	8	0
A2ML1-AS1	chr12	2	7	7	0
A2ML1-AS2	chr12	0	0	0	0
A2MP1	chr12	0	0	1	0
A3GALT2	chr1	0	0	0	0
A4GALT	chr22	116	51	139	0
A4GNT	chr3	17	1	2	0
AAAS	chr12	772	1036	2794	0
AACS	chr12	251	250	588	0
AACSP1	chr5	7	2	1	0
AADAC	chr3	3	4	8	0
AADACL2	chr3	0	1	2	0
AADACL2-AS1	chr3	0	0	0	0
AADACL3	chr1	0	1	0	0
AADACL4	chr1	0	0	0	0
AADAT	chr4	116	212	232	0
AAGAB	chr15	207	169	352	0
AAK1	chr2A	429	475	845	0
AAMDC	chr11	71	86	355	0
AAMP	chr2B	677	626	2587	2
AANAT	chr17	1	5	3	0
AARD	chr8	18	3	23	0
AARS1	chr16	2402	2670	3405	1
AARS1P1	chr4	0	0	0	0
AARS2	chr6	255	124	955	0
AARSD1	chr17	311	341	786	0
AASDH	chr4	79	102	512	0
AASDHPPT	chr11	478	562	1552	1
AASS	chr7	678	292	700	0
AATBC	chr21	6	30	2	0
AATF	chr17	230	203	549	0
AATK	chr17	277	249	116	0
ABAT	chr16	484	385	434	1
ABBA01000933.1	chrUn_NW_019932985v1	0	0	0	0
ABBA01000935.2	chr6	0	0	10	0
ABBA01006766.1	chr17	0	0	0	0
ABBA01045074.1	chr2A	0	0	0	0
ABBA01045074.2	chr2A	0	0	0	0
ABCA1	chr9	1003	2411	4469	0
ABCA10	chr17	1	6	8	0
ABCA11P	chr4	102	47	75	0
ABCA12	chr2B	16	1	16	0
ABCA13	chr7	5	3	0	0
ABCA17P	chr16	11	12	2	0
ABCA2	chr9	3480	3022	5658	1
ABCA3	chr16	419	314	357	0
ABCA4	chr1	54	44	87	1
ABCA5	chr17	175	205	616	0
ABCA6	chr17	1	0	1	0
ABCA7	chr19	2297	1923	1674	3
ABCA8	chr17	55	131	172	1
ABCA9	chr17	1	4	5	0
ABCA9-AS1	chr17	0	1	0	0
ABCB1	chr7	0	2	4	0
ABCB10	chr1	166	93	503	0
ABCB10P1	chr15	0	0	1	0
ABCB10P3	chr15	0	0	1	0
ABCB10P4	chr15	0	0	1	0
ABCB11	chr2B	1	6	8	0
ABCB4	chr7	1	2	5	0
ABCB5	chr7	0	0	0	0
ABCB6	chr2B	833	1064	1841	0
ABCB7	chrX	74	105	1030	0
ABCB8	chr7	428	375	444	0
ABCB9	chr12	871	837	756	0
ABCC1	chr16	538	439	780	0
ABCC10	chr6	306	348	613	0
ABCC11	chr16	5	0	98	0
ABCC12	chr16	0	0	0	0
ABCC13	chr21	0	0	1	0
ABCC2	chr10	41	70	145	0
ABCC3	chr17	36	86	68	0
ABCC4	chr13	204	83	241	0
ABCC5	chr3	455	489	1384	1
ABCC5-AS1	chr3	0	0	1	0
ABCC6	chr16	91	33	120	0
ABCC6P1	chrUn_NW_019934440v1	0	0	94	0
ABCC6P2	chrUn_NW_019934440v1	0	0	41	0
ABCC8	chr11	15	29	61	0
ABCC9	chr12	150	153	546	0
ABCD1	chrX	262	281	361	0
ABCD1P2	chr1	0	0	0	0
ABCD2	chr12	2	8	20	0
ABCD3	chr1	345	430	1018	0
ABCD4	chr14	837	721	1069	1
ABCE1	chr4	255	329	2427	0
ABCF1	chr6	509	664	1987	0
ABCF2	chr7	176	207	990	0
ABCF2P1	chr3	0	0	0	0
ABCF2P2	chr7	0	0	0	0
ABCF3	chr3	468	632	1877	0
ABCG1	chr21	146	240	318	0
ABCG2	chr4	14	25	22	0
ABCG4	chr11	26	34	100	0
ABCG5	chr2A	1	5	1	0
ABCG8	chr2A	1	3	2	0
ABHD1	chr2A	3	6	6	0
ABHD10	chr3	237	191	855	0
ABHD11	chr7	46	46	214	0
ABHD11-AS1	chr7	4	0	7	0
ABHD12B	chr14	2	15	15	0
ABHD13	chr13	131	126	772	0
ABHD14A	chr3	475	964	86	1
ABHD14A-ACY1	chr3	466	843	602	1
ABHD14B	chr3	404	99	356	1
ABHD15	chr17	139	153	133	0
ABHD15-AS1	chr17	1	0	0	0
ABHD16A	chr6	253	225	968	0
ABHD17A	chr19	321	295	1300	2
ABHD17AP1	chr5	0	0	2	0
ABHD17AP3	chr1	2	0	0	0
ABHD17AP4	chr22	0	0	1	0
ABHD17AP5	chr22	0	0	12	0
ABHD17AP6	chr17	1	1	1	0
ABHD17B	chr9	82	95	413	0
ABHD17C	chr15	146	100	183	0
ABHD18	chr4	149	184	537	1
ABHD2	chr15	109	98	192	0
ABHD3	chr18	53	35	105	0
ABHD4	chr14	511	672	847	0
ABHD5	chr3	72	115	338	0
ABHD6	chr3	56	43	174	0
ABHD8	chr19	176	180	279	1
ABI1	chr10	233	295	1100	1
ABI1P1	chr14	0	0	0	0
ABI2	chr2B	938	870	3187	0
ABI3	chr17	1	1	0	0
ABI3BP	chr3	423	419	937	0
ABITRAM	chr9	271	324	281	0
ABITRAMP1	chr13	0	0	0	0
ABL1	chr9	1620	1959	4562	2
ABL2	chr1	256	282	398	0
ABLIM1	chr10	676	779	870	2
ABLIM2	chr4	42	34	33	0
ABLIM3	chr5	387	575	1521	0
ABO	chr9	105	242	337	0
ABR	chr17	1285	1331	4094	2
ABRA	chr8	14	4	13	0
ABRACL	chr6	85	68	27	0
ABRAXAS1	chr4	161	161	829	0
ABRAXAS2	chr10	53	49	419	0
ABT1	chr6	252	218	331	0
ABT1P1	chr4	0	0	0	0
ABTB1	chr3	173	633	642	0
ABTB2	chr11	80	85	99	0
AC000029.1	chr22	0	0	0	0
AC000029.2	chr22	0	1	1	0
AC000032.1	chr1	0	0	5	0
AC000035.1	chr22	0	0	0	0
AC000036.1	chr22	0	0	0	0
AC000041.1	chr22	0	0	0	0
AC000050.1	chr22	0	0	0	0
AC000050.3	chr22	0	0	0	0
AC000058.1	chr7	0	0	0	0
AC000061.1	chr7	0	0	0	0
AC000065.1	chr7	0	2	0	0
AC000065.2	chr7	0	0	0	0
AC000067.1	chr22	0	0	0	0
AC000068.1	chr22	7	25	26	0
AC000068.2	chr22	0	0	5	0
AC000068.3	chr22	19	17	15	0
AC000072.1	chr22	4	10	40	0
AC000077.1	chr22	0	0	0	0
AC000078.1	chr22	0	0	0	0
AC000081.1	chr22	0	0	0	0
AC000081.2	chr22	0	0	0	0
AC000082.1	chr22	0	1	0	0
AC000085.1	chr22	4	0	6	0
AC000089.1	chr22	0	0	0	0
AC000093.1	chr22	1839	1190	2247	1
AC000095.1	chr22	9	23	6	0
AC000095.2	chr22	0	1	0	0
AC000095.3	chr22	4	0	0	0
AC000111.1	chr7	0	0	0	0
AC000111.2	chr7	0	0	0	0
AC000113.1	chrX	0	0	0	0
AC000114.1	chrX	0	0	0	0
AC000120.1	chr7	0	0	0	0
AC000120.2	chr7	24	34	7	0
AC000120.3	chr7	683	687	2654	0
AC000120.4	chr7	260	233	920	0
AC000123.1	chr7	5	0	6	0
AC000123.2	chr7	2	0	10	0
AC000123.3	chr7	18	17	25	0
AC000124.1	chr7	0	0	0	0
AC000362.1	chr7	0	0	0	0
AC000367.1	chr7	0	0	0	0
AC000372.1	chr7	1	0	0	0
AC000374.1	chr7	0	0	0	0
AC000403.1	chr13	10	17	15	0
AC001226.1	chr13	0	0	1	0
AC001226.2	chr13	135	130	283	0
