gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	333	326	402	1
A1CF	chr10	38	29	71	0
A2M	chr12	1354	1708	3091	3
A2ML1	chr12	7	2	1	0
A3GALT2	chr1	1	0	5	0
A4GALT	chr22	198	112	205	0
A4GNT	chr3	13	1	1	0
AAAS	chr12	996	1280	3463	0
AACS	chr12	668	632	1542	1
AADAC	chr3	21	13	23	0
AADACL2	chr3	0	0	1	0
AADACL3	chr1	0	0	1	0
AADACL4	chr1	8	0	13	0
AADAT	chr4	281	389	571	0
AAGAB	chr15	379	343	833	0
AAK1	chr2	851	899	1579	0
AAMDC	chr11	182	163	835	0
AAMP	chr2	1786	1429	5122	5
AANAT	chr17	5	4	0	0
AARD	chr8	11	2	9	0
AARS2	chr6	355	259	1231	0
AARSD1	chr17	473	494	1137	0
AASDH	chr4	104	95	526	0
AASDHPPT	chr11	489	575	1677	0
AASS	chr7	1486	749	1442	4
AATF	chr17	0	0	1385	0
AATK	chr17	692	828	327	0
ABAT	chr16	1545	581	1027	2
ABCA1	chr9	1740	2117	5856	0
ABCA10	chr17	8	13	27	0
ABCA12	chr2	4	4	4	0
ABCA13	chr7	10	46	33	0
ABCA2	chr9	4404	5562	8764	6
ABCA3	chr16	372	214	291	0
ABCA4	chr1	25	17	28	0
ABCA5	chr17	203	130	468	0
ABCA6	chr17	4	9	13	0
ABCA7	chr19	961	1308	913	3
ABCA8	chr17	989	1329	1935	0
ABCA9	chr17	93	114	144	0
ABCB1	chr7	26	27	72	0
ABCB10	chr1	71	61	569	0
ABCB11	chr2	3	13	29	0
ABCB4	chr7	22	37	115	0
ABCB5	chr7	0	1	0	0
ABCB6	chr2	549	972	1420	1
ABCB7	chrX	99	134	1507	0
ABCB8	chr7	960	1052	919	0
ABCB9	chr12	1130	1133	1032	3
ABCC1	chr16	39	55	2483	0
ABCC10	chr6	590	612	1023	0
ABCC11	chr16	4	7	106	0
ABCC12	chr16	0	0	0	0
ABCC2	chr10	83	103	318	0
ABCC3	chr17	110	129	134	0
ABCC4	chr13	114	140	201	0
ABCC5	chr3	1847	1906	6134	1
ABCC6	chr16	38	20	315	1
ABCC8	chr11	4	24	28	0
ABCC9	chr12	112	127	489	0
ABCD1	chrX	501	554	853	0
ABCD2	chr12	4	5	17	0
ABCD3	chr1	491	608	1824	0
ABCD4	chr14	1638	1007	2330	2
ABCE1	chr4	225	313	2138	0
ABCF1	chr6	0	0	3358	0
ABCF2	chr7	456	515	1980	0
ABCF3	chr3	711	828	2347	1
ABCG1	chr21	460	754	959	0
ABCG2	chr4	113	136	196	0
ABCG4	chr11	79	69	253	0
ABCG5	chr2	11	24	15	0
ABCG8	chr2	22	24	20	0
ABHD1	chr2	12	33	21	0
ABHD10	chr3	136	114	566	1
ABHD11	chr7	143	213	559	0
ABHD12B	chr14	13	18	10	0
ABHD13	chr13	114	107	846	0
ABHD14A	chr3	553	783	115	1
ABHD14A-ACY1	chr3	694	1083	1303	1
ABHD14B	chr3	589	117	508	0
ABHD15	chr17	195	178	157	0
ABHD16A	chr6	0	0	1502	0
ABHD17A	chr19	779	706	2696	1
