Gene_ID,Gene_Symbol,Chromosome,Gene_Type,Gene_RefSeq_Status,RNA_RefSeq_Status,Gene_Length_bp
1,A1BG,19,protein-coding,REVIEWED,REVIEWED,6694
29974,A1CF,10,protein-coding,REVIEWED,REVIEWED,86267
2,A2M,12,protein-coding,REVIEWED,REVIEWED,48522
144568,A2ML1,12,protein-coding,REVIEWED,REVIEWED,64731
127550,A3GALT2,1,protein-coding,VALIDATED,VALIDATED,14333
53947,A4GALT,22,protein-coding,REVIEWED,REVIEWED,29190
51146,A4GNT,3,protein-coding,REVIEWED,REVIEWED,9593
8086,AAAS,12,protein-coding,REVIEWED,REVIEWED,14173
65985,AACS,12,protein-coding,VALIDATED,VALIDATED,77967
13,AADAC,3,protein-coding,REVIEWED,REVIEWED,14481
344752,AADACL2,3,protein-coding,VALIDATED,VALIDATED,24101
126767,AADACL3,1,protein-coding,VALIDATED,VALIDATED,12645
343066,AADACL4,1,protein-coding,VALIDATED,VALIDATED,22540
51166,AADAT,4,protein-coding,REVIEWED,REVIEWED,31478
79719,AAGAB,15,protein-coding,REVIEWED,REVIEWED,54524
22848,AAK1,2,protein-coding,REVIEWED,REVIEWED,185851
28971,AAMDC,11,protein-coding,VALIDATED,VALIDATED,80168
14,AAMP,2,protein-coding,REVIEWED,REVIEWED,6083
15,AANAT,17,protein-coding,REVIEWED,REVIEWED,17447
25980,AAR2,20,protein-coding,REVIEWED,REVIEWED,20806
441376,AARD,8,protein-coding,VALIDATED,VALIDATED,5776
16,AARS,16,protein-coding,REVIEWED,REVIEWED,37215
57505,AARS2,6,protein-coding,REVIEWED,REVIEWED,15509
80755,AARSD1,17,protein-coding,VALIDATED,VALIDATED,13973
132949,AASDH,4,protein-coding,REVIEWED,REVIEWED,51732
60496,AASDHPPT,11,protein-coding,REVIEWED,REVIEWED,21128
10157,AASS,7,protein-coding,REVIEWED,REVIEWED,70747
26574,AATF,17,protein-coding,REVIEWED,REVIEWED,107997
9625,AATK,17,protein-coding,REVIEWED,REVIEWED,48778
18,ABAT,16,protein-coding,REVIEWED,REVIEWED,109989
19,ABCA1,9,protein-coding,REVIEWED,REVIEWED,147245
10349,ABCA10,17,protein-coding,REVIEWED,REVIEWED,96809
26154,ABCA12,2,protein-coding,REVIEWED,REVIEWED,207050
154664,ABCA13,7,protein-coding,REVIEWED,REVIEWED,476074
20,ABCA2,9,protein-coding,REVIEWED,REVIEWED,21689
21,ABCA3,16,protein-coding,REVIEWED,REVIEWED,64869
24,ABCA4,1,protein-coding,REVIEWED,REVIEWED,128313
23461,ABCA5,17,protein-coding,REVIEWED,REVIEWED,82748
23460,ABCA6,17,protein-coding,REVIEWED,REVIEWED,79884
10347,ABCA7,19,protein-coding,REVIEWED,REVIEWED,25470
10351,ABCA8,17,protein-coding,REVIEWED,REVIEWED,88142
10350,ABCA9,17,protein-coding,REVIEWED,REVIEWED,104347
5243,ABCB1,7,protein-coding,REVIEWED,REVIEWED,209461
23456,ABCB10,1,protein-coding,REVIEWED,REVIEWED,42407
8647,ABCB11,2,protein-coding,REVIEWED,REVIEWED,115929
5244,ABCB4,7,protein-coding,REVIEWED,REVIEWED,77735
340273,ABCB5,7,protein-coding,VALIDATED,VALIDATED,141393
10058,ABCB6,2,protein-coding,REVIEWED,REVIEWED,9252
