gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	93	190	186	0
A1CF	chr10	97	183	296	0
A2M	chr12	175	494	618	0
A2ML1	chr12	7	21	16	0
A3GALT2	chr1	0	0	4	0
A4GALT	chr22	138	51	114	0
A4GNT	chr3	6	0	0	0
AAAS	chr12	813	1143	2852	2
AACS	chr12	893	1041	2144	1
AADAC	chr3	0	0	0	0
AADACL2	chr3	0	0	0	0
AADACL3	chr1	0	4	2	0
AADACL4	chr1	1	0	0	0
AADAT	chr4	613	1017	1496	0
AAGAB	chr15	977	943	2002	1
AAK1	chr2A	622	1035	1163	1
AAMDC	chr11	84	91	459	0
AAMP	chr2B	1263	1189	5316	3
AANAT	chr17	0	3	1	0
AARD	chr8	3	1	4	0
AARS2	chr6	550	342	1935	0
AARSD1	chr17	652	769	1564	0
AASDH	chr4	160	189	1150	0
AASDHPPT	chr11	513	772	1954	0
AASS	chr7	2344	1602	2351	5
AATF	chr17	714	605	1990	0
AATK	chr17	424	410	169	0
ABAT	chr16	198	359	315	0
ABCA1	chr9	1303	871	3198	0
ABCA10	chr17	2	2	7	0
ABCA12	chr2B	9	24	19	0
ABCA13	chr7	11	32	13	0
ABCA2	chr9	1916	3975	4238	1
ABCA3	chr16	647	302	512	0
ABCA4	chr1	19	4	16	0
ABCA5	chr17	156	68	439	0
ABCA6	chr17	12	12	11	0
ABCA7	chr19	3773	3462	3216	10
ABCA8	chr17	1	4	3	0
ABCA9	chr17	3	3	5	0
ABCB1	chr7	0	1	0	0
ABCB10	chr1	198	175	771	1
ABCB11	chr2B	0	2	1	0
ABCB4	chr7	20	30	85	0
ABCB5	chr7	0	1	0	0
ABCB6	chr2B	819	1439	2212	1
ABCB7	chrX	141	172	1820	0
ABCB8	chr7	823	801	889	1
ABCB9	chr12	867	933	962	2
ABCC1	chr16	1904	1426	2120	2
ABCC10	chr6	1014	999	1517	0
ABCC11	chr16	1	3	60	0
ABCC12	chr16	5	17	15	0
ABCC2	chr10	32	30	73	0
ABCC3	chr17	5	17	15	0
ABCC4	chr13	504	648	916	0
ABCC5	chr3	1495	2212	5821	1
ABCC6	chr16	306	73	211	0
ABCC8	chr11	3	6	6	0
ABCC9	chr12	4	4	9	0
ABCD1	chrX	282	309	314	0
ABCD2	chr12	1	2	0	0
ABCD3	chr1	728	711	2099	0
ABCD4	chr14	2043	1595	4145	3
ABCE1	chr4	263	325	2741	0
ABCF1	chr6	921	870	4682	1
ABCF2	chr7	512	797	2797	0
ABCF3	chr3	799	869	2404	0
ABCG1	chr21	39	71	87	0
ABCG2	chr4	51	81	129	0
ABCG4	chr11	28	18	88	0
ABCG5	chr2A	2	28	9	0
ABCG8	chr2A	3	2	5	0
ABHD1	chr2A	3	5	8	0
ABHD10	chr3	208	166	946	0
ABHD11	chr7	418	634	2315	0
ABHD12B	chr14	13	11	9	0
ABHD13	chr13	127	165	1100	0
ABHD14A	chr3	215	201	39	0
ABHD14A-ACY1	chr3	283	440	800	0
ABHD14B	chr3	159	42	163	0
ABHD15	chr17	362	635	341	0
ABHD16A	chr6	717	460	2521	0
ABHD17A	chr19	345	344	1439	1
ABHD17B	chr9	184	244	879	0
ABHD17C	chr15	233	212	398	0
ABHD18	chr4	288	357	916	3
ABHD2	chr15	78	131	190	0
ABHD3	chr18	280	272	795	0
ABHD4	chr14	738	1322	1337	1
ABHD5	chr3	108	124	628	0
ABHD6	chr3	102	44	225	1
ABHD8	chr19	273	339	538	0
ABI1	chr10	380	349	1325	0
ABI2	chr2B	1342	1407	5907	0
ABI3	chr17	0	0	2	0
ABI3BP	chr3	1	3	9	0
ABL1	chr9	2640	2793	7551	1
ABL2	chr1	840	818	957	1
ABLIM1	chr10	944	1357	1178	1
ABLIM2	chr4	20	7	16	0
ABLIM3	chr5	12	22	53	0
ABO	chr9	270	2537	2462	1
ABR	chr17	1195	1099	3665	2
ABRA	chr8	0	1	1	0
ABRACL	chr6	404	332	128	1
ABRAXAS1	chr4	240	250	1170	0
ABRAXAS2	chr10	89	111	540	0
ABT1	chr6	522	280	634	0
ABTB1	chr3	270	403	492	0
ABTB2	chr11	130	145	151	0
ACAA1	chr3	1687	1150	2889	0
ACAA2	chr18	1167	646	4448	0
ACACA	chr17	1888	2046	3608	4
ACACB	chr12	304	259	502	1
ACAD10	chr12	1077	358	853	0
ACAD11	chr3	528	400	870	2
ACAD8	chr11	838	491	1142	0
ACAD9	chr3	648	614	1675	1
ACADL	chr2B	4	3	8	0
ACADM	chr1	180	145	1455	0
ACADS	chr12	432	554	600	0
ACADSB	chr10	195	352	276	0
ACADVL	chr17	4970	5271	13790	5
ACAN	chr15	593	510	657	0
ACAP1	chr17	39	38	59	0
ACAP2	chr3	196	260	988	0
ACAP3	chrUn_NW_019935705v1	0	0	9235	0
ACAT1	chr11	169	125	1247	0
ACAT2	chr6	1164	1263	3796	1
ACBD3	chr1	335	300	1076	0
