gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	133	205	164	0
A1CF	chr10	150	249	383	0
A2M	chr12	115	180	341	0
A2ML1	chr12	29	81	51	0
A3GALT2	chr1	0	0	2	0
A4GALT	chr22	99	30	116	0
A4GNT	chr3	5	1	1	0
AAAS	chr12	927	1387	3981	0
AACS	chr12	726	1015	2578	0
AADAC	chr3	9	4	5	0
AADACL2	chr3	0	1	0	0
AADACL3	chr1	0	3	4	0
AADACL4	chr1	0	0	0	0
AADAT	chr4	652	898	1295	0
AAGAB	chr15	1093	1162	2361	1
AAK1	chr2A	696	936	1806	0
AAMDC	chr11	148	128	666	0
AAMP	chr2B	1559	1305	6195	3
AANAT	chr17	2	1	0	0
AARD	chr8	35	4	47	0
AARS2	chr6	700	509	2989	1
AARSD1	chr17	484	664	1342	1
AASDH	chr4	277	275	1562	0
AASDHPPT	chr11	1136	1284	3727	6
AASS	chr7	1717	984	1769	1
AATF	chr17	632	673	1549	1
AATK	chr17	1079	810	417	3
ABAT	chr16	1268	938	1109	0
ABCA1	chr9	1282	1258	3622	1
ABCA10	chr17	29	23	81	0
ABCA12	chr2B	79	19	144	0
ABCA13	chr7	34	19	31	0
ABCA2	chr9	3233	6323	8600	5
ABCA3	chr16	1307	806	1009	1
ABCA4	chr1	387	314	572	0
ABCA5	chr17	542	316	1297	0
ABCA6	chr17	64	8	33	0
ABCA7	chr19	3347	2767	2656	2
ABCA8	chr17	81	176	217	1
ABCA9	chr17	30	17	26	0
ABCB1	chr7	2	7	15	0
ABCB10	chr1	341	294	1245	0
ABCB11	chr2B	4	8	7	0
ABCB4	chr7	55	43	177	0
ABCB5	chr7	0	1	0	0
ABCB6	chr2B	506	807	1358	0
ABCB7	chrX	202	224	2316	1
ABCB8	chr7	1074	1122	1090	2
ABCB9	chr12	1249	1483	1144	1
ABCC1	chr16	1929	1935	3020	3
ABCC10	chr6	1344	1599	2904	0
ABCC11	chr16	6	6	204	1
ABCC12	chr16	1	5	0	0
ABCC2	chr10	192	178	581	0
ABCC3	chr17	261	390	408	0
ABCC4	chr13	593	647	1076	0
ABCC5	chr3	2091	2278	7460	3
ABCC6	chr16	498	111	594	0
ABCC8	chr11	52	125	177	0
ABCC9	chr12	36	29	140	0
ABCD1	chrX	423	459	649	0
ABCD2	chr12	7	17	38	0
ABCD3	chr1	1010	1256	3539	0
ABCD4	chr14	2822	2046	3840	5
ABCE1	chr4	500	654	4886	0
ABCF1	chr6	1472	1905	5953	2
ABCF2	chr7	569	795	3648	0
ABCF3	chr3	825	889	3302	1
ABCG1	chr21	217	351	573	0
ABCG2	chr4	127	160	220	0
ABCG4	chr11	21	12	62	0
ABCG5	chr2A	2	28	6	0
ABCG8	chr2A	2	3	4	0
ABHD1	chr2A	9	24	18	0
ABHD10	chr3	352	271	1446	0
ABHD11	chr7	449	539	2398	0
ABHD12B	chr14	6	12	2	0
ABHD13	chr13	300	355	2189	0
ABHD14A	chr3	398	461	50	1
ABHD14A-ACY1	chr3	482	713	893	0
ABHD14B	chr3	268	98	288	0
ABHD15	chr17	653	513	571	0
ABHD16A	chr6	1055	797	3763	0
ABHD17A	chr19	655	628	2536	2
ABHD17B	chr9	380	403	1892	0
ABHD17C	chr15	406	391	612	0
ABHD18	chr4	308	398	1077	1
ABHD2	chr15	325	302	580	0
ABHD3	chr18	409	345	906	0
ABHD4	chr14	932	1462	1835	0
ABHD5	chr3	164	267	965	0
ABHD6	chr3	132	105	420	0
ABHD8	chr19	473	537	768	0
ABI1	chr10	572	531	2374	0
ABI2	chr2B	2185	2274	8845	2
ABI3	chr17	1	3	6	0
ABI3BP	chr3	8	11	28	0
ABL1	chr9	3530	3664	9487	2
ABL2	chr1	886	1015	1379	4
ABLIM1	chr10	1639	1998	2192	6
ABLIM2	chr4	107	57	52	0
ABLIM3	chr5	14	41	98	0
ABO	chr9	418	978	1399	1
ABR	chr17	1808	2199	6197	2
ABRA	chr8	0	1	1	0
ABRACL	chr6	1103	905	437	0
ABRAXAS1	chr4	340	306	1872	0
ABRAXAS2	chr10	108	145	910	0
ABT1	chr6	797	565	1058	0
ABTB1	chr3	369	798	1067	0
ABTB2	chr11	191	309	290	0
ACAA1	chr3	1683	1235	3905	1
ACAA2	chr18	704	727	3889	1
ACACA	chr17	2095	2239	4978	3
ACACB	chr12	732	907	1411	1
ACAD10	chr12	1278	801	1462	2
ACAD11	chr3	567	435	1140	0
ACAD8	chr11	1068	655	1389	3
ACAD9	chr3	637	700	2384	0
ACADL	chr2B	12	4	23	0
ACADM	chr1	299	233	2211	0
ACADS	chr12	569	765	796	1
ACADSB	chr10	351	505	465	0
ACADVL	chr17	9452	9227	21678	6
ACAN	chr15	35	20	40	0
ACAP1	chr17	75	58	125	0
ACAP2	chr3	680	880	2215	0
ACAP3	chrUn_NW_019935705v1	0	0	10514	0
ACAT1	chr11	124	112	982	0
ACAT2	chr6	727	855	2210	1
ACBD3	chr1	705	739	2467	1
ACBD4	chr17	330	282	829	1
ACBD5	chr10	497	632	1421	2
ACBD6	chr1	973	893	1324	0
ACBD7	chr10	527	77	274	1
ACCS	chr11	1659	448	1071	0
ACCSL	chr11	0	0	0	0
ACD	chr16	634	503	929	0
ACE	chr17	224	531	555	0
ACE2	chrX	30	16	62	0
ACER1	chr19	0	3	2	0
ACER2	chr9	163	147	218	0
ACER3	chr11	335	361	1964	0
ACHE	chr7	334	235	1511	0
ACIN1	chr14	4568	4482	26788	8
ACKR1	chr1	15	11	22	0
ACKR2	chr3	31	40	17	0
ACKR3	chr2B	759	452	689	1
ACKR4	chr3	2	0	14	0
ACLY	chr17	4353	4360	10273	1
ACMSD	chr2B	7	6	7	0
ACO1	chr9	656	1020	2223	0
ACO2	chr22	1897	1946	5504	1
ACOD1	chr13	0	11	2	0
ACOT1	chr14	287	262	472	2
ACOT11	chr1	62	43	116	0
ACOT12	chr5	10	1	15	0
ACOT13	chr6	456	448	1975	0
ACOT2	chr14	293	269	478	2
ACOT4	chr14	13	17	66	0
ACOT6	chr14	5	74	13	0
ACOT7	chr1	387	379	1626	0
ACOT9	chrX	678	688	715	2
ACOX1	chr17	687	568	1781	2
ACOX2	chr3	88	389	803	0
ACOX3	chr4	739	359	310	0
ACOXL	chr2A	9	29	52	0
ACP1	chr2A	688	713	2814	0
ACP2	chr11	1658	1655	2771	2
ACP4	chr19	1	10	7	0
ACP5	chr19	148	67	50	0
ACP6	chr1	724	450	1813	0
ACP7	chr19	10	68	112	0
ACPP	chr3	149	27	174	0
ACR	chr22	11	2	5	0
ACRBP	chr12	74	388	251	0
