gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	493	655	557	1
A1CF	chr10	71	79	169	0
A2M	chr12	2903	2613	4986	1
A2ML1	chr12	3	7	11	0
A3GALT2	chr1	1	8	4	0
A4GALT	chr22	65	53	81	0
A4GNT	chr3	11	0	2	0
AAAS	chr12	1029	1166	3620	0
AACS	chr12	624	678	1595	0
AADAC	chr3	33	30	47	0
AADACL2	chr3	1	1	2	0
AADACL3	chr1	0	0	0	0
AADACL4	chr1	0	2	2	0
AADAT	chr4	341	472	640	1
AAGAB	chr15	421	445	932	1
AAK1	chr2	746	873	1331	0
AAMDC	chr11	206	138	789	1
AAMP	chr2	2007	1593	5643	4
AANAT	chr17	6	12	0	0
AARD	chr8	6	8	11	0
AARS2	chr6	422	300	1495	0
AARSD1	chr17	527	520	1259	0
AASDH	chr4	88	79	430	0
AASDHPPT	chr11	602	823	2073	1
AASS	chr7	1384	595	1264	0
AATF	chr17	0	0	1699	0
AATK	chr17	616	640	266	0
ABAT	chr16	1087	560	824	1
ABCA1	chr9	1793	2026	5391	0
ABCA10	chr17	42	96	162	0
ABCA12	chr2	3	7	9	0
ABCA13	chr7	17	6	5	0
ABCA2	chr9	5640	6895	10682	6
ABCA3	chr16	452	235	344	0
ABCA4	chr1	11	12	17	0
ABCA5	chr17	303	153	712	0
ABCA6	chr17	12	16	28	0
ABCA7	chr19	885	1102	817	0
ABCA8	chr17	2408	3151	4429	2
ABCA9	chr17	238	258	413	0
ABCB1	chr7	46	68	118	0
ABCB10	chr1	94	64	623	0
ABCB11	chr2	7	36	38	0
ABCB4	chr7	12	19	47	0
ABCB5	chr7	3	3	1	0
ABCB6	chr2	600	1034	1522	0
ABCB7	chrX	130	124	1563	0
ABCB8	chr7	1064	1103	978	0
ABCB9	chr12	1234	1087	877	2
ABCC1	chr16	34	62	2582	0
ABCC10	chr6	706	797	1343	0
ABCC11	chr16	1	1	96	0
ABCC12	chr16	1	2	1	0
ABCC2	chr10	140	204	506	0
ABCC3	chr17	135	131	159	0
ABCC4	chr13	110	98	198	0
ABCC5	chr3	1354	1515	4720	1
ABCC6	chr16	38	25	314	0
ABCC8	chr11	2	3	4	0
ABCC9	chr12	144	80	472	0
ABCD1	chrX	462	475	805	1
ABCD2	chr12	7	15	16	0
ABCD3	chr1	587	692	1746	0
ABCD4	chr14	1659	991	2263	5
ABCE1	chr4	404	440	2476	0
ABCF1	chr6	0	0	5029	0
ABCF2	chr7	524	583	2232	0
ABCF3	chr3	699	830	2365	2
ABCG1	chr21	316	597	762	0
ABCG2	chr4	114	174	235	0
ABCG4	chr11	109	64	289	0
ABCG5	chr2	12	21	14	0
ABCG8	chr2	22	11	26	0
ABHD1	chr2	8	16	28	0
ABHD10	chr3	163	150	649	0
ABHD11	chr7	146	175	500	0
ABHD12B	chr14	6	5	17	0
ABHD13	chr13	160	162	1068	0
ABHD14A	chr3	525	742	75	2
ABHD14A-ACY1	chr3	766	1201	1558	2
ABHD14B	chr3	598	116	492	0
ABHD15	chr17	181	204	176	2
ABHD16A	chr6	0	0	2297	0
ABHD17A	chr19	1088	792	3429	2
ABHD17B	chr9	197	170	771	0
ABHD17C	chr15	167	138	285	0
ABHD18	chr4	178	225	658	2
ABHD2	chr15	736	701	1398	1
ABHD3	chr18	134	75	292	0
ABHD4	chr14	1050	1491	1747	1
ABHD5	chr3	139	152	679	0
ABHD6	chr3	120	56	258	0
ABHD8	chr19	393	435	593	0
ABI1	chr10	444	427	1566	0
ABI2	chr2	2148	2324	6998	0
ABI3	chr17	63	98	163	0
ABI3BP	chr3	342	82	547	0
ABL1	chr9	3113	3432	8357	3
ABL2	chr1	824	708	1080	2
ABLIM1	chr10	1885	2977	2463	7
ABLIM2	chr4	65	13	27	0
ABLIM3	chr5	104	105	323	0
ABO	chr9	482	1178	1486	0
ABR	chr17	3	3	2933	0
ABRA	chr8	2	4	12	0
ABRACL	chr6	630	456	193	0
ABRAXAS1	chr4	261	226	1183	0
ABRAXAS2	chr10	232	308	686	1
ABT1	chr6	653	416	834	0
ABTB1	chr3	571	1695	2006	4
ABTB2	chr11	221	172	184	0
ACAA1	chr3	898	1287	2379	2
ACAA2	chr18	640	671	3315	0
ACACA	chr17	123	98	2745	0
ACACB	chr12	699	726	1080	0
ACAD10	chr12	966	546	904	0
ACAD11	chr3	608	415	1103	0
ACAD8	chr11	452	296	593	0
ACAD9	chr3	554	580	1662	2
ACADL	chr2	5	5	10	0
ACADM	chr1	281	147	1297	0
ACADS	chr12	396	326	354	0
ACADSB	chr10	593	584	543	0
ACADVL	chr17	6015	5631	13854	3
ACAN	chr15	12	7	5	0
ACAP1	chr17	88	64	136	0
ACAP2	chr3	493	539	1647	0
ACAP3	chr1	1045	715	9925	1
ACAT1	chr11	183	207	1261	0
ACAT2	chr6	647	802	1876	0
ACBD3	chr1	682	665	1947	2
ACBD4	chr17	140	146	338	0
ACBD5	chr10	325	333	728	1
ACBD6	chr1	830	696	1190	0
ACBD7	chr10	74	13	43	0
ACCS	chr11	1572	568	1127	1
ACCSL	chr11	0	0	0	0
ACD	chr16	488	521	687	2
ACE	chr17	80	83	116	0
ACE2	chrX	8	14	12	0
ACER1	chr19	1	2	1	0
ACER2	chr9	144	159	106	0
ACER3	chr11	156	150	693	0
ACHE	chr7	210	141	965	1
ACIN1	chr14	3106	2954	17014	1
ACKR1	chr1	5	5	13	0
ACKR2	chr3	23	23	11	0
ACKR3	chr2	1620	1500	1617	1
ACKR4	chr3	1	4	14	0
ACLY	chr17	3500	3572	6661	1
ACMSD	chr2	9	10	11	0
ACO1	chr9	647	948	1747	0
ACO2	chr22	2124	2224	5876	5
ACOD1	chr13	0	7	1	0
ACOT1	chr14	0	0	357	0
ACOT11	chr1	372	435	989	1
ACOT12	chr5	4	4	14	0
ACOT13	chr6	207	174	790	0
ACOT2	chr14	217	58	188	1
ACOT4	chr14	37	14	72	0
ACOT6	chr14	1	138	13	0
ACOT7	chr1	186	191	895	2
ACOT9	chrX	939	1045	1335	0
ACOX1	chr17	662	607	1647	2
ACOX2	chr3	403	251	876	0
ACOX3	chr4	605	381	224	2
ACOXL	chr2	86	38	87	0
ACP1	chr2	417	575	2703	1
ACP2	chr11	1157	1446	1575	1
ACP4	chr19	3	4	16	0
ACP5	chr19	975	76	246	0
ACP6	chr1	268	135	791	0
ACP7	chr19	2	2	4	0
ACR	chr22	17	2	4	0
ACRBP	chr12	47	208	121	1
ACRV1	chr11	10	5	2	0
ACSBG1	chr15	161	149	298	0
ACSBG2	chr19	4	12	3	0
ACSF2	chr17	851	1100	1405	2
ACSF3	chr16	652	1095	458	4
ACSL1	chr4	820	501	1271	1
ACSL3	chr2	990	1143	4210	1
ACSL4	chrX	481	627	2230	0
ACSL5	chr10	114	44	103	0
ACSL6	chr5	4	36	44	0
ACSM1	chr16	16	3	9	0
ACSM2A	chr16	16	9	27	0
ACSM2B	chr16	41	62	76	2
ACSM3	chr16	795	1292	1414	3
ACSM4	chr12	1	0	0	0
ACSM5	chr16	1	2	1	0
ACSM6	chr10	0	0	0	0
ACSS3	chr12	573	438	507	0
ACTA1	chr1	33	31	74	0
ACTA2	chr10	4439	4054	5011	3
ACTB	chr7	26902	25694	54184	13
ACTBL2	chr5	4	7	6	0
ACTC1	chr15	5304	4402	7758	2
ACTG1	chr17	40617	42842	30508	77
ACTG2	chr2	92	61	319	0
ACTL6A	chr3	130	86	1845	0
ACTL6B	chr7	0	0	0	0
ACTL7A	chr9	0	0	2	0
ACTL7B	chr9	1	0	0	0
ACTL8	chr1	1	1	3	0
ACTL9	chr19	0	0	0	0
ACTN1	chr14	3178	3057	7535	3
ACTN2	chr1	859	815	1659	2
ACTN3	chr11	2	60	35	0
ACTN4	chr19	4845	4392	9144	4
ACTR10	chr14	603	644	2091	1
ACTR1A	chr10	1437	1341	5169	0
ACTR1B	chr2	1483	1862	2786	0
ACTR2	chr2	1286	1118	6237	0
ACTR3	chr2	1082	929	3536	0
ACTR3B	chr7	76	85	351	0
ACTR3C	chr7	0	0	1	0
ACTR6	chr12	170	160	488	0
ACTR8	chr3	635	683	576	0
ACTRT1	chrX	0	0	0	0
ACTRT2	chr1	0	0	1	0
ACTRT3	chr3	24	50	72	0
ACVR1	chr2	573	770	1924	1
ACVR1B	chr12	575	520	1189	0
ACVR1C	chr2	4	18	18	0
ACVR2A	chr2	300	344	3184	0
ACVR2B	chr3	756	879	1781	1
ACVRL1	chr12	158	328	455	0
ACY1	chr3	534	851	1644	1
ACY3	chr11	10	26	29	0
ACYP1	chr14	33	23	154	0
ACYP2	chr2	140	161	99	0
