gene	mean	median	longest_isoform	merged
INTS11	1004	896	2459	6929
AL139287.1	385	385	385	385
CPTP	1339	1090	2145	2535
TAS1R3	3474	3474	3474	3474
DVL1	1575	828	3327	3960
MIR6808	59	59	59	59
MXRA8	1396	1085	2727	3623
AURKAIP1	849	836	1072	1669
NDUFB4P8	367	367	367	367
CCNL2	1702	1544	4441	6844
MRPL20-AS1	1580	1792	2272	2571
MRPL20	807	644	1690	2763
RN7SL657P	292	292	292	292
AL391244.2	1523	1523	1523	1523
ANKRD65	1518	1608	1972	2640
AL391244.1	543	543	543	543
TMEM88B	492	492	492	492
LINC01770	504	478	636	853
VWA1	2002	1483	4587	5160
ATAD3C	1645	525	3904	4021
ATAD3B	2498	2236	4277	7840
AL645728.2	443	443	659	659
ATAD3A	1764	2315	2629	3361
TMEM240	987	795	1386	2013
SSU72	2061	1760	4084	6849
AL645728.1	1209	1209	1575	1823
AL691432.3	400	400	400	400
FNDC10	2145	2145	2145	2145
AL691432.4	1851	1851	1851	1851
AL691432.2	2047	2047	2047	2047
MIB2	1964	1587	4532	9033
MMP23B	1254	851	4265	5006
MMP23A	1226	1226	1226	1226
CDK11A	1415	974	3028	5166
CDK11B	2403	2511	3004	3732
AL031282.2	3947	3947	3947	3947
AL031282.1	584	584	903	1020
FO704657.1	400	400	400	400
SLC35E2A	2935	1931	6530	7114
SLC35E2B	3941	2895	6471	8499
NADK	1221	862	3667	5574
GNB1	1632	1113	3167	6442
AL109917.1	906	906	906	906
CALML6	990	719	1954	2112
TMEM52	715	766	1091	1755
CFAP74	2610	2675	5254	11762
AL391845.2	1467	1467	1958	2067
GABRD	1439	1577	2400	5551
AL391845.1	378	378	437	538
PRKCZ	948	702	2385	7701
AL590822.2	3600	3600	3600	3600
PRKCZ-AS1	937	937	1253	1734
FAAP20	1745	1477	4474	10471
AL590822.1	326	326	326	326
SKI	1783	419	6044	6516
AL590822.3	4870	4870	5692	5811
MORN1	1695	1645	4768	11310
AL589739.1	491	491	491	491
AL513477.1	1288	1288	2364	2364
AL513477.2	571	571	571	571
RER1	1434	695	3023	5679
PEX10	1435	1199	2867	3785
PLCH2	4365	4838	6994	10890
AL139246.1	454	454	454	454
AL139246.4	515	515	515	515
PANK4	1247	735	2639	4917
HES5	1321	1321	1321	1321
AL139246.5	1278	1278	1512	1512
TNFRSF14-AS1	1796	1270	3610	6194
TNFRSF14	1266	884	4244	6209
AL139246.2	1298	1298	1298	1298
AL139246.3	626	626	626	626
PRXL2B	1595	1021	2827	3371
MMEL1	1374	559	2879	3892
MMEL1-AS1	373	373	373	373
TTC34	5363	5363	8952	8952
AC242022.2	481	481	481	481
AC242022.1	1931	1931	1931	1931
AL592464.2	606	606	606	606
AL592464.3	665	665	665	665
AL592464.1	429	429	429	429
AL589702.1	1326	1326	1510	1655
