gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	235	138	223	0
A1CF	chr10	3	2	7	0
A2M	chr12	111	70	183	0
A2ML1	chr12	67	22	40	0
A3GALT2	chr1	1	0	5	0
A4GALT	chr22	475	261	567	1
A4GNT	chr3	5	0	3	0
AAAS	chr12	1135	1439	3865	1
AACS	chr12	650	620	1473	1
AADAC	chr3	3	0	1	0
AADACL2	chr3	6	4	44	0
AADACL3	chr1	0	0	0	0
AADACL4	chr1	0	0	1	0
AADAT	chr4	269	465	543	0
AAGAB	chr15	474	376	956	1
AAK1	chr2	581	741	1161	1
AAMDC	chr11	106	81	482	0
AAMP	chr2	1547	1162	5054	1
AANAT	chr17	0	6	1	0
AARD	chr8	21	9	46	0
AARS2	chr6	524	347	1895	1
AARSD1	chr17	342	431	919	0
AASDH	chr4	157	136	872	0
AASDHPPT	chr11	656	770	2088	1
AASS	chr7	1152	448	1139	0
AATF	chr17	0	0	1455	0
AATK	chr17	967	1197	407	1
ABAT	chr16	461	325	380	0
ABCA1	chr9	759	1023	2750	1
ABCA10	chr17	11	18	43	0
ABCA12	chr2	562	156	923	0
ABCA13	chr7	2	6	3	0
ABCA2	chr9	3631	3602	6164	4
ABCA3	chr16	316	238	245	1
ABCA4	chr1	265	151	291	0
ABCA5	chr17	317	189	813	0
ABCA6	chr17	0	1	2	0
ABCA7	chr19	1824	1466	1334	4
ABCA8	chr17	78	306	306	0
ABCA9	chr17	7	9	7	0
ABCB1	chr7	7	4	25	0
ABCB10	chr1	129	110	843	0
ABCB11	chr2	0	2	5	0
ABCB4	chr7	4	3	15	0
ABCB5	chr7	6	7	7	0
ABCB6	chr2	341	626	867	0
ABCB7	chrX	98	112	1132	0
ABCB8	chr7	1179	1062	1016	2
ABCB9	chr12	1250	1240	1010	0
ABCC1	chr16	26	40	1945	0
ABCC10	chr6	906	1048	1737	0
ABCC11	chr16	4	2	121	0
ABCC12	chr16	0	0	0	0
ABCC2	chr10	17	19	69	0
ABCC3	chr17	3	24	28	0
ABCC4	chr13	130	148	243	0
ABCC5	chr3	1570	1274	4601	1
ABCC6	chr16	9	1	73	0
ABCC8	chr11	1	8	8	0
ABCC9	chr12	19	35	112	0
ABCD1	chrX	416	393	552	1
ABCD2	chr12	8	6	13	0
ABCD3	chr1	771	741	2197	0
ABCD4	chr14	1709	1194	2200	3
ABCE1	chr4	327	415	2449	1
ABCF1	chr6	0	0	4445	0
ABCF2	chr7	428	556	1925	0
ABCF3	chr3	850	1021	2794	1
ABCG1	chr21	343	566	743	0
ABCG2	chr4	34	23	43	0
ABCG4	chr11	57	35	155	0
ABCG5	chr2	3	19	4	0
ABCG8	chr2	3	1	0	0
ABHD1	chr2	1	3	4	0
ABHD10	chr3	224	163	696	1
ABHD11	chr7	586	775	2182	0
ABHD12B	chr14	0	3	2	0
ABHD13	chr13	153	152	930	0
ABHD14A	chr3	374	593	76	0
ABHD14A-ACY1	chr3	448	740	917	1
ABHD14B	chr3	385	90	321	0
ABHD15	chr17	365	378	306	0
ABHD16A	chr6	0	0	2145	0
ABHD17A	chr19	1304	951	3297	2
ABHD17B	chr9	176	198	715	0
ABHD17C	chr15	187	209	345	0
ABHD18	chr4	212	226	590	3
ABHD2	chr15	1234	1307	2794	1
ABHD3	chr18	120	83	329	0
ABHD4	chr14	981	1412	1692	0
