gene	mean	median	longest_isoform	merged
PGBD2	1842	2605	2735	3412
RNU6-1205P	103	103	103	103
AL672291.1	461	461	461	461
ZNF692	1102	881	2715	4086
ZNF672	1077	719	3044	3735
MIR3124	67	67	67	67
SH3BP5L	2735	3098	4087	5682
LYPD8	1165	1165	1165	1165
CR589904.2	1332	1332	1438	2527
AHCYP8	209	209	209	209
CR589904.1	428	428	428	428
LYPD9P	481	448	713	715
OR2T1	1606	1606	2102	2222
N/A	477	303	8568	248363
OR2T2	2291	2824	3022	3022
OR2T35	1808	1808	2523	2629
AC098483.1	108	108	108	108
AC098483.2	463	463	615	615
AC138089.1	312	312	312	312
OR2T29	1824	1824	2635	2635
OR2T5	2525	2525	2525	2525
OR2G6	3487	4620	4861	4974
OR14C36	1114	1114	1114	1114
OR14I1	1003	1003	1003	1003
OR5AR1	1022	1022	1022	1022
OR2AH1P	1842	1842	2748	2748
OR9G1	2252	2252	3587	3587
OR2AS2P	341	341	341	341
OR2AS1P	318	318	318	318
OR2T10	1844	1844	2644	2647
AC098483.3	464	464	464	464
OR2T11	2359	2359	3666	3666
OR2T6	2656	2656	4386	4386
OR2M2	1142	1152	1231	1231
OR2M3	3722	3722	6383	6403
OR2M5	939	939	939	939
OR2M1P	951	951	951	951
OR2M4	3417	3417	5899	5899
OR2T32P	1037	1037	1113	1113
OR2L13	1905	1945	1951	2022
OR2L5	2416	2416	2416	2416
OR2L2	1787	2077	2152	3285
OR2L1P	979	979	1022	1022
OR2L6P	940	940	940	940
OR2X1P	692	692	692	692
CLK3P2	1454	1454	1454	1454
OR2AJ1	1903	1903	1903	1903
OR2T8	1081	1081	1224	1224
OR2AG2	864	864	972	972
OR2AK2	1051	1051	1095	1095
OR2W3	945	945	945	945
OR2W2P	269	269	269	269
TRIM58	3277	3277	5093	5108
OR11L1	968	968	968	968
OR9H1P	3322	3322	3578	3578
AL390860.1	1505	1578	1977	3619
OR1C1	1763	1763	2202	2481
OR3A4P	851	851	851	851
OR14A16	871	871	871	871
OR14A2	716	716	945	1083
AC118470.1	453	453	453	453
OR6F1	1385	1360	1776	1776
OR13G1	1361	1361	1675	1675
OR3D1P	924	924	924	924
AL606804.1	505	505	528	890
GCSAML	1628	1306	2891	3417
OR2C3	6232	8372	8414	8414
GCSAML-AS1	2163	2163	2415	4115
OR2B11	3671	3870	6184	6247
NLRP3	3305	3729	4325	4761
AC104335.3	106	106	106	106
AC104335.2	1076	1076	1076	1076
ZNF496	4197	4330	9077	10743
AC104335.1	109	109	109	109
VN1R5	165	165	165	165
VN1R17P	305	305	305	305
AL390728.1	1928	1928	1928	1928
AC141257.2	88	88	88	88
AL390728.5	653	653	653	653
AL390728.4	888	654	1465	2158
RNA5SP82	92	92	92	92
MIR3916	92	92	92	92
AL390728.6	1274	1274	1274	1274
AL390728.2	1649	1649	1649	1649
AL390728.3	268	268	268	268
ZNF124	1476	1533	2757	4719
FGFR3P5	596	596	596	596
C1orf229	1959	1959	1959	1959
ZNF670	2420	2420	2420	2420
ZNF670-ZNF695	1863	1863	2694	3130
AL512637.1	1232	1232	1232	1232
ZNF695	1161	837	3215	3620
AHCTF1	6138	7124	8900	9782
KIF28P	1626	1291	3096	3496
AC113174.2	82	82	82	82
LINC01341	1784	1860	2628	4502
AL591848.4	3341	3341	3341	3341
SCCPDH	2148	2148	2148	2148
AL591848.1	319	319	319	319
AL591848.2	535	535	535	535
AL591848.3	3029	3029	3029	3029
CNST	2741	2593	5133	5938
AL591623.2	221	221	221	221
AL591623.1	1974	1974	1974	1974
TFB2M	1779	1779	1779	1779
AL356583.3	254	254	254	254
CPDP1	252	252	252	252
SMYD3	886	764	1871	6016
SMYD3-IT1	366	366	366	366
RNU6-1283P	105	105	105	105
CHCHD4P5	389	389	389	389
AC092801.1	433	433	468	468
AC118555.1	682	682	682	682
KIF26B	5800	4638	12979	14408
AC104462.2	239	239	239	239
KIF26B-AS1	809	809	809	809
RNU1-132P	164	164	164	164
EFCAB2	1128	738	5779	8250
AL589763.1	803	803	803	803
RNU6-999P	105	105	105	105
RNU6-1089P	107	107	107	107
AL356512.1	1717	1717	1717	1717
RNU6-947P	106	106	106	106
RN7SKP55	220	220	220	220
BX323046.1	524	524	524	524
HNRNPU	4117	3203	12918	22257
HNRNPUP1	51	51	51	51
COX20	1477	1605	2538	4434
BX323046.2	635	635	635	635
AL451007.2	550	550	550	550
AL451007.3	620	620	620	620
DESI2	1614	992	3988	4905
AL451007.1	289	289	289	289
CATSPERE	1828	2308	3434	4443
CYCSP5	309	309	309	309
ADSS2	1434	936	2561	3450
AC015911.4	160	160	160	160
AL645465.1	635	635	635	635
TGIF2P1	677	677	677	677
C1orf100	710	655	1138	1138
AL358177.1	587	587	587	587
AL590483.2	565	565	565	565
RN7SL148P	249	249	249	249
AL590483.1	469	469	469	469
AL590483.4	2804	2804	2804	2804
