gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	93	111	126	0
A1BG-AS1	chr19	151	127	155	0
A1CF	chr10	104	161	283	0
A2M	chr12	261	832	1007	0
A2M-AS1	chr12	15	42	31	0
A2ML1	chr12	15	20	21	0
A2ML1-AS1	chr12	1	2	2	0
A2ML1-AS2	chr12	1	1	0	0
A2MP1	chr12	0	1	0	0
A3GALT2	chr1	1	0	2	0
A4GALT	chr22	106	46	103	0
A4GNT	chr3	8	0	5	0
AAAS	chr12	524	803	2067	1
AACS	chr12	688	778	1852	0
AACSP1	chr5	6	0	1	0
AADAC	chr3	0	0	0	0
AADACL2	chr3	0	0	0	0
AADACL2-AS1	chr3	0	0	0	0
AADACL3	chr1	0	1	2	0
AADACL4	chr1	1	0	0	0
AADAT	chr4	499	897	1175	1
AAGAB	chr15	834	745	1556	0
AAK1	chr2A	476	691	980	0
AAMDC	chr11	65	67	254	0
AAMP	chr2B	1054	1006	4385	2
AANAT	chr17	3	1	0	0
AARD	chr8	1	1	1	0
AARS1	chr16	1287	1921	2253	0
AARS1P1	chr4	0	0	0	0
AARS2	chr6	440	259	1574	0
AARSD1	chr17	411	467	982	0
AASDH	chr4	140	152	842	0
AASDHPPT	chr11	471	603	1686	2
AASS	chr7	1766	1146	1883	0
AATBC	chr21	0	21	1	0
AATF	chr17	570	473	1352	0
AATK	chr17	286	268	132	0
ABAT	chr16	254	350	261	0
ABBA01000933.1	chrUn_NW_019932985v1	0	0	0	0
ABBA01000935.2	chr6	0	0	127	0
ABBA01006766.1	chr17	0	0	0	0
ABBA01045074.1	chr2A	0	0	0	0
ABBA01045074.2	chr2A	0	0	0	0
ABCA1	chr9	1462	999	3411	2
ABCA10	chr17	0	1	3	0
ABCA11P	chr4	149	106	126	0
ABCA12	chr2B	13	21	27	0
ABCA13	chr7	12	18	18	0
ABCA17P	chr16	1	1	0	0
ABCA2	chr9	1724	3356	3762	2
ABCA3	chr16	587	258	398	0
ABCA4	chr1	13	8	14	0
ABCA5	chr17	114	65	301	0
ABCA6	chr17	4	9	8	0
ABCA7	chr19	3485	3021	2660	4
ABCA8	chr17	1	6	4	0
ABCA9	chr17	1	2	4	0
ABCA9-AS1	chr17	1	2	5	0
ABCB1	chr7	0	1	1	0
ABCB10	chr1	204	174	777	0
ABCB10P1	chr15	0	0	2	0
ABCB10P3	chr15	0	1	0	0
ABCB10P4	chr15	0	0	2	0
ABCB11	chr2B	0	2	1	0
ABCB4	chr7	14	24	45	0
ABCB5	chr7	0	0	0	0
ABCB6	chr2B	666	1247	1832	0
ABCB7	chrX	116	151	1456	0
ABCB8	chr7	665	694	659	1
ABCB9	chr12	921	941	720	2
ABCC1	chr16	1588	1288	2044	0
ABCC10	chr6	900	886	1497	1
ABCC11	chr16	1	0	83	0
ABCC12	chr16	9	18	11	0
ABCC13	chr21	0	7	5	0
ABCC2	chr10	24	19	57	0
ABCC3	chr17	3	14	7	0
ABCC4	chr13	501	620	952	0
ABCC5	chr3	1243	1811	4737	1
ABCC5-AS1	chr3	0	0	0	0
ABCC6	chr16	192	81	204	0
ABCC6P1	chrUn_NW_019934440v1	0	0	158	0
ABCC6P2	chrUn_NW_019934440v1	0	0	65	0
ABCC8	chr11	0	1	3	0
ABCC9	chr12	0	4	4	0
ABCD1	chrX	256	254	313	0
ABCD1P2	chr1	0	0	0	0
ABCD2	chr12	3	1	6	0
ABCD3	chr1	776	689	2102	0
ABCD4	chr14	1670	1300	2783	1
ABCE1	chr4	265	343	2571	0
ABCF1	chr6	832	766	3171	1
ABCF2	chr7	431	576	2125	0
ABCF2P1	chr3	0	0	2	0
ABCF2P2	chr7	0	0	0	0
ABCF3	chr3	629	657	1925	1
ABCG1	chr21	44	73	95	1
ABCG2	chr4	47	71	86	0
ABCG4	chr11	26	13	55	0
ABCG5	chr2A	4	9	5	0
ABCG8	chr2A	2	2	5	0
ABHD1	chr2A	4	3	10	0
