gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	120	109	159	0
A1CF	chr10	1186	1535	2263	1
A2M	chr12	235	1018	1162	1
A2ML1	chr12	2	26	13	0
A3GALT2	chr1	1	0	2	0
A4GALT	chr22	70	38	102	0
A4GNT	chr3	0	3	1	0
AAAS	chr12	763	869	2567	0
AACS	chr12	748	1015	2212	0
AADAC	chr3	25	32	41	0
AADACL2	chr3	0	0	0	0
AADACL3	chr1	3	1	6	0
AADACL4	chr1	3	0	0	0
AADAT	chr4	388	456	748	0
AAGAB	chr15	1447	1097	2781	0
AAK1	chr2	1369	1634	2713	0
AAMDC	chr11	219	199	964	1
AAMP	chr2	1812	1713	7753	0
AANAT	chr17	0	1	1	0
AARD	chr8	263	5	339	0
AARS2	chr6	556	364	2007	0
AARSD1	chr17	418	483	1143	1
AASDH	chr4	251	208	1338	0
AASDHPPT	chr11	1274	1392	3870	1
AASS	chr7	961	467	929	0
AATF	chr17	0	0	2200	0
AATK	chr17	790	721	280	2
ABAT	chr16	757	485	580	2
ABCA1	chr9	2954	3260	8560	2
ABCA10	chr17	5	12	29	0
ABCA12	chr2	40	11	76	0
ABCA13	chr7	61	10	37	0
ABCA2	chr9	2582	5363	6703	2
ABCA3	chr16	932	380	645	0
ABCA4	chr1	106	113	184	0
ABCA5	chr17	287	217	684	0
ABCA6	chr17	25	8	15	0
ABCA7	chr19	4315	3429	3190	2
ABCA8	chr17	79	181	221	0
ABCA9	chr17	15	5	11	0
ABCB1	chr7	2	4	14	0
ABCB10	chr1	372	330	2568	1
ABCB11	chr2	1	2	1	0
ABCB4	chr7	38	85	190	0
ABCB5	chr7	5	0	3	0
ABCB6	chr2	420	707	1117	0
ABCB7	chrX	169	200	2039	0
ABCB8	chr7	697	671	688	0
ABCB9	chr12	948	965	787	2
ABCC1	chr16	28	54	3386	0
ABCC10	chr6	1728	2058	3329	1
ABCC11	chr16	1	7	198	0
ABCC12	chr16	2	2	0	0
ABCC2	chr10	32	96	184	0
ABCC3	chr17	707	1404	1292	2
ABCC4	chr13	548	385	810	0
ABCC5	chr3	1413	1937	5884	1
ABCC6	chr16	149	54	949	0
ABCC8	chr11	25	71	87	0
ABCC9	chr12	236	68	542	0
ABCD1	chrX	411	420	609	0
ABCD2	chr12	1	7	21	0
ABCD3	chr1	1571	1698	4422	1
ABCD4	chr14	2363	1356	2985	3
ABCE1	chr4	545	645	3786	1
ABCF1	chr6	0	0	6478	0
ABCF2	chr7	653	770	3203	0
ABCF3	chr3	688	814	2710	1
ABCG1	chr21	134	253	351	0
ABCG2	chr4	361	445	689	0
ABCG4	chr11	20	13	55	0
ABCG5	chr2	3	28	4	0
