gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	174	183	261	1
A1CF	chr10	3	0	5	0
A2M	chr12	20	2	25	0
A2ML1	chr12	0	2	1	0
A3GALT2	chr1	1	0	2	0
A4GALT	chr22	16	57	62	0
A4GNT	chr3	1	0	0	0
AAAS	chr12	766	918	2767	0
AACS	chr12	605	463	1269	0
AADAC	chr3	0	0	0	0
AADACL2	chr3	0	0	0	0
AADACL3	chr1	0	0	0	0
AADACL4	chr1	0	0	0	0
AADAT	chr4	678	864	1199	1
AAGAB	chr15	1084	1216	2521	2
AAK1	chr2	2674	3016	5604	0
AAMDC	chr11	35	58	198	0
AAMP	chr2	1158	950	4649	2
AANAT	chr17	4	3	0	0
AARD	chr8	0	2	5	0
AARS2	chr6	511	409	1927	0
AARSD1	chr17	756	825	1991	0
AASDH	chr4	204	211	1191	0
AASDHPPT	chr11	2166	2484	7505	4
AASS	chr7	402	280	529	2
AATF	chr17	0	0	1658	0
AATK	chr17	1211	1095	609	1
ABAT	chr16	3263	2519	2717	0
ABCA1	chr9	421	462	1170	1
ABCA10	chr17	4	8	22	0
ABCA12	chr2	8	7	15	0
ABCA13	chr7	0	1	0	0
ABCA2	chr9	3331	5754	8368	4
ABCA3	chr16	5264	4415	4906	2
ABCA4	chr1	0	0	0	0
ABCA5	chr17	424	340	1176	0
ABCA6	chr17	1	2	5	0
ABCA7	chr19	2084	1553	1606	3
ABCA8	chr17	1	1	0	0
ABCA9	chr17	10	60	57	0
ABCB1	chr7	14	28	69	0
ABCB10	chr1	134	79	927	0
ABCB11	chr2	0	0	0	0
ABCB4	chr7	58	10	122	0
ABCB5	chr7	0	0	1	0
ABCB6	chr2	604	871	1347	1
ABCB7	chrX	167	185	1788	0
ABCB8	chr7	1221	989	1016	1
ABCB9	chr12	1220	1065	977	0
ABCC1	chr16	32	51	2626	0
ABCC10	chr6	1075	1126	2012	2
ABCC11	chr16	3	7	126	0
ABCC12	chr16	1	2	1	0
ABCC2	chr10	6	25	45	0
ABCC3	chr17	1	0	0	0
ABCC4	chr13	137	126	226	0
ABCC5	chr3	2403	2370	8348	1
ABCC6	chr16	3	3	29	0
ABCC8	chr11	367	932	1347	1
ABCC9	chr12	8	24	45	0
ABCD1	chrX	491	434	698	1
ABCD2	chr12	8	6	16	0
ABCD3	chr1	670	680	1858	0
ABCD4	chr14	1729	1327	2636	6
ABCE1	chr4	514	591	3596	1
ABCF1	chr6	0	0	4778	0
ABCF2	chr7	631	843	2932	2
ABCF3	chr3	575	696	2264	1
ABCG1	chr21	546	632	961	0
ABCG2	chr4	0	1	2	0
ABCG4	chr11	250	280	877	0
ABCG5	chr2	3	34	2	0
ABCG8	chr2	4	1	3	0
ABHD1	chr2	8	24	23	0
ABHD10	chr3	400	317	1491	0
ABHD11	chr7	100	164	407	0
ABHD12B	chr14	1	0	4	0
ABHD13	chr13	146	139	939	0
ABHD14A	chr3	747	814	116	0
ABHD14A-ACY1	chr3	555	660	484	0
ABHD14B	chr3	81	28	70	0
ABHD15	chr17	43	35	26	0
ABHD16A	chr6	0	0	3876	0
ABHD17A	chr19	533	496	1826	0
ABHD17B	chr9	519	506	1910	0
ABHD17C	chr15	979	1072	1692	0
ABHD18	chr4	221	315	717	1
ABHD2	chr15	1583	1591	3288	4
ABHD3	chr18	37	42	128	0
ABHD4	chr14	255	393	436	1
ABHD5	chr3	204	371	1081	0
ABHD6	chr3	186	105	400	0
ABHD8	chr19	446	527	730	0
ABI1	chr10	529	458	1746	1
ABI2	chr2	4287	4117	13841	3
ABI3	chr17	0	1	1	0
ABI3BP	chr3	11	6	15	0
ABL1	chr9	3118	3270	8654	7
ABL2	chr1	1533	1744	2441	2
ABLIM1	chr10	2691	3098	3213	8
ABLIM2	chr4	664	294	304	1
ABLIM3	chr5	205	364	960	1
ABO	chr9	26	203	200	0
ABR	chr17	3	0	6914	0
ABRA	chr8	0	3	2	0
ABRACL	chr6	541	444	198	0
ABRAXAS1	chr4	208	147	862	0
ABRAXAS2	chr10	347	379	910	0
ABT1	chr6	497	479	760	0
ABTB1	chr3	268	1130	1129	2
ABTB2	chr11	301	1002	657	0
ACAA1	chr3	675	717	1484	0
ACAA2	chr18	271	279	1353	0
ACACA	chr17	921	817	19120	0
ACACB	chr12	234	402	567	0
ACAD10	chr12	642	284	651	0
ACAD11	chr3	394	219	634	1
ACAD8	chr11	890	538	1235	0
ACAD9	chr3	430	456	1286	0
ACADL	chr2	1	2	3	0
ACADM	chr1	456	278	2582	2
ACADS	chr12	337	291	343	0
ACADSB	chr10	527	439	410	1
ACADVL	chr17	2061	2211	5095	1
ACAN	chr15	12	8	15	0
ACAP1	chr17	24	30	62	0
ACAP2	chr3	575	546	1487	0
ACAP3	chr1	2714	1882	26895	5
ACAT1	chr11	302	224	1982	0
ACAT2	chr6	5864	8157	21680	7
ACBD3	chr1	543	504	1577	0
ACBD4	chr17	144	190	386	0
ACBD5	chr10	981	943	2025	1
ACBD6	chr1	1443	1430	1920	2
ACBD7	chr10	45	8	37	0
ACCS	chr11	201	51	121	0
ACCSL	chr11	1	0	0	0
ACD	chr16	818	630	1156	0
ACE	chr17	38	44	59	0
ACE2	chrX	4	18	14	0
ACER1	chr19	1	0	0	0
ACER2	chr9	65	84	56	0
ACER3	chr11	302	311	1442	0
ACHE	chr7	1000	1557	7985	0
ACIN1	chr14	2821	2757	16705	0
ACKR1	chr1	647	432	867	1
ACKR2	chr3	2	1	2	0
ACKR3	chr2	46	42	36	0
ACKR4	chr3	0	3	3	0
ACLY	chr17	15877	14079	28603	13
ACMSD	chr2	4	6	1	0
ACO1	chr9	734	841	1949	1
ACO2	chr22	2421	2407	7055	5
ACOD1	chr13	0	8	0	0
ACOT1	chr14	0	0	80	0
ACOT11	chr1	11	10	24	1
