gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	220	123	400	0
A1CF	chr10	14	14	40	0
A2M	chr12	4760	1210	6484	6
A2ML1	chr12	38	31	37	0
A3GALT2	chr1	0	1	4	0
A4GALT	chr22	103	38	106	0
A4GNT	chr3	4	0	2	0
AAAS	chr12	823	979	2888	0
AACS	chr12	491	509	1370	0
AADAC	chr3	2	2	3	0
AADACL2	chr3	0	1	9	0
AADACL3	chr1	0	1	0	0
AADACL4	chr1	0	0	0	0
AADAT	chr4	308	637	885	0
AAGAB	chr15	549	508	1126	0
AAK1	chr2	874	861	1716	3
AAMDC	chr11	163	153	693	0
AAMP	chr2	1077	906	4298	4
AANAT	chr17	4	10	6	0
AARD	chr8	21	3	40	0
AARS2	chr6	377	201	1419	2
AARSD1	chr17	347	359	958	0
AASDH	chr4	140	129	828	0
AASDHPPT	chr11	669	772	2262	0
AASS	chr7	640	322	687	0
AATF	chr17	0	0	1165	0
AATK	chr17	523	539	208	2
ABAT	chr16	1601	1694	1786	1
ABCA1	chr9	900	1134	3087	0
ABCA10	chr17	6	12	29	0
ABCA12	chr2	103	29	183	0
ABCA13	chr7	10	39	40	0
ABCA2	chr9	3432	3124	6548	3
ABCA3	chr16	798	563	815	0
ABCA4	chr1	145	110	228	0
ABCA5	chr17	278	404	1086	1
ABCA6	chr17	5	0	6	0
ABCA7	chr19	1280	976	1065	4
ABCA8	chr17	216	286	445	0
ABCA9	chr17	14	19	18	0
ABCB1	chr7	7	11	20	0
ABCB10	chr1	129	67	769	0
ABCB11	chr2	1	1	1	0
ABCB4	chr7	10	11	38	0
ABCB5	chr7	0	0	0	0
ABCB6	chr2	753	1173	1989	1
ABCB7	chrX	101	149	1563	0
ABCB8	chr7	838	847	907	3
ABCB9	chr12	940	834	947	2
ABCC1	chr16	24	21	1053	0
ABCC10	chr6	578	631	1257	0
ABCC11	chr16	9	9	99	0
ABCC12	chr16	0	1	1	0
ABCC2	chr10	39	112	231	0
ABCC3	chr17	201	334	358	0
ABCC4	chr13	406	346	748	0
ABCC5	chr3	686	656	2129	0
ABCC6	chr16	28	5	198	0
ABCC8	chr11	8	31	45	0
ABCC9	chr12	148	243	1077	0
ABCD1	chrX	254	285	418	2
ABCD2	chr12	12	17	64	0
ABCD3	chr1	738	730	2185	0
ABCD4	chr14	1068	732	1714	1
ABCE1	chr4	362	464	3069	0
ABCF1	chr6	0	0	4015	0
ABCF2	chr7	378	383	1618	0
ABCF3	chr3	575	736	2639	0
ABCG1	chr21	119	187	264	0
ABCG2	chr4	18	38	33	0
ABCG4	chr11	32	27	119	0
