gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	157	106	174	0
A1CF	chr10	0	0	4	0
A2M	chr12	113	109	205	0
A2ML1	chr12	403	234	359	0
A3GALT2	chr1	0	1	2	0
A4GALT	chr22	315	102	329	0
A4GNT	chr3	3	0	0	0
AAAS	chr12	1037	1399	3885	1
AACS	chr12	781	784	1900	0
AADAC	chr3	12	2	8	0
AADACL2	chr3	10	19	178	0
AADACL3	chr1	0	1	1	0
AADACL4	chr1	0	0	0	0
AADAT	chr4	502	905	1118	0
AAGAB	chr15	923	720	1654	2
AAK1	chr2	831	997	1751	1
AAMDC	chr11	79	94	403	0
AAMP	chr2	1679	1408	5450	2
AANAT	chr17	1	6	1	0
AARD	chr8	3	3	15	0
AARS2	chr6	772	445	2742	0
AARSD1	chr17	365	453	992	0
AASDH	chr4	237	201	1128	0
AASDHPPT	chr11	1039	1025	2880	2
AASS	chr7	2258	860	2199	0
AATF	chr17	0	0	1905	0
AATK	chr17	1131	1610	543	0
ABAT	chr16	1170	710	915	1
ABCA1	chr9	1525	1649	4239	0
ABCA10	chr17	19	27	55	0
ABCA12	chr2	578	250	1066	0
ABCA13	chr7	44	14	38	0
ABCA2	chr9	3857	3945	6945	2
ABCA3	chr16	1176	734	937	0
ABCA4	chr1	615	527	831	1
ABCA5	chr17	527	353	1373	0
ABCA6	chr17	8	0	4	0
ABCA7	chr19	3187	2266	2101	4
ABCA8	chr17	33	189	177	0
ABCA9	chr17	7	11	4	0
ABCB1	chr7	47	56	142	0
ABCB10	chr1	166	133	1197	0
ABCB11	chr2	0	3	2	0
ABCB4	chr7	5	5	9	0
ABCB5	chr7	16	10	3	0
ABCB6	chr2	409	828	1204	0
ABCB7	chrX	127	197	1583	0
ABCB8	chr7	1415	1226	1185	3
ABCB9	chr12	1057	1130	1159	1
ABCC1	chr16	53	71	4272	1
ABCC10	chr6	1520	1766	2914	0
ABCC11	chr16	4	2	181	0
ABCC12	chr16	0	0	0	0
ABCC2	chr10	30	55	125	0
ABCC3	chr17	3	7	8	0
ABCC4	chr13	138	331	354	1
ABCC5	chr3	1580	1160	4561	0
ABCC6	chr16	21	4	94	0
ABCC8	chr11	3	18	29	0
ABCC9	chr12	3	2	19	0
ABCD1	chrX	347	316	533	3
ABCD2	chr12	19	21	54	0
ABCD3	chr1	1330	1144	3538	0
ABCD4	chr14	2111	1363	2650	3
ABCE1	chr4	461	575	3272	0
ABCF1	chr6	0	0	6745	0
ABCF2	chr7	597	742	3010	0
ABCF3	chr3	1088	1208	3964	1
ABCG1	chr21	698	990	1617	0
ABCG2	chr4	28	35	63	0
ABCG4	chr11	16	15	54	0
ABCG5	chr2	2	13	0	0
ABCG8	chr2	2	0	1	0
ABHD1	chr2	3	8	3	1
ABHD10	chr3	284	227	1005	0
ABHD11	chr7	734	859	2528	0
ABHD12B	chr14	0	17	18	0
ABHD13	chr13	254	224	1473	0
ABHD14A	chr3	331	368	40	0
ABHD14A-ACY1	chr3	345	499	537	0
ABHD14B	chr3	416	115	329	0
ABHD15	chr17	306	390	322	0
ABHD16A	chr6	0	0	3075	0
ABHD17A	chr19	1313	982	3103	1
ABHD17B	chr9	329	332	1307	1
ABHD17C	chr15	323	367	559	0
ABHD18	chr4	254	282	811	1
ABHD2	chr15	3145	3802	6885	7
ABHD3	chr18	182	102	359	0
ABHD4	chr14	967	1294	1654	3
ABHD5	chr3	338	501	1761	1
ABHD6	chr3	143	108	450	0
ABHD8	chr19	360	400	535	1
ABI1	chr10	585	646	2095	0
ABI2	chr2	1281	1331	4479	0
ABI3	chr17	10	7	7	0
ABI3BP	chr3	7	14	21	0
ABL1	chr9	2179	2314	5876	0
ABL2	chr1	487	534	680	2
ABLIM1	chr10	1894	2898	2388	4
ABLIM2	chr4	73	195	100	1
ABLIM3	chr5	108	128	420	0
ABO	chr9	79	470	574	0
ABR	chr17	20	11	6995	0
ABRA	chr8	0	3	0	0
ABRACL	chr6	584	365	238	1
ABRAXAS1	chr4	294	271	1241	2
ABRAXAS2	chr10	358	420	1000	0
ABT1	chr6	733	516	1016	1
ABTB1	chr3	399	1475	1491	5
ABTB2	chr11	260	278	305	0
ACAA1	chr3	1329	1183	2864	1
ACAA2	chr18	328	507	2218	0
ACACA	chr17	214	201	4937	0
ACACB	chr12	359	407	681	0
ACAD10	chr12	1466	766	1420	0
