gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	161	107	188	0
A1BG-AS1	chr19	434	203	289	0
A1CF	chr10	0	0	5	0
A2M	chr12	99	108	204	0
A2M-AS1	chr12	29	18	65	0
A2ML1	chr12	391	229	365	0
A2ML1-AS1	chr12	3	2	6	0
A2ML1-AS2	chr12	0	0	0	0
A2MP1	chr12	1	0	0	0
A3GALT2	chr1	0	1	2	0
A4GALT	chr22	324	101	333	0
A4GNT	chr3	3	0	0	0
AAAS	chr12	1001	1438	3908	2
AACS	chr12	769	788	1898	0
AACSP1	chr5	11	1	3	0
AADAC	chr3	9	1	6	0
AADACL2	chr3	85	106	402	0
AADACL2-AS1	chr3	0	0	0	0
AADACL3	chr1	0	1	1	0
AADACL4	chr1	0	0	0	0
AADAT	chr4	501	890	1123	0
AAGAB	chr15	930	770	1599	2
AAK1	chr2A	818	1003	1751	1
AAMDC	chr11	81	95	412	0
AAMP	chr2B	1659	1422	5462	2
AANAT	chr17	2	6	2	0
AARD	chr8	6	3	14	0
AARS1	chr16	3443	3974	5145	1
AARS1P1	chr4	0	0	0	0
AARS2	chr6	757	450	2849	0
AARSD1	chr17	412	509	973	0
AASDH	chr4	240	219	1109	1
AASDHPPT	chr11	1024	1022	2888	3
AASS	chr7	1752	713	1716	0
AATBC	chr21	7	89	9	0
AATF	chr17	656	566	1411	1
AATK	chr17	1153	1598	507	0
ABAT	chr16	1175	708	899	1
ABBA01000933.1	chrUn_NW_019932985v1	0	0	0	0
ABBA01000935.2	chr6	0	0	47	0
ABBA01006766.1	chr17	0	0	0	0
ABBA01045074.1	chr2A	0	0	0	0
ABBA01045074.2	chr2A	0	0	0	0
ABCA1	chr9	1515	1666	4167	0
ABCA10	chr17	18	28	56	0
ABCA11P	chr4	254	160	223	1
ABCA12	chr2B	571	242	1056	0
ABCA13	chr7	42	14	40	0
ABCA17P	chr16	28	6	5	0
ABCA2	chr9	3892	4104	6773	2
ABCA3	chr16	1162	729	929	0
ABCA4	chr1	602	545	837	1
ABCA5	chr17	525	353	1372	0
ABCA6	chr17	9	0	5	0
ABCA7	chr19	3223	2264	2137	3
ABCA8	chr17	34	186	176	0
ABCA9	chr17	6	11	4	0
ABCA9-AS1	chr17	1	1	10	0
ABCB1	chr7	47	57	141	0
ABCB10	chr1	256	197	1005	0
ABCB10P1	chr15	0	0	51	0
ABCB10P3	chr15	0	0	0	0
ABCB10P4	chr15	0	0	51	0
ABCB11	chr2B	0	5	1	0
ABCB4	chr7	5	5	9	0
ABCB5	chr7	15	10	5	0
ABCB6	chr2B	397	836	1193	0
ABCB7	chrX	122	199	1575	0
ABCB8	chr7	1378	1250	1184	3
ABCB9	chr12	1049	1142	1156	0
ABCC1	chr16	2542	2237	3679	4
ABCC10	chr6	1514	1808	2905	0
ABCC11	chr16	2	1	182	0
ABCC12	chr16	0	0	0	0
ABCC13	chr21	0	18	9	0
ABCC2	chr10	29	55	125	0
ABCC3	chr17	3	7	8	0
ABCC4	chr13	143	319	341	1
ABCC5	chr3	1557	1157	4497	0
ABCC5-AS1	chr3	0	0	0	0
ABCC6	chr16	51	7	49	0
ABCC6P1	chrUn_NW_019934440v1	0	0	49	0
ABCC6P2	chrUn_NW_019934440v1	0	0	24	0
ABCC8	chr11	3	18	29	0
ABCC9	chr12	3	5	16	0
ABCD1	chrX	356	332	484	3
ABCD1P2	chr1	0	0	0	0
ABCD2	chr12	15	18	61	0
ABCD3	chr1	1271	1193	3551	0
ABCD4	chr14	2091	1382	2705	2
ABCE1	chr4	398	495	3651	1
ABCF1	chr6	1307	1872	5273	1
ABCF2	chr7	573	735	3024	0
ABCF2P1	chr3	0	0	1	0
ABCF2P2	chr7	0	0	0	0
ABCF3	chr3	1116	1209	3929	1
ABCG1	chr21	693	994	1614	0
ABCG2	chr4	28	35	62	0
ABCG4	chr11	16	15	51	0
ABCG5	chr2A	2	13	0	0
ABCG8	chr2A	2	0	1	0
ABHD1	chr2A	3	8	3	1
ABHD10	chr3	282	227	1085	0
ABHD11	chr7	627	747	2748	0
ABHD11-AS1	chr7	2	3	11	0
ABHD12B	chr14	0	18	13	0
ABHD13	chr13	256	228	1494	0
ABHD14A	chr3	332	354	42	0
ABHD14A-ACY1	chr3	348	494	537	0
ABHD14B	chr3	413	116	352	0
ABHD15	chr17	322	397	292	0
ABHD15-AS1	chr17	0	2	0	0
ABHD16A	chr6	713	592	2550	0
