gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	343	439	362	1
A1BG-AS1	chr19	254	242	133	0
A1CF	chr10	72	75	140	0
A2M	chr12	2417	2738	5162	0
A2M-AS1	chr12	89	67	66	0
A2ML1	chr12	5	6	6	0
A2ML1-AS1	chr12	2	0	0	0
A2ML1-AS2	chr12	0	0	0	0
A2MP1	chr12	0	0	0	0
A3GALT2	chr1	0	1	5	0
A4GALT	chr22	51	45	68	0
A4GNT	chr3	8	0	2	0
AAAS	chr12	643	788	2278	0
AACS	chr12	482	487	1229	1
AACSP1	chr5	8	0	0	0
AADAC	chr3	20	17	40	0
AADACL2	chr3	0	0	1	0
AADACL2-AS1	chr3	0	0	0	0
AADACL3	chr1	0	0	0	0
AADACL4	chr1	2	0	1	0
AADAT	chr4	243	349	480	1
AAGAB	chr15	374	371	707	2
AAK1	chr2A	605	693	1104	1
AAMDC	chr11	121	109	505	0
AAMP	chr2B	1302	992	3903	4
AANAT	chr17	2	3	2	0
AARD	chr8	12	0	5	0
AARS1	chr16	2077	2550	3274	1
AARS1P1	chr4	0	0	0	0
AARS2	chr6	333	199	1135	1
AARSD1	chr17	335	366	826	0
AASDH	chr4	61	63	319	0
AASDHPPT	chr11	501	647	1730	1
AASS	chr7	866	351	781	1
AATBC	chr21	12	58	9	0
AATF	chr17	430	333	940	0
AATK	chr17	428	400	176	1
ABAT	chr16	940	463	625	0
ABBA01000933.1	chrUn_NW_019932985v1	0	0	0	0
ABBA01000935.2	chr6	0	0	28	0
ABBA01006766.1	chr17	0	0	0	0
ABBA01045074.1	chr2A	0	0	0	0
ABBA01045074.2	chr2A	0	0	0	0
ABCA1	chr9	1489	1764	4382	1
ABCA10	chr17	17	54	97	0
ABCA11P	chr4	166	97	136	0
ABCA12	chr2B	3	2	10	0
ABCA13	chr7	10	4	3	0
ABCA17P	chr16	7	2	1	0
ABCA2	chr9	3827	4726	6993	2
ABCA3	chr16	378	190	283	1
ABCA4	chr1	14	11	18	0
ABCA5	chr17	205	155	504	0
ABCA6	chr17	10	19	23	0
ABCA7	chr19	649	769	532	1
ABCA8	chr17	1906	2735	4141	2
ABCA9	chr17	168	190	275	0
ABCA9-AS1	chr17	0	1	15	0
ABCB1	chr7	39	54	119	0
ABCB10	chr1	114	83	434	0
ABCB10P1	chr15	0	0	2	0
ABCB10P3	chr15	1	2	1	0
ABCB10P4	chr15	0	0	2	0
ABCB11	chr2B	27	92	51	0
ABCB4	chr7	15	17	50	0
ABCB5	chr7	4	0	2	0
ABCB6	chr2B	461	836	1068	0
