gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	180	128	219	1
A1CF	chr10	161	345	559	0
A2M	chr12	32	130	122	0
A2ML1	chr12	10	16	15	0
A3GALT2	chr1	0	0	5	0
A4GALT	chr22	144	139	258	0
A4GNT	chr3	2	0	0	0
AAAS	chr12	963	1375	3736	1
AACS	chr12	1278	1619	3466	0
AADAC	chr3	0	0	0	0
AADACL2	chr3	0	0	0	0
AADACL3	chr1	0	11	4	0
AADACL4	chr1	2	1	1	0
AADAT	chr4	622	849	1316	1
AAGAB	chr15	1562	1356	3016	1
AAK1	chr2	958	1282	1713	0
AAMDC	chr11	186	135	763	0
AAMP	chr2	2177	2086	9282	4
AANAT	chr17	2	7	0	0
AARD	chr8	13	0	20	0
AARS2	chr6	785	575	2911	1
AARSD1	chr17	665	766	1673	1
AASDH	chr4	198	235	1146	1
AASDHPPT	chr11	973	1053	2880	0
AASS	chr7	2620	1739	2862	2
AATF	chr17	0	0	3390	0
AATK	chr17	491	501	167	0
ABAT	chr16	377	341	327	0
ABCA1	chr9	2103	1653	4984	0
ABCA10	chr17	1	4	5	0
ABCA12	chr2	35	30	64	0
ABCA13	chr7	38	19	36	0
ABCA2	chr9	2571	5170	5931	5
ABCA3	chr16	1555	860	1105	1
ABCA4	chr1	19	8	34	0
ABCA5	chr17	127	77	351	0
ABCA6	chr17	13	12	19	0
ABCA7	chr19	5102	4476	3849	11
ABCA8	chr17	7	28	49	0
ABCA9	chr17	4	3	10	0
ABCB1	chr7	3	2	8	0
ABCB10	chr1	243	200	1437	0
ABCB11	chr2	0	0	0	0
ABCB4	chr7	13	38	66	0
ABCB5	chr7	1	1	0	0
ABCB6	chr2	632	1285	1835	1
ABCB7	chrX	213	247	2515	0
ABCB8	chr7	1073	958	1084	2
ABCB9	chr12	1178	1356	1198	1
ABCC1	chr16	67	85	3884	0
ABCC10	chr6	1853	2138	3357	0
ABCC11	chr16	6	3	125	0
ABCC12	chr16	6	19	9	0
ABCC2	chr10	16	22	52	0
ABCC3	chr17	15	45	24	0
ABCC4	chr13	957	1023	1493	0
ABCC5	chr3	2079	2770	7662	2
ABCC6	chr16	68	22	434	0
ABCC8	chr11	2	15	18	0
ABCC9	chr12	48	8	114	0
ABCD1	chrX	495	471	716	1
ABCD2	chr12	2	22	21	0
ABCD3	chr1	1133	998	2607	0
ABCD4	chr14	2677	1776	4191	3
ABCE1	chr4	521	665	3789	1
ABCF1	chr6	0	0	7585	0
ABCF2	chr7	899	1102	4296	1
ABCF3	chr3	1019	1163	3333	0
ABCG1	chr21	64	98	176	0
ABCG2	chr4	63	151	213	0
ABCG4	chr11	39	29	111	0
ABCG5	chr2	2	23	3	0
ABCG8	chr2	0	1	2	0
ABHD1	chr2	5	15	20	0
ABHD10	chr3	290	220	1008	0
ABHD11	chr7	606	851	2423	0
ABHD12B	chr14	11	52	47	0
ABHD13	chr13	299	382	2314	0
ABHD14A	chr3	351	338	46	0
ABHD14A-ACY1	chr3	501	675	1036	0
ABHD14B	chr3	184	51	126	0
ABHD15	chr17	581	1021	697	1
ABHD16A	chr6	0	0	5636	0
ABHD17A	chr19	730	653	2866	1
ABHD17B	chr9	425	393	1456	2
ABHD17C	chr15	388	323	546	0
ABHD18	chr4	334	418	1052	6
ABHD2	chr15	1077	1189	2367	1
ABHD3	chr18	304	331	790	0
ABHD4	chr14	1435	2695	2978	1
ABHD5	chr3	152	247	966	0
ABHD6	chr3	120	65	263	0
ABHD8	chr19	689	764	1096	0
ABI1	chr10	648	610	2561	0
ABI2	chr2	2109	2050	7990	0
ABI3	chr17	3	2	7	0
ABI3BP	chr3	1	7	9	0
ABL1	chr9	5222	5286	12773	4
ABL2	chr1	994	1066	1394	0
ABLIM1	chr10	2214	3250	2853	8
ABLIM2	chr4	43	24	35	0
ABLIM3	chr5	18	40	99	0
ABO	chr9	190	1660	1528	0
ABR	chr17	10	20	5247	0
ABRA	chr8	1	0	1	0
ABRACL	chr6	994	856	447	1
ABRAXAS1	chr4	441	438	2030	0
ABRAXAS2	chr10	436	527	1172	1
ABT1	chr6	1097	612	1379	1
ABTB1	chr3	445	597	885	3
ABTB2	chr11	275	274	257	0
ACAA1	chr3	2670	1565	4637	3
ACAA2	chr18	1687	961	7116	0
ACACA	chr17	251	302	5986	0
ACACB	chr12	340	434	627	1
ACAD10	chr12	1238	575	1057	0
ACAD11	chr3	500	574	1051	0
ACAD8	chr11	1119	609	1385	1
ACAD9	chr3	842	787	2597	0
ACADL	chr2	7	10	25	0
ACADM	chr1	469	323	2419	0
ACADS	chr12	753	936	1004	0
ACADSB	chr10	730	669	646	0
ACADVL	chr17	6661	6883	15712	5
ACAN	chr15	279	249	347	0
ACAP1	chr17	57	117	155	0
ACAP2	chr3	542	544	1499	1
ACAP3	chr1	2036	1443	22261	0
ACAT1	chr11	204	185	1386	0
ACAT2	chr6	1658	2154	5353	0
ACBD3	chr1	620	647	1974	0
ACBD4	chr17	269	359	695	0
ACBD5	chr10	550	665	1431	2
ACBD6	chr1	1031	1118	1642	2
ACBD7	chr10	407	191	260	0
ACCS	chr11	1289	421	738	1
ACCSL	chr11	0	0	0	0
ACD	chr16	847	675	1138	1
ACE	chr17	144	172	204	0
ACE2	chrX	63	122	236	0
ACER1	chr19	0	0	0	0
ACER2	chr9	158	96	104	0
ACER3	chr11	387	252	1396	0
ACHE	chr7	293	276	1444	0
ACIN1	chr14	4808	4450	26459	1
ACKR1	chr1	137	46	133	0
ACKR2	chr3	8	1	5	0
ACKR3	chr2	214	311	289	0
ACKR4	chr3	0	3	4	0
ACLY	chr17	8120	7451	14718	4
ACMSD	chr2	5	0	0	0
ACO1	chr9	1047	1839	3359	1
ACO2	chr22	2765	2697	7484	4
ACOD1	chr13	0	0	0	0
ACOT1	chr14	0	0	243	0
ACOT11	chr1	48	42	108	1
ACOT12	chr5	6	2	3	0
ACOT13	chr6	419	418	1956	0
ACOT2	chr14	108	41	138	0
ACOT4	chr14	35	17	71	0
ACOT6	chr14	0	217	41	1
ACOT7	chr1	691	547	3000	0
ACOT9	chrX	1217	1235	1734	1
ACOX1	chr17	583	444	1355	0
ACOX2	chr3	181	509	917	0
ACOX3	chr4	926	558	338	0
ACOXL	chr2	92	74	184	1
ACP1	chr2	594	820	3616	0
ACP2	chr11	1692	1824	2359	0
ACP4	chr19	3	5	6	0
ACP5	chr19	76	39	24	0
ACP6	chr1	731	425	1732	0
ACP7	chr19	2	12	11	0
ACR	chr22	3	0	1	0
ACRBP	chr12	30	163	98	0
ACRV1	chr11	22	15	5	0
ACSBG1	chr15	226	198	393	0
ACSBG2	chr19	9	20	4	0
ACSF2	chr17	1150	1300	1672	1
ACSF3	chr16	967	2345	721	4
ACSL1	chr4	1689	1428	3179	0
ACSL3	chr2	908	986	4233	1
ACSL4	chrX	494	431	2018	0
ACSL5	chr10	2	6	3	0
ACSL6	chr5	0	3	8	0
ACSM1	chr16	11	2	5	0
ACSM2A	chr16	0	0	0	0
ACSM2B	chr16	0	0	0	0
ACSM3	chr16	199	330	555	0
ACSM4	chr12	0	0	2	0
ACSM5	chr16	0	0	0	0
ACSM6	chr10	2	5	1	0
ACSS3	chr12	962	1537	1424	3
ACTA1	chr1	1567	2258	3687	3
ACTA2	chr10	426	204	403	0
ACTB	chr7	37507	34916	78280	27
ACTBL2	chr5	0	0	0	0
ACTC1	chr15	1850	1337	2495	0
ACTG1	chr17	50935	53958	38257	140
ACTG2	chr2	80	47	318	0
ACTL6A	chr3	267	165	3729	0
ACTL6B	chr7	1	0	1	0
ACTL7A	chr9	0	0	0	0
ACTL7B	chr9	0	0	0	0
ACTL8	chr1	0	0	0	0
ACTL9	chr19	0	0	0	0
ACTN1	chr14	5568	4727	14369	5
ACTN2	chr1	16	23	38	0
ACTN3	chr11	99	324	140	1
ACTN4	chr19	13342	12485	25187	5
ACTR10	chr14	828	715	2822	0
ACTR1A	chr10	3245	2888	11173	3
ACTR1B	chr2	2491	3434	4629	2
ACTR2	chr2	2901	2664	13905	1
ACTR3	chr2	2213	1984	8441	1
ACTR3B	chr7	259	229	971	1
ACTR3C	chr7	0	0	0	0
ACTR6	chr12	517	504	1351	0
ACTR8	chr3	1253	1002	887	2
ACTRT1	chrX	0	0	0	0
ACTRT2	chr1	11	6	11	0
ACTRT3	chr3	27	84	80	0
ACVR1	chr2	631	691	1898	0
ACVR1B	chr12	1914	1769	4031	1
ACVR1C	chr2	17	22	61	0
ACVR2A	chr2	97	86	1027	0
ACVR2B	chr3	2373	2492	5831	2
ACVRL1	chr12	4	10	20	0
ACY1	chr3	334	528	1079	0
ACY3	chr11	39	40	41	0
ACYP1	chr14	89	99	439	0
ACYP2	chr2	139	180	68	0
ADA2	chr22	398	366	482	0
ADAD1	chr4	0	0	0	0
ADAD2	chr16	0	0	0	0
ADAL	chr15	255	253	482	0
ADAM10	chr15	1684	1620	12505	2
ADAM11	chr17	206	236	401	0
ADAM12	chr10	7	14	31	0
ADAM15	chr1	434	181	826	0
ADAM17	chr2	1560	2226	2965	0
ADAM18	chr8	0	0	5	0
ADAM19	chr5	2855	1604	3187	3
ADAM2	chr8	0	0	0	0
ADAM20	chr14	1	0	1	0
ADAM21	chr14	4	9	11	0
ADAM22	chr7	173	318	758	0
ADAM23	chr2	181	19	689	0
ADAM28	chr8	167	43	113	0
ADAM29	chr4	1	1	3	0
ADAM30	chr1	0	0	0	0
ADAM32	chr8	2	4	72	0
ADAM7	chr8	0	0	0	0
ADAM8	chr10	673	1100	983	1
ADAM9	chr8	1111	723	5476	0
ADAMDEC1	chr8	0	0	0	0
ADAMTS1	chr21	549	541	1813	0
ADAMTS10	chr19	984	786	2068	0
ADAMTS12	chr5	2681	1882	3537	1
ADAMTS13	chr9	1103	1689	863	1
ADAMTS14	chr10	27	17	35	0
ADAMTS15	chr11	342	264	308	0
ADAMTS16	chr5	427	402	1705	1
ADAMTS17	chr15	15	14	13	0
ADAMTS18	chr16	64	123	91	0
ADAMTS19	chr5	1444	1486	4160	2
ADAMTS2	chr5	59	9	20	0
ADAMTS20	chr12	11	4	14	0
ADAMTS3	chr4	150	87	235	0
ADAMTS4	chr1	24	40	99	0
ADAMTS5	chr21	4	88	75	0
ADAMTS6	chr5	192	150	397	0
ADAMTS7	chr15	8489	10443	14379	10
ADAMTS8	chr11	5	6	8	0
ADAMTS9	chr3	2693	2783	6028	1
ADAMTSL1	chr9	4	0	7	0
ADAMTSL2	chr9	2	3	11	0
ADAMTSL3	chr15	50	12	51	0
ADAMTSL4	chr1	1900	5023	5924	3
ADAMTSL5	chr19	201	138	241	1
ADAP1	chr7	286	610	611	0
ADAP2	chr17	59	67	94	0
ADAR	chr1	3994	4092	17179	3
ADARB1	chr21	1049	847	2278	2
ADARB2	chr10	20	4	10	0
ADAT1	chr16	947	1116	647	2
ADAT2	chr6	352	251	572	0
ADAT3	chr19	113	95	213	0
ADCK1	chr14	386	583	388	0
ADCK2	chr7	720	662	2273	0
ADCK5	chr8	701	679	944	0
ADCY1	chr7	307	498	558	1
ADCY10	chr1	18	2	26	0
ADCY2	chr5	54	94	235	0
ADCY3	chr2	832	557	2484	0
ADCY4	chr14	5	8	27	0
ADCY5	chr3	59	95	199	0
ADCY6	chr12	3548	4046	10198	0
ADCY7	chr16	665	1094	1399	1
ADCY8	chr8	6	7	13	0
ADCY9	chr16	392	405	820	1
ADCYAP1	chr18	0	0	1	0
ADCYAP1R1	chr7	10	20	27	0
ADD1	chr4	4666	4087	10468	6
ADD2	chr2	201	462	703	1
ADD3	chr10	4328	2140	8715	1
ADGB	chr6	3	4	3	0
ADGRA1	chr10	8	4	5	0
ADGRA2	chr8	822	1141	1446	0
ADGRA3	chr4	2697	1543	5189	1
ADGRB1	chr8	51	33	177	0
ADGRB2	chr1	630	495	2223	0
ADGRB3	chr6	8	4	16	0
ADGRD1	chr12	224	392	184	0
ADGRE1	chr19	0	0	0	0
