gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	110	72	136	0
A1CF	chr10	837	1095	1824	0
A2M	chr12	262	1047	1144	1
A2ML1	chr12	2	17	6	0
A3GALT2	chr1	0	0	2	0
A4GALT	chr22	60	37	99	0
A4GNT	chr3	3	2	0	0
AAAS	chr12	585	709	2101	0
AACS	chr12	553	667	1713	1
AADAC	chr3	26	24	33	0
AADACL2	chr3	0	0	0	0
AADACL3	chr1	3	1	0	0
AADACL4	chr1	0	1	1	0
AADAT	chr4	376	465	629	0
AAGAB	chr15	850	759	1736	1
AAK1	chr2	1061	1295	2398	2
AAMDC	chr11	140	148	637	0
AAMP	chr2	1324	1241	5391	2
AANAT	chr17	1	0	0	0
AARD	chr8	140	2	243	0
AARS2	chr6	428	296	1672	1
AARSD1	chr17	359	376	874	1
AASDH	chr4	179	157	1054	0
AASDHPPT	chr11	790	978	2691	0
AASS	chr7	998	435	934	0
AATF	chr17	0	0	1460	0
AATK	chr17	651	574	295	0
ABAT	chr16	562	371	531	1
ABCA1	chr9	2133	2346	6368	0
ABCA10	chr17	14	8	29	0
ABCA12	chr2	33	14	50	0
ABCA13	chr7	57	11	38	0
ABCA2	chr9	2143	4746	6322	1
ABCA3	chr16	667	267	425	0
ABCA4	chr1	113	123	156	0
ABCA5	chr17	250	160	660	0
ABCA6	chr17	17	8	17	0
ABCA7	chr19	3771	2882	2804	4
ABCA8	chr17	91	138	195	0
ABCA9	chr17	12	3	10	0
ABCB1	chr7	0	6	11	0
ABCB10	chr1	246	236	1599	0
ABCB11	chr2	0	3	1	0
ABCB4	chr7	37	45	125	0
ABCB5	chr7	2	0	0	0
ABCB6	chr2	305	515	868	0
ABCB7	chrX	131	167	1511	0
ABCB8	chr7	615	611	558	1
ABCB9	chr12	821	771	679	1
ABCC1	chr16	27	65	2495	0
ABCC10	chr6	1352	1694	2997	0
ABCC11	chr16	8	4	159	0
ABCC12	chr16	1	1	2	0
ABCC2	chr10	27	69	180	0
ABCC3	chr17	788	1332	1168	1
ABCC4	chr13	399	268	584	1
ABCC5	chr3	1305	1733	5187	1
ABCC6	chr16	104	35	731	0
ABCC8	chr11	30	42	57	0
ABCC9	chr12	181	50	417	0
ABCD1	chrX	327	379	522	0
ABCD2	chr12	1	6	17	0
ABCD3	chr1	1078	1140	3254	0
ABCD4	chr14	1975	1307	2524	2
ABCE1	chr4	357	436	2603	0
ABCF1	chr6	0	0	5141	0
ABCF2	chr7	440	499	2428	1
ABCF3	chr3	546	607	2258	1
ABCG1	chr21	103	195	244	1
ABCG2	chr4	222	312	449	0
ABCG4	chr11	23	9	57	0
ABCG5	chr2	2	26	3	0
ABCG8	chr2	2	2	2	0
ABHD1	chr2	0	1	2	0
ABHD10	chr3	272	249	919	0
ABHD11	chr7	474	482	1924	0
ABHD12B	chr14	4	7	12	0
ABHD13	chr13	363	458	2630	0
ABHD14A	chr3	323	324	43	0
ABHD14A-ACY1	chr3	399	571	747	0
ABHD14B	chr3	182	59	170	0
ABHD15	chr17	1277	1127	1155	1
ABHD16A	chr6	0	0	3497	0
ABHD17A	chr19	517	420	1976	0
ABHD17B	chr9	358	330	1124	0
ABHD17C	chr15	289	246	456	0
ABHD18	chr4	289	327	831	3
ABHD2	chr15	1578	1320	3017	2
ABHD3	chr18	388	435	967	0
ABHD4	chr14	934	1536	1864	2
ABHD5	chr3	164	201	816	0
ABHD6	chr3	112	74	329	0
ABHD8	chr19	427	413	554	0
ABI1	chr10	488	451	1929	0
ABI2	chr2	1629	1589	5580	1
ABI3	chr17	5	0	0	0
ABI3BP	chr3	11	43	65	0
ABL1	chr9	3428	3272	8806	3
ABL2	chr1	890	950	1379	0
ABLIM1	chr10	1940	3002	3075	8
ABLIM2	chr4	80	28	43	1
ABLIM3	chr5	23	36	112	0
ABO	chr9	708	2554	3036	1
ABR	chr17	24	27	4253	0
ABRA	chr8	0	1	1	0
ABRACL	chr6	1289	925	488	2
ABRAXAS1	chr4	253	227	1164	1
ABRAXAS2	chr10	295	399	981	0
ABT1	chr6	591	392	788	0
ABTB1	chr3	262	447	655	2
ABTB2	chr11	172	199	189	0
ACAA1	chr3	2987	1849	6253	1
ACAA2	chr18	860	568	4312	0
ACACA	chr17	192	211	4607	0
ACACB	chr12	436	520	827	0
ACAD10	chr12	844	415	848	0
ACAD11	chr3	348	422	800	0
ACAD8	chr11	795	417	859	1
ACAD9	chr3	574	559	1791	0
ACADL	chr2	1	3	7	0
ACADM	chr1	289	219	1571	0
ACADS	chr12	677	796	815	0
ACADSB	chr10	846	758	762	2
ACADVL	chr17	8564	7891	18371	2
ACAN	chr15	49	133	113	0
ACAP1	chr17	51	34	84	0
ACAP2	chr3	532	616	1518	1
ACAP3	chr1	1241	1080	13521	6
ACAT1	chr11	149	102	994	0
ACAT2	chr6	395	356	1238	0
ACBD3	chr1	730	638	2254	0
ACBD4	chr17	269	334	662	0
ACBD5	chr10	499	669	1338	1
ACBD6	chr1	603	663	966	0
ACBD7	chr10	99	20	76	0
ACCS	chr11	990	249	647	0
ACCSL	chr11	2	0	1	0
ACD	chr16	345	308	465	0
ACE	chr17	252	341	359	1
ACE2	chrX	38	41	94	0
ACER1	chr19	1	2	0	0
ACER2	chr9	103	68	63	0
ACER3	chr11	349	368	1661	0
ACHE	chr7	301	370	1872	1
ACIN1	chr14	3548	3295	19365	2
ACKR1	chr1	16	11	19	0
ACKR2	chr3	55	46	16	0
ACKR3	chr2	264	256	333	0
ACKR4	chr3	0	1	3	0
ACLY	chr17	3692	3559	7567	0
ACMSD	chr2	9	4	2	0
ACO1	chr9	599	986	1902	0
ACO2	chr22	2010	1932	5562	4
ACOD1	chr13	0	14	4	0
ACOT1	chr14	0	0	285	0
ACOT11	chr1	75	29	88	1
ACOT12	chr5	6	3	7	0
ACOT13	chr6	594	522	2216	0
ACOT2	chr14	90	150	185	1
ACOT4	chr14	21	5	42	0
ACOT6	chr14	0	77	12	0
ACOT7	chr1	459	292	1592	0
ACOT9	chrX	721	949	1444	1
ACOX1	chr17	695	480	1607	2
ACOX2	chr3	84	329	634	0
ACOX3	chr4	441	226	182	0
ACOXL	chr2	47	26	60	0
ACP1	chr2	431	548	2147	0
ACP2	chr11	1391	1584	2410	2
ACP4	chr19	1	4	0	0
ACP5	chr19	50	23	21	0
ACP6	chr1	610	355	1359	0
ACP7	chr19	2	37	70	0
ACR	chr22	1	0	0	0
ACRBP	chr12	37	175	114	0
ACRV1	chr11	7	6	1	0
ACSBG1	chr15	214	172	361	0
ACSBG2	chr19	2	12	7	0
ACSF2	chr17	947	1042	1512	0
ACSF3	chr16	551	1173	415	2
ACSL1	chr4	756	519	1314	1
ACSL3	chr2	968	835	3428	0
ACSL4	chrX	224	228	1196	0
ACSL5	chr10	74	65	109	0
ACSL6	chr5	3	17	15	0
ACSM1	chr16	10	4	10	0
ACSM2A	chr16	0	0	0	0
ACSM2B	chr16	1	1	0	0
ACSM3	chr16	395	1361	1444	1
ACSM4	chr12	0	1	0	0
ACSM5	chr16	0	0	0	0
ACSM6	chr10	1	3	1	0
ACSS3	chr12	974	1449	1274	0
ACTA1	chr1	28	48	67	0
ACTA2	chr10	181	68	175	0
ACTB	chr7	25517	23773	47325	15
ACTBL2	chr5	0	0	0	0
ACTC1	chr15	56	60	85	0
ACTG1	chr17	29335	29011	25361	48
ACTG2	chr2	11	2	23	0
ACTL6A	chr3	134	101	1905	0
ACTL6B	chr7	5	6	6	0
ACTL7A	chr9	0	0	0	0
ACTL7B	chr9	0	0	0	0
ACTL8	chr1	0	0	0	0
ACTL9	chr19	0	0	0	0
ACTN1	chr14	2481	1708	5715	1
ACTN2	chr1	3	3	5	0
ACTN3	chr11	32	378	158	0
ACTN4	chr19	10091	7318	17875	3
ACTR10	chr14	467	436	1694	0
ACTR1A	chr10	1817	1724	6845	0
ACTR1B	chr2	1402	1783	2746	3
ACTR2	chr2	2211	1952	10493	0
ACTR3	chr2	1763	1691	6474	0
ACTR3B	chr7	120	104	443	1
ACTR3C	chr7	0	0	0	0
ACTR6	chr12	250	259	769	0
ACTR8	chr3	1091	874	760	1
ACTRT1	chrX	0	0	0	0
ACTRT2	chr1	1	0	0	0
ACTRT3	chr3	71	138	182	0
ACVR1	chr2	409	443	1181	0
ACVR1B	chr12	1356	1216	2907	0
ACVR1C	chr2	56	42	160	0
ACVR2A	chr2	102	174	1171	0
ACVR2B	chr3	1582	1905	3961	2
ACVRL1	chr12	5	10	10	0
ACY1	chr3	257	415	773	0
ACY3	chr11	118	139	134	0
