gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	335	334	410	1
A1CF	chr10	39	29	71	0
A2M	chr12	1258	1682	3068	2
A2ML1	chr12	7	2	1	0
A3GALT2	chr1	1	0	5	0
A4GALT	chr22	211	111	203	0
A4GNT	chr3	13	1	1	0
AAAS	chr12	953	1263	3550	0
AACS	chr12	658	635	1554	1
AADAC	chr3	18	10	16	0
AADACL2	chr3	0	0	1	0
AADACL3	chr1	0	0	1	0
AADACL4	chr1	8	0	13	0
AADAT	chr4	281	394	562	0
AAGAB	chr15	395	369	795	0
AAK1	chr2A	847	914	1597	0
AAMDC	chr11	178	167	848	0
AAMP	chr2B	1772	1448	5156	5
AANAT	chr17	5	5	0	0
AARD	chr8	12	2	8	0
AARS2	chr6	349	267	1284	0
AARSD1	chr17	519	554	1166	0
AASDH	chr4	96	89	542	0
AASDHPPT	chr11	480	586	1673	0
AASS	chr7	1284	622	1208	2
AATF	chr17	456	416	1085	0
AATK	chr17	691	814	309	1
ABAT	chr16	1547	584	1021	2
ABCA1	chr9	1734	2149	5747	0
ABCA10	chr17	9	13	29	0
ABCA12	chr2B	4	4	4	0
ABCA13	chr7	10	47	33	0
ABCA2	chr9	4464	5851	8411	6
ABCA3	chr16	371	215	289	0
ABCA4	chr1	24	16	29	0
ABCA5	chr17	203	133	475	0
ABCA6	chr17	4	8	13	0
ABCA7	chr19	985	1293	921	2
ABCA8	chr17	925	1272	2036	0
ABCA9	chr17	88	110	143	0
ABCB1	chr7	27	30	72	0
ABCB10	chr1	114	106	472	0
ABCB11	chr2B	19	38	37	1
ABCB4	chr7	21	37	113	0
ABCB5	chr7	0	1	0	0
ABCB6	chr2B	537	985	1406	1
ABCB7	chrX	98	137	1503	0
ABCB8	chr7	952	1055	910	0
ABCB9	chr12	1121	1127	1034	2
ABCC1	chr16	1434	1617	2352	1
ABCC10	chr6	587	631	1019	1
ABCC11	chr16	5	3	107	0
ABCC12	chr16	0	0	0	0
ABCC2	chr10	79	107	321	0
ABCC3	chr17	113	132	129	0
ABCC4	chr13	113	131	199	0
ABCC5	chr3	1841	1909	6028	2
ABCC6	chr16	142	54	165	1
ABCC8	chr11	4	20	27	0
ABCC9	chr12	96	109	464	0
ABCD1	chrX	503	609	762	0
ABCD2	chr12	3	7	15	0
ABCD3	chr1	469	634	1813	0
ABCD4	chr14	1604	1018	2371	2
ABCE1	chr4	207	291	2218	0
ABCF1	chr6	701	871	3144	0
ABCF2	chr7	428	514	2004	0
ABCF3	chr3	724	818	2340	1
ABCG1	chr21	454	753	955	0
ABCG2	chr4	115	141	191	0
ABCG4	chr11	79	69	245	0
ABCG5	chr2A	11	24	14	0
ABCG8	chr2A	21	24	20	0
ABHD1	chr2A	13	30	21	0
ABHD10	chr3	143	110	649	1
ABHD11	chr7	117	185	617	0
ABHD12B	chr14	14	18	8	0
ABHD13	chr13	117	105	852	0
ABHD14A	chr3	555	769	107	1
ABHD14A-ACY1	chr3	687	1083	1292	1
ABHD14B	chr3	579	120	553	0
ABHD15	chr17	209	176	140	0
ABHD16A	chr6	386	316	1286	1
ABHD17A	chr19	501	563	2230	0
ABHD17B	chr9	156	137	633	0
ABHD17C	chr15	131	140	239	0
ABHD18	chr4	252	294	780	4
ABHD2	chr15	139	148	211	0
ABHD3	chr18	110	87	295	0
ABHD4	chr14	1039	1426	1810	1
ABHD5	chr3	97	123	569	1
ABHD6	chr3	69	24	173	0
ABHD8	chr19	410	443	638	0
ABI1	chr10	359	320	1246	0
ABI2	chr2B	1746	1836	6322	1
ABI3	chr17	54	59	83	0
ABI3BP	chr3	114	59	191	0
ABL1	chr9	2803	3031	7533	5
ABL2	chr1	707	657	1050	0
ABLIM1	chr10	5540	5394	5588	16
ABLIM2	chr4	74	51	44	0
ABLIM3	chr5	263	377	1005	1
ABO	chr9	329	922	1207	2
ABR	chr17	1598	1682	4535	4
ABRA	chr8	67	43	137	0
ABRACL	chr6	279	196	63	0
ABRAXAS1	chr4	179	149	997	0
ABRAXAS2	chr10	54	79	469	0
ABT1	chr6	413	303	565	0
ABTB1	chr3	405	1121	1303	0
ABTB2	chr11	444	474	468	1
ACAA1	chr3	924	1118	2280	1
ACAA2	chr18	467	566	2910	0
ACACA	chr17	1241	915	2209	1
ACACB	chr12	1804	1587	2790	2
ACAD10	chr12	984	572	1034	0
ACAD11	chr3	606	498	1201	0
ACAD8	chr11	458	292	652	0
ACAD9	chr3	448	428	1418	0
ACADL	chr2B	15	17	36	0
ACADM	chr1	182	122	1191	0
ACADS	chr12	447	402	465	0
ACADSB	chr10	261	403	305	0
ACADVL	chr17	5332	5099	13204	5
ACAN	chr15	53	55	68	0
ACAP1	chr17	134	96	203	0
ACAP2	chr3	317	343	1427	1
ACAP3	chrUn_NW_019935705v1	0	0	4992	0
ACAT1	chr11	165	185	1240	0
ACAT2	chr6	438	498	1178	1
ACBD3	chr1	532	563	1845	1
ACBD4	chr17	185	145	363	1
ACBD5	chr10	349	354	672	1
ACBD6	chr1	744	699	1066	0
ACBD7	chr10	82	8	56	0
ACCS	chr11	1349	453	903	3
ACCSL	chr11	1	0	0	0
ACD	chr16	405	369	577	1
ACE	chr17	211	167	280	0
