gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	78	87	138	0
A1CF	chr10	1	0	0	0
A2M	chr12	1	0	1	0
A2ML1	chr12	0	0	0	0
A3GALT2	chr1	0	0	3	0
A4GALT	chr22	4	10	6	0
A4GNT	chr3	0	0	0	0
AAAS	chr12	451	593	1251	0
AACS	chr12	212	146	358	0
AADAC	chr3	0	0	0	0
AADACL2	chr3	0	0	0	0
AADACL3	chr1	0	0	0	0
AADACL4	chr1	0	0	0	0
AADAT	chr4	251	453	505	0
AAGAB	chr15	311	342	588	0
AAK1	chr2	928	1154	2039	2
AAMDC	chr11	16	11	50	0
AAMP	chr2	384	337	1771	0
AANAT	chr17	1	0	0	0
AARD	chr8	0	0	1	0
AARS2	chr6	136	119	528	0
AARSD1	chr17	261	295	771	0
AASDH	chr4	41	52	286	0
AASDHPPT	chr11	660	890	2014	0
AASS	chr7	67	73	94	1
AATF	chr17	0	0	505	0
AATK	chr17	413	396	212	0
ABAT	chr16	753	611	700	2
ABCA1	chr9	187	162	419	0
ABCA10	chr17	1	5	16	0
ABCA12	chr2	3	1	4	0
ABCA13	chr7	0	0	0	0
ABCA2	chr9	1528	2928	3484	3
ABCA3	chr16	1327	1293	1133	4
ABCA4	chr1	0	0	0	0
ABCA5	chr17	114	88	335	0
ABCA6	chr17	0	0	2	0
ABCA7	chr19	1150	819	778	0
ABCA8	chr17	1	0	0	0
ABCA9	chr17	1	2	1	0
ABCB1	chr7	5	3	2	0
ABCB10	chr1	41	33	256	0
ABCB11	chr2	0	0	0	0
ABCB4	chr7	21	0	22	0
ABCB5	chr7	0	0	0	0
ABCB6	chr2	232	270	425	1
ABCB7	chrX	64	74	598	0
ABCB8	chr7	477	347	323	0
ABCB9	chr12	528	500	360	4
ABCC1	chr16	8	5	429	0
ABCC10	chr6	368	469	639	1
ABCC11	chr16	1	2	49	0
ABCC12	chr16	0	0	0	0
ABCC2	chr10	16	29	41	0
ABCC3	chr17	0	1	1	0
ABCC4	chr13	12	15	25	0
ABCC5	chr3	839	823	2707	0
ABCC6	chr16	0	0	10	0
ABCC8	chr11	217	404	537	0
ABCC9	chr12	1	4	6	0
ABCD1	chrX	221	210	262	0
ABCD2	chr12	0	1	3	0
ABCD3	chr1	162	207	421	0
ABCD4	chr14	827	702	1310	2
ABCE1	chr4	163	185	928	0
ABCF1	chr6	0	0	1386	0
ABCF2	chr7	197	265	840	0
ABCF3	chr3	262	285	690	0
ABCG1	chr21	110	128	164	0
ABCG2	chr4	1	0	0	0
ABCG4	chr11	107	109	281	0
ABCG5	chr2	2	13	2	0
ABCG8	chr2	1	1	1	0
ABHD1	chr2	1	9	12	0
ABHD10	chr3	163	144	541	2
ABHD11	chr7	30	69	135	0
ABHD12B	chr14	1	0	0	0
ABHD13	chr13	51	45	267	0
ABHD14A	chr3	315	377	44	0
ABHD14A-ACY1	chr3	210	283	226	0
ABHD14B	chr3	39	9	36	0
ABHD15	chr17	9	1	3	0
ABHD16A	chr6	0	0	1150	0
ABHD17A	chr19	205	169	901	2
ABHD17B	chr9	123	125	457	0
ABHD17C	chr15	281	362	454	2
ABHD18	chr4	88	123	211	3
ABHD2	chr15	225	231	479	0
ABHD3	chr18	16	15	32	0
ABHD4	chr14	96	119	131	0
ABHD5	chr3	64	123	296	0
ABHD6	chr3	61	41	201	0
ABHD8	chr19	209	208	302	0
ABI1	chr10	132	108	404	1
ABI2	chr2	1251	1118	4037	0
ABI3	chr17	0	0	2	0
ABI3BP	chr3	2	4	4	0
ABL1	chr9	900	1033	2465	2
ABL2	chr1	388	342	583	1
ABLIM1	chr10	468	560	603	0
ABLIM2	chr4	174	76	66	0
ABLIM3	chr5	22	40	141	0
ABO	chr9	1	45	55	0
ABR	chr17	1	0	1678	0
ABRA	chr8	1	2	0	0
ABRACL	chr6	213	194	126	0
ABRAXAS1	chr4	54	42	239	0
ABRAXAS2	chr10	110	129	254	0
ABT1	chr6	137	157	215	0
ABTB1	chr3	142	656	588	0
ABTB2	chr11	78	371	217	1
ACAA1	chr3	323	324	541	0
ACAA2	chr18	71	122	368	0
ACACA	chr17	142	100	2558	0
ACACB	chr12	45	111	123	0
ACAD10	chr12	296	102	218	0
ACAD11	chr3	129	76	212	0
ACAD8	chr11	309	177	353	0
ACAD9	chr3	111	134	333	0
ACADL	chr2	0	0	1	0
ACADM	chr1	191	84	811	0
ACADS	chr12	131	101	110	0
ACADSB	chr10	152	153	119	0
ACADVL	chr17	1138	1282	3152	3
ACAN	chr15	2	0	2	0
ACAP1	chr17	27	18	34	0
ACAP2	chr3	236	227	514	0
ACAP3	chr1	1131	869	18322	1
ACAT1	chr11	83	83	582	0
ACAT2	chr6	1500	2144	5757	1
ACBD3	chr1	168	201	475	0
ACBD4	chr17	117	116	239	0
ACBD5	chr10	233	236	613	1
ACBD6	chr1	425	407	612	1
ACBD7	chr10	17	4	13	0
ACCS	chr11	44	4	12	0
ACCSL	chr11	0	0	0	0
ACD	chr16	476	353	538	0
ACE	chr17	10	17	18	0
ACE2	chrX	0	8	3	0
ACER1	chr19	0	0	0	0
ACER2	chr9	23	30	10	0
ACER3	chr11	109	113	441	0
ACHE	chr7	321	599	3120	2
ACIN1	chr14	1492	1554	7005	3
ACKR1	chr1	196	151	349	0
ACKR2	chr3	0	0	0	0
ACKR3	chr2	16	10	11	0
ACKR4	chr3	0	1	4	0
ACLY	chr17	3184	2827	5999	2
ACMSD	chr2	1	2	1	0
ACO1	chr9	251	264	501	1
ACO2	chr22	724	838	2141	2
ACOD1	chr13	0	0	1	0
ACOT1	chr14	0	0	19	0
ACOT11	chr1	1	0	5	0
ACOT12	chr5	3	0	1	0
ACOT13	chr6	79	102	280	0
ACOT2	chr14	14	12	7	0
ACOT4	chr14	1	0	0	0
ACOT6	chr14	0	7	2	0
ACOT7	chr1	461	392	2618	1
ACOT9	chrX	52	52	55	0
ACOX1	chr17	145	111	338	0
ACOX2	chr3	2	5	8	0
ACOX3	chr4	159	67	48	0
ACOXL	chr2	35	18	38	0
ACP1	chr2	170	179	857	1
ACP2	chr11	215	229	344	0
ACP4	chr19	1	2	0	0
ACP5	chr19	17	14	7	0
ACP6	chr1	87	50	181	0
ACP7	chr19	0	0	0	0
ACR	chr22	6	3	2	0
ACRBP	chr12	50	336	147	0
ACRV1	chr11	2	3	5	0
ACSBG1	chr15	105	81	149	0
ACSBG2	chr19	0	1	1	0
ACSF2	chr17	8	16	14	0
ACSF3	chr16	215	538	157	2
ACSL1	chr4	112	95	241	0
ACSL3	chr2	420	443	1605	1
ACSL4	chrX	545	471	2726	1
ACSL5	chr10	2	0	0	0
ACSL6	chr5	199	225	243	0
ACSM1	chr16	1	2	2	0
ACSM2A	chr16	0	0	0	0
ACSM2B	chr16	0	0	0	0
ACSM3	chr16	2	1	56	0
ACSM4	chr12	0	0	0	0
ACSM5	chr16	1	0	0	0
ACSM6	chr10	1	0	0	0
ACSS3	chr12	83	102	80	1
ACTA1	chr1	4	9	5	0
ACTA2	chr10	19	9	13	0
ACTB	chr7	12702	11733	21594	5
ACTBL2	chr5	0	0	0	0
ACTC1	chr15	3	7	8	0
ACTG1	chr17	18158	18879	16694	49
ACTG2	chr2	0	0	0	0
ACTL6A	chr3	68	32	737	0
ACTL6B	chr7	472	519	1794	1
ACTL7A	chr9	0	0	0	0
ACTL7B	chr9	0	6	2	0
ACTL8	chr1	0	2	3	0
ACTL9	chr19	0	0	0	0
ACTN1	chr14	184	174	316	0
ACTN2	chr1	12	19	30	0
ACTN3	chr11	2	11	0	0
ACTN4	chr19	931	987	1895	2
ACTR10	chr14	399	386	1558	0
ACTR1A	chr10	1175	1124	4746	2
ACTR1B	chr2	766	1163	1893	0
ACTR2	chr2	839	780	3522	0
ACTR3	chr2	405	326	1464	0
ACTR3B	chr7	62	52	156	0
ACTR3C	chr7	0	0	0	0
ACTR6	chr12	114	105	299	0
ACTR8	chr3	317	301	256	2
