gene	mean	median	longest_isoform	merged
DDX11L1	1144	1144	1657	1735
WASH7P	1351	1351	1351	1351
MIR6859-1	68	68	68	68
MIR1302-2HG	623	623	712	1021
MIR1302-2	138	138	138	138
FAM138A	888	888	1187	1219
OR4G4P	840	840	840	840
OR4G11P	1176	1176	1414	1414
OR4F5	2618	2618	2618	2618
RP11-34P13.7	985	629	2748	3726
RP11-34P13.8	1319	1319	1319	1319
CICP27	3812	3812	3812	3812
RP11-34P13.15	755	755	755	755
RP11-34P13.16	284	284	284	284
RP11-34P13.14	323	323	323	323
RP11-34P13.13	1501	1025	4860	7559
RNU6-1100P	104	104	104	104
RP11-34P13.9	457	457	457	457
DDX11L17	570	570	570	570
WASH9P	1397	1397	1397	1397
MIR6859-2	68	68	68	68
AP006222.1	2235	1902	5603	8224
AP006222.3	736	736	736	736
RPL23AP24	385	385	385	385
RP4-669L17.2	675	607	994	1095
RP4-669L17.4	547	545	902	6204
WBP1LP7	363	363	363	363
OR4F29	939	939	939	939
CICP7	2477	2477	2477	2477
RP4-669L17.8	1239	1239	1239	1239
U6	89	90	107	455
RP11-206L10.17	777	818	1702	5495
RP5-857K21.2	504	504	607	635
MTND1P23	372	372	372	372
MTND2P28	1044	1044	1044	1044
MTCO1P12	1543	1543	1543	1543
ENSG00000278791	89	89	89	89
MTCO2P12	682	682	682	682
MTATP8P1	207	207	207	207
MTATP6P1	681	681	681	681
MTCO3P12	547	547	547	547
WBP1LP6	424	424	424	424
OR4F16	995	995	995	995
CICP3	2455	2455	2455	2455
RP11-206L10.2	3424	3424	6432	6432
RNU6-1199P	104	104	104	104
RP11-206L10.4	456	456	456	456
LINC01409	1080	1059	2949	8413
RP11-206L10.18	114	114	114	114
RP11-206L10.8	555	555	872	872
FAM87B	1947	1947	1947	1947
LINC01128	2112	1215	8389	15682
LINC00115	1317	1317	1317	1317
RP11-206L10.19	2289	2289	2509	3292
FAM41C	919	504	1807	1971
TUBB8P11	1058	1058	1058	1058
FAM166AP3	837	837	837	837
RP11-54O7.16	351	351	351	351
RP11-54O7.1	3043	3043	3043	3043
RP11-54O7.2	443	443	443	443
LINC02593	2057	1389	4152	4152
SAMD11	1697	1731	3468	4172
NOC2L	1743	1244	4201	5540
KLHL17	1380	955	2567	3402
PLEKHN1	1797	2194	3176	3451
PERM1	2527	3035	3340	3424
RP11-54O7.17	2086	2086	2086	2086
HES4	907	961	1040	1118
ISG15	693	657	787	867
RP11-54O7.10	154	154	154	154
RP11-54O7.11	471	471	471	471
AGRN	3589	2142	7477	10761
RP11-54O7.14	402	402	402	402
RP11-465B22.3	849	863	1219	2203
RP11-54O7.18	829	829	829	829
RNF223	1900	1900	1900	1900
C1orf159	1445	982	3315	6322
RP11-465B22.9	1095	1095	1095	1095
LINC01342	1620	1620	1620	1620
MIR200B	95	95	95	95
MIR200A	90	90	90	90
MIR429	83	83	83	83
RP11-465B22.8	987	987	987	987
TTLL10-AS1	3532	3532	3532	3532
TTLL10	1149	643	2307	3998
TNFRSF18	841	789	1083	1271
TNFRSF4	1058	1075	1707	1722
SDF4	1960	2087	3516	4744
B3GALT6	2805	2805	2805	2805
C1QTNF12	705	647	1036	1794
RP5-902P8.12	1558	1558	1558	1558
UBE2J2	1036	861	2455	4691
LINC01786	328	328	389	513
SCNN1D	1996	2473	3475	4025
ACAP3	1680	819	5319	8707
MIR6726	61	61	61	61
PUSL1	1125	940	1783	2459
INTS11	1255	889	3079	8216
MIR6727	65	65	65	65
RP5-890O3.9	386	386	386	386
CPTP	1346	1101	2154	2555
TAS1R3	3475	3475	3475	3475
DVL1	1513	806	3305	3882
MIR6808	59	59	59	59
MXRA8	1399	1086	2728	3622
AURKAIP1	849	836	1072	1669
NDUFB4P8	367	367	367	367
CCNL2	1704	1550	4452	6857
MRPL20-AS1	1546	1748	2228	2527
MRPL20	808	644	1693	2767
RN7SL657P	293	293	293	293
MRPL20-DT	1523	1523	1523	1523
ANKRD65	1602	1632	2024	2644
RP4-758J18.7	543	543	543	543
TMEM88B	3217	3217	3217	3217
LINC01770	503	477	634	851
VWA1	1979	1483	4492	5065
ATAD3C	1631	525	3864	3981
ATAD3B	2923	3300	4314	7686
RP5-832C2.8	443	443	660	660
ATAD3A	1753	2298	2612	3344
TMEM240	964	796	1381	2009
SSU72	2079	1761	4176	6919
RP5-832C2.5	1471	1471	2101	2349
RP11-345P4.11	400	400	400	400
FNDC10	2124	2124	2124	2124
RP11-345P4.12	1830	1830	1830	1830
RP11-345P4.9	2038	2038	2038	2038
MIB2	1876	1455	4247	8723
MMP23B	873	774	1531	2205
CDK11B	2344	2490	2992	3490
RP11-345P4.10	400	400	400	400
SLC35E2B	3919	2860	6434	8462
RP11-345P4.6	962	962	1422	1819
MMP23A	1017	1017	1017	1017
CDK11A	1380	931	2984	5085
RP1-283E3.8	5079	5079	5079	5079
RP1-283E3.4	791	473	1808	2759
SLC35E2A	1374	1344	2078	3264
NADK	1200	859	3653	5570
GNB1	1629	1110	3163	6417
RP1-140A9.1	906	906	906	906
CALML6	972	719	1882	2040
TMEM52	736	784	1118	1600
CFAP74	2704	2585	5325	10422
RP11-547D24.1	1465	1465	1954	2063
