gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	192	132	314	0
A1CF	chr10	7	11	10	0
A2M	chr12	1831	1762	3476	1
A2ML1	chr12	4	6	8	0
A3GALT2	chr1	0	0	0	0
A4GALT	chr22	109	50	137	0
A4GNT	chr3	18	1	2	0
AAAS	chr12	791	1026	2805	0
AACS	chr12	257	250	584	0
AADAC	chr3	6	7	15	0
AADACL2	chr3	0	0	3	0
AADACL3	chr1	0	1	0	0
AADACL4	chr1	0	0	0	0
AADAT	chr4	114	221	233	0
AAGAB	chr15	210	162	361	0
AAK1	chr2	431	474	843	0
AAMDC	chr11	75	84	354	0
AAMP	chr2	692	619	2572	2
AANAT	chr17	1	6	0	0
AARD	chr8	19	3	23	0
AARS2	chr6	254	124	914	0
AARSD1	chr17	289	312	765	1
AASDH	chr4	85	97	507	0
AASDHPPT	chr11	484	558	1544	1
AASS	chr7	928	376	903	0
AATF	chr17	0	0	708	0
AATK	chr17	276	253	129	0
ABAT	chr16	496	392	431	1
ABCA1	chr9	1013	2408	4591	0
ABCA10	chr17	1	6	8	0
ABCA12	chr2	18	1	15	0
ABCA13	chr7	5	3	0	0
ABCA2	chr9	3456	2936	5829	1
ABCA3	chr16	425	318	361	0
ABCA4	chr1	57	47	86	1
ABCA5	chr17	180	203	614	0
ABCA6	chr17	1	0	1	0
ABCA7	chr19	2299	1957	1670	1
ABCA8	chr17	62	139	165	1
ABCA9	chr17	1	4	5	0
ABCB1	chr7	0	2	4	0
ABCB10	chr1	114	64	594	0
ABCB11	chr2	0	2	8	0
ABCB4	chr7	0	2	5	0
ABCB5	chr7	0	0	0	0
ABCB6	chr2	844	1088	1862	0
ABCB7	chrX	77	102	1032	0
ABCB8	chr7	431	380	442	0
ABCB9	chr12	884	835	761	0
ABCC1	chr16	8	16	885	0
ABCC10	chr6	310	349	619	0
ABCC11	chr16	5	1	97	0
ABCC12	chr16	0	0	0	0
ABCC2	chr10	43	71	149	0
ABCC3	chr17	35	87	67	0
ABCC4	chr13	193	85	238	0
ABCC5	chr3	454	493	1418	0
ABCC6	chr16	29	14	209	0
ABCC8	chr11	15	32	61	0
ABCC9	chr12	155	171	566	0
ABCD1	chrX	249	261	403	0
ABCD2	chr12	3	8	20	0
ABCD3	chr1	361	423	1014	0
ABCD4	chr14	845	720	1053	1
ABCE1	chr4	291	379	2230	0
ABCF1	chr6	0	0	2534	0
ABCF2	chr7	184	219	978	0
ABCF3	chr3	469	650	1898	0
ABCG1	chr21	150	246	315	0
ABCG2	chr4	14	25	22	0
ABCG4	chr11	30	33	101	0
ABCG5	chr2	1	5	1	0
ABCG8	chr2	1	3	2	0
ABHD1	chr2	4	6	7	0
ABHD10	chr3	239	194	773	0
ABHD11	chr7	54	57	194	0
ABHD12B	chr14	2	12	11	0
ABHD13	chr13	133	130	765	0
ABHD14A	chr3	471	997	80	2
ABHD14A-ACY1	chr3	467	860	610	2
ABHD14B	chr3	416	100	336	1
ABHD15	chr17	137	152	146	0
ABHD16A	chr6	0	0	1174	0
ABHD17A	chr19	507	383	1576	1
ABHD17B	chr9	120	118	403	0
ABHD17C	chr15	148	99	186	0
ABHD18	chr4	147	184	532	1
ABHD2	chr15	526	476	995	1
ABHD3	chr18	53	35	107	0
ABHD4	chr14	524	682	847	0
ABHD5	chr3	75	114	340	0
ABHD6	chr3	60	44	172	0
ABHD8	chr19	182	180	271	1
ABI1	chr10	241	293	1108	1
ABI2	chr2	968	897	3117	0
ABI3	chr17	0	1	1	0
ABI3BP	chr3	425	424	937	0
ABL1	chr9	1664	1993	4580	2
ABL2	chr1	250	290	429	0
ABLIM1	chr10	674	803	861	2
ABLIM2	chr4	42	36	32	0
ABLIM3	chr5	391	574	1520	0
ABO	chr9	118	262	340	0
